IndividualIdentity	Plot	Year	Aggressivenes	ExplorationScore	BodyMass	BodyMassTime	Tarsus	WingP3	BillLength	ObserverIdentity
14833	16	2015	5	90	18.5	8	20.5	59	11.2	19
12938	16	2015	2	50	17.3	7.7	19.5	59	11.6	1
10113	16	2015	12.5	41	17.4	6.6	20.4	60.5	11.3	58
12939	16	2015	18.5	37	16.6	6.4	19.6	55.5	11	59
7286	16	2015	14	63	16.4	7.6	19.9	58.5	11	19
14323	16	2015	14	78	18	8.4	19.5	60	11	42
12035	16	2015	NA	39	17.9	3	20.6	57	10.6	58
11396	16	2015	NA	66	18.2	7.5	21.1	60	11.3	59
14321	16	2015	8	80	17.1	6.1	20	58.5	11.6	42
10145	16	2015	2	91	16.9	6.3	20.4	59.5	10.5	58
10895	16	2015	5	46	17.7	3.5	20.1	57	12	59
12475	17	2015	9.5	91	17.3	3.7	19.6	57.5	11.5	42
6754	17	2015	NA	34	16.8	8.2	19.1	57.5	11	57
14340	17	2015	25	116	18.5	8.7	19.4	58	12	59
6491	17	2015	NA	59	17.7	4.5	19.5	54.5	11	60
14931	18	2015	NA	65	18.1	9.1	21.3	58	10.1	60
8995	18	2015	NA	80	18.1	7.9	20.9	59	10.7	60
14957	18	2015	1	108	17.1	6.5	19.9	60.5	10.9	19
11992	18	2015	NA	56	17.2	4.7	20.5	56.5	11.1	57
14953	18	2015	25	58	17.8	4.7	20.7	58	10.8	19
11924	18	2015	12	81	17	6.1	21	58	11.4	15
3077	18	2015	0	56	17	8.4	19.4	56	10.7	60
14866	18	2015	4	62	17.9	5.7	20.4	59	11.6	19
14955	18	2015	18	76	18.2	3.5	20.6	59.5	11.3	19
14850	18	2015	15	66	17.2	NA	21	57	11.4	15
8845	18	2015	NA	74	16.5	6.6	20.1	59.5	11.1	57
12911	18	2015	6	54	17.1	6.3	20.9	58.5	11.1	58
12519	18	2015	17	60	17.6	5	20	60.5	11.2	60
14409	19	2015	2	90	18	8.8	20.1	61	11	19
11576	19	2015	1	70	17.5	5.1	21	58.5	11.2	58
11076	19	2015	15	60	17.5	5.8	20.7	58.5	11.8	19
12915	19	2015	2	49	18.4	7.6	19.5	61	11.4	57
14919	19	2015	14.5	99	17	10.6	20.1	57	10.7	57
14824	19	2015	7	67	17.2	4.6	21.3	61	11.3	60
12112	19	2015	1	34	16.5	6	19.6	59	11.9	15
10578	19	2015	5	11	16.9	6.6	19.7	59	10.9	19
10125	19	2015	5.5	55	18.6	9.2	20.3	60.5	11.7	19
10717	19	2015	6.5	69	17.1	3.9	19.6	55.5	11.5	60
2495	19	2015	5.5	95	17.4	9	19.4	59.5	11.1	60
10991	19	2015	3	50	17.4	3.4	21.2	58	11	58
11565	19	2015	15	81	18.1	7.9	19.2	61.5	11	57
11118	19	2015	24	72	16	2.7	19.8	58	10.5	15
10479	19	2015	12	38	16.5	-2.5	19.6	55.5	11.6	15
7277	19	2015	17	63	18.2	8	20.4	59	13.1	59
10748	19	2015	8	63	17.2	7	20.1	57	10.9	59
2803	19	2015	18.5	56	18.2	6	20.6	59.5	11.1	59
8213	19	2015	NA	60	17	3.2	20	59.5	11.5	15
982	19	2015	NA	35	17	5.7	20.5	59.5	11.4	60
10391	20	2015	3	78	17	3.4	19.6	58.5	10.8	60
14038	20	2015	2	89	NA	NA	19.6	55	11.2	60
14827	20	2015	10	85	17.6	7.2	19.8	57.5	10.4	42
8584	20	2015	6	63	17.2	10.1	20.4	59	10.7	42
14553	20	2015	4	66	17.6	9.1	19.6	57	11.3	42
8984	20	2015	2	78	17.9	7.2	19.6	58	11.3	42
1944	20	2015	NA	93	18.6	9.1	20.4	59	11.5	19
14010	20	2015	0.5	131	15.7	8.3	20.1	58.5	10.1	42
10138	20	2015	2	61	16.8	9.7	20	57	10.5	42
9856	20	2015	NA	77	19	9.9	19.8	60.5	11.8	57
5021	20	2015	NA	57	17	9.1	20.3	59.5	11.5	42
4979	20	2015	NA	75	17.5	8.3	20.3	58	10.8	60
10189	20	2015	20	78	17.3	8.8	19.9	59.5	11.3	42
4975	20	2015	NA	38	17.5	9.4	20.1	57.5	11.2	60
1892	20	2015	15	34	16.7	11.1	19.2	56.5	11.2	19
4961	20	2015	12	77	17.5	10.9	19.7	57.5	10.8	60
2635	21	2015	10	33	17.3	4.1	19.3	59	10.4	60
10486	21	2015	2	88	18.5	4.7	19.3	61	11.4	60
12233	21	2015	1	21	18.6	5.3	20.6	59	11.4	48
10117	21	2015	8.5	51	16.2	4	19.2	60	11.1	19
10934	21	2015	1.5	65	15.8	2.8	18.4	56	11.3	60
14400	21	2015	1	56	17.6	3.1	20.3	58	11.6	19
9340	21	2015	10	26	17.9	4.7	20.9	60	12.2	48
12943	21	2015	6	68	16.9	3.3	20.1	58	11.2	42
14858	21	2015	10	60	20	7.6	20.2	57.7	11.6	59
15555	21	2015	7.5	48	16.8	4.3	18.9	59	11	57
10876	21	2015	12.5	68	17.1	5.8	20.4	55	11.7	48
14532	21	2015	3	79	17.7	3.1	20.2	60.5	11.3	42
8408	21	2015	1.5	38	16.5	6.1	20	56.5	11	15
9857	21	2015	NA	54	17.4	5.4	19.4	60	12	48
14716	21	2015	13.5	93	18.5	5.5	19.1	57	12.5	48
5213	21	2015	10	76	16.8	4.3	20.2	59.5	11.2	42
10865	21	2015	17.5	61	17.7	3.4	20.7	59.5	11	42
14000	21	2015	7.5	97	16.2	5.3	19.8	60	11.1	42
14399	21	2015	4	79	18.1	3.2	19.2	57	11.3	60
14218	21	2015	1	68	18.5	3.9	20.2	60.5	11.5	57
12941	21	2015	10	85	17.7	2.8	19.3	60.5	11.3	42
14979	21	2015	9.5	95	17.6	7.5	19.3	57	11	57
14714	21	2015	5	100	17.5	6.7	19.8	56.5	11.2	42
14721	21	2015	12	74	17.2	5.9	19.4	60	11.3	42
14941	21	2015	NA	57	18.1	3.9	20.1	58	10.1	42
17603	10	2016	NA	26	18	4.4	19.6	58.5	11.7	19
17716	10	2016	0.5	75	15.5	4.9	18.5	59	10.3	64
12318	10	2016	NA	57	16.6	4.4	19.6	58	10.2	64
17120	10	2016	NA	63	18.8	10	20.4	59.5	11.7	66
13564	10	2016	NA	41	NA	NA	NA	NA	NA	NA
17115	10	2016	4	44	17.3	10.4	18.6	59	10.3	63
14350	10	2016	15.5	70	19.2	10.1	20.8	58	11.1	65
17598	10	2016	17	34	16.8	3.6	19.5	56	11.5	1
11652	10	2016	NA	61	18	6.2	20.9	59.5	11.3	19
10143	10	2016	NA	52	17.6	6.6	20.8	62	11.2	19
17600	10	2016	NA	47	16.4	3.4	19.9	58.5	10.8	19
16074	11	2016	0	32	17.5	4.6	21	58	10.7	63
15371	11	2016	15	63	18.1	8	19.3	59.5	10.2	66
14268	11	2016	3	42	17.3	3.3	19.5	59	11.2	61
12887	11	2016	8	45	16.2	3.6	18.9	59	10.8	19
17497	11	2016	NA	75	18.5	4.9	21	61	10.4	64
18058	11	2016	5.5	33	18.2	4.9	21	61.5	11.5	64
11267	11	2016	20	3	18.9	8.8	21.6	61.5	10.3	63
12885	11	2016	2.5	61	18.3	7.5	22.2	61	10.9	63
12879	11	2016	20	64	17	6.7	19.5	58.5	10	64
15219	12	2016	NA	75	17.4	8.6	20	60	11.4	1
10794	12	2016	0	87	16.3	6.5	20.3	60	11.2	19
10100	12	2016	19	49	17.7	9.3	19.7	61	11.2	65
15398	12	2016	NA	65	17.8	7.2	20.4	58.5	12	66
10093	12	2016	8	61	17.6	5.5	19.6	58	11.2	63
9195	12	2016	NA	36	16.2	8.5	19.1	59	11	66
15528	12	2016	NA	46	NA	NA	NA	NA	NA	NA
15528	12	2016	NA	46	16.6	9.8	19.9	60.5	11.8	66
3620	12	2016	18	46	17.9	4.3	21.7	59	11	63
16561	12	2016	0	63	17.1	3.7	20.4	58.5	10.7	19
10906	12	2016	3	36	18.5	8.3	20.2	60.5	10.2	64
8146	12	2016	6	62	18.3	7.9	20.3	61	11.5	66
10380	12	2016	20	68	19.1	6.3	19.7	57.5	10	64
17634	12	2016	10	71	18.3	9	19.5	58.5	11	61
11220	12	2016	0	75	18	8.8	19.1	61	11	64
16599	12	2016	NA	68	18.5	7	22	61	12.5	64
15561	13	2016	12	27	17.2	3.7	18.2	60.5	11.1	66
11266	13	2016	17	53	18	4.7	21.1	60	11.3	66
15564	13	2016	8.5	48	17.2	6.6	20.2	57.5	11	1
12899	13	2016	20	47	17	3.6	19.9	60.5	11.2	66
17604	13	2016	NA	29	16.7	5.8	18.8	57	11.5	19
10971	13	2016	19	68	17.2	4.4	19.3	61.5	11.1	66
16563	13	2016	3	51	18.3	4.4	19.8	59	10.2	64
17123	13	2016	0	53	16.7	3.8	20.6	59.5	11.2	63
15547	14	2016	1.5	55	17.6	7	19.7	58	11.1	19
17794	14	2016	15	78	16.2	3.6	21.2	59	10.5	63
15551	14	2016	6	41	16.9	4.5	20.2	61	11.2	61
12281	14	2016	NA	75	17.7	7	21	57	12	66
3610	14	2016	NA	51	17.2	9.5	20.2	56.5	10.7	63
17945	14	2016	NA	49	16.5	4	20.8	58	12.1	19
11195	14	2016	6	90	19.1	7.9	20.1	58.5	11.5	19
8764	14	2016	NA	64	17.5	8.4	19.6	60	12	19
14829	14	2016	NA	65	18.8	4	20	59.5	11.6	61
17768	14	2016	NA	54	18	3.6	20	59.5	12	66
17698	15	2016	8	48	17.7	9.3	18.9	58	11.5	66
11922	15	2016	20	33	18.4	9	20.3	58.5	11.6	66
17928	15	2016	NA	54	16.7	3.7	20.8	57	11.1	19
14930	15	2016	8	70	17	3.8	19.4	58.9	11	61
17926	15	2016	12.5	62	17	4	20.7	59	11.5	19
17699	15	2016	20	47	18.5	10.1	20	59	11	64
18268	15	2016	NA	48	17.3	3.4	21.3	58	11.3	19
12118	15	2016	12.5	85	17.2	3.7	20.6	59	11	19
14511	15	2016	NA	2	17.8	3.9	20.3	60	11.2	19
15548	15	2016	20	38	16.8	6.5	18.8	55	10.1	64
11832	15	2016	10	63	17.4	4.9	20.2	61.5	11.1	19
15122	15	2016	15	87	17.8	6.4	22	59	11.3	63
11669	15	2016	25	84	17	6.9	19.9	59.5	9.7	64
14951	15	2016	NA	49	17.9	3.6	19.9	60	10.6	19
18017	15	2016	NA	83	16.8	3.8	20.1	59.5	11.9	19
17534	15	2016	11.5	40	16.7	4.9	19.8	59.5	10.5	61
15271	15	2016	NA	61	17.4	5.5	20.6	60.5	11.5	61
14832	16	2016	20	96	17.7	7.3	20.7	62	11.7	48
15544	16	2016	11	50	17.5	4.4	18.8	57	10	64
15543	16	2016	10	63	17.1	4.9	21.2	59.5	11.9	63
17925	16	2016	NA	59	17.7	5.2	20.3	59	10.9	64
13071	16	2016	0	64	17.3	6	20.2	60	11.9	48
12784	16	2016	0	102	18	6.7	20.6	58.5	10.8	64
12826	16	2016	13.5	61	16.5	9.1	19.4	60	10.4	64
14830	16	2016	10	47	17.3	8	20.1	58	11.1	19
14833	16	2016	10	91	18	7.2	20.1	60	11.5	66
17923	16	2016	1	96	17.7	6.6	20.7	58.5	11.3	64
17979	16	2016	1.5	46	17.8	11.2	18.8	57.5	11.6	65
11479	16	2016	7.5	97	17.8	9.4	20.4	60	10.4	61
17195	16	2016	2	57	16.5	3.6	20.3	59	12.1	66
17981	16	2016	11	78	18.1	10.2	20.8	60	12.6	66
7286	16	2016	20	61	16.5	7.9	19.3	59	10.3	64
17073	16	2016	8	51	16.7	3.9	20	60.5	11.2	61
18074	16	2016	2	60	17.8	7	20.8	58.5	11.5	66
14705	16	2016	8	73	16.1	8	18.7	57.5	10.6	63
10895	16	2016	13.5	56	17.7	6.4	19.7	58.5	10.8	63
14961	17	2016	12	80	16.5	6.2	20	57	11.3	66
17072	17	2016	0	74	16.8	5.7	19.3	58.5	11.1	61
12475	17	2016	NA	52	17.2	4.7	19.7	58.5	11.2	19
17637	17	2016	20	56	17.6	5.1	19.7	58.5	11.6	19
15301	17	2016	0	61	17.2	4.6	20.2	61	10.9	61
17958	17	2016	8	54	17.3	4.1	19.3	58.5	11.2	19
3207	17	2016	NA	48	18.3	4.4	19.9	58	10.9	19
17579	17	2016	0	56	17.8	3.2	19.6	57.5	10.9	63
16675	17	2016	2	75	16.4	6.2	19.2	57	10.7	19
15567	17	2016	NA	46	17.3	4.2	19.9	58.5	11.5	19
3026	17	2016	15	20	17.2	5.4	19.9	59.5	10.4	61
18019	18	2016	10	54	18.4	5	21.8	60	12	19
14953	18	2016	NA	35	18.5	7.5	20.3	59.5	10.2	61
11924	18	2016	NA	66	16.7	7.4	19.3	59	11.3	19
17642	18	2016	NA	43	17.4	6.9	20.1	61	10.7	19
8845	18	2016	12.5	58	15.6	7.9	19.6	58.5	10.7	61
12519	18	2016	NA	59	17.5	5.6	19.7	62.5	11.3	65
17640	18	2016	NA	51	17.1	6.7	19.1	58	10.5	19
11076	19	2016	4	57	18.3	6.2	20.5	60	11.6	64
15450	19	2016	2	50	18.1	3.4	20.6	61	11.2	19
10370	19	2016	5	72	18.5	4.5	20.4	59.5	11.8	66
11118	19	2016	20	53	17.4	3.6	19.1	56.3	10.4	64
10479	19	2016	4.5	12	16.3	7.3	20	58.5	10.4	63
7277	19	2016	NA	48	18	5.9	19.7	60.5	11	64
13217	19	2016	2	13	18.7	3.1	19.8	58	10.9	61
15139	19	2016	7.5	50	17.3	5	22.2	58	11	63
10392	20	2016	4	61	17.2	4.7	19.5	58	11.6	65
10391	20	2016	5.5	82	18.1	9.9	19.6	60.5	12.2	66
14038	20	2016	20	64	NA	NA	NA	NA	NA	NA
14038	20	2016	20	76	17	7	19.6	57	10.1	64
15533	20	2016	0	87	17.5	9.6	19.7	57.5	11.4	65
17124	20	2016	0	81	17.9	7.8	20.2	59	11.3	19
13572	20	2016	0	65	17.3	8.4	19.8	58	10.7	19
16083	20	2016	8.5	115	18.3	8.7	22.6	61	10.8	63
14827	20	2016	3	NA	NA	NA	NA	NA	NA	NA
17594	20	2016	8	85	18.6	6.6	19.6	59	11.5	65
13282	20	2016	0	106	16.4	7.3	19.3	55	11.2	19
16821	20	2016	25	40	17.7	4.7	20.3	59.5	10.9	64
15173	20	2016	20	84	16.8	3.5	20	56	10	64
9856	20	2016	0	98	18	5.9	20.4	61.5	10.9	64
13275	20	2016	0	47	16.8	5.7	20.3	58.5	10.1	64
7685	20	2016	12	62	16.5	7	19.8	57.5	10.9	65
17467	20	2016	NA	56	16.5	4	20	59	10.2	64
1892	20	2016	22	41	17.1	6	19.6	58	10.7	63
10668	20	2016	8.5	55	17.5	5	18.9	60	10.3	65
10569	20	2016	6	116	NA	NA	NA	NA	NA	NA
10569	20	2016	6	94	16	6.7	19.7	59	9.7	64
10189	20	2016	5	76	18	7.6	20.2	62	10.5	64
4975	20	2016	11.5	33	17.7	10.2	22.6	60	10.5	63
17645	20	2016	2	75	18	5.7	19.2	58	9.8	64
16751	20	2016	12	53	17.4	5	22.8	59.5	10.7	63
18075	20	2016	7.5	70	17.4	5.7	19.8	58	11.7	63
12943	21	2016	10	61	17.3	5.2	19.6	58.5	11	65
16676	21	2016	20	88	17.4	7.5	19.8	59	11.8	19
9340	21	2016	NA	57	17.9	4.6	20.8	60.5	11.3	65
14858	21	2016	12	29	17.6	7.1	21	59.5	11	61
10934	21	2016	7	52	15.7	5.3	19.3	57.5	11.1	19
14433	21	2016	2.5	50	16.6	5.8	20.2	58.5	10.8	19
15555	21	2016	7	21	17.5	4	19.3	60.5	10.8	65
8408	21	2016	5	67	17.5	5.7	19.1	59	11.3	19
9857	21	2016	13	25	17.5	3.7	19.1	57.5	11.6	66
15068	21	2016	NA	51	17.1	3.8	20	59.5	11.3	63
14399	21	2016	4	58	18.2	4.3	20.1	59	11.3	19
17498	21	2016	0	68	16.8	3.4	19.6	58.5	11.1	61
14218	21	2016	NA	49	16.6	3.9	19.8	60.5	11.1	19
10865	21	2016	18	58	18.4	4	20.7	61.5	10	64
17116	21	2016	7	44	16.1	3.7	20.2	57	11	19
