tarsus,sex,age
25.15,M,A
27.7,M,A
26.7,M,A
26.4,M,A
27.45,M,A
26.6,M,A
26.1,M,A
25.3,M,A
27.2,M,A
25.2,M,A
27,M,A
26,M,A
27,M,A
26,M,A
26.4,M,A
26,M,A
26.2,M,A
25.2,M,A
25.05,F,A
25.6,F,A
26,F,A
25.75,F,A
26.1,F,A
26.05,F,A
26.1,F,A
25,F,A
27.2,F,A
26.5,F,A
