Rank	Nest	Date	Treatment	Year	F_mass	F_tarsus	F_wing	Lysozymes	Ovotransferrin	Egg_carot		
2	A212	48	NISIN	2012	17.84	2.17	7.2	0.327	5.64311650294142	0.780392156862745		
1	A222b	59	NISIN	2012	16.98	2.32	7.5	0.4365	6.33115658513243	0.741176470588236		
2	A222b	59	NISIN	2012	16.98	2.32	7.5	0.4385	4.88627241253131	0.677124183006536		
1	A224b	64	EAU	2012	17.5	2.24	7.4	0.4165	4.679860387874	0.607843137254902		
2	A224b	64	EAU	2012	17.5	2.24	7.4	0.383	4.2670363385594	1.81568627450981		
1	A226	61	TSB	2012	17.45	2.29	7.4	0.34	6.10589517985939	0.670588235294118		
2	A226	61	TSB	2012	17.45	2.29	7.4	0.4525	3.666945592339	0.470588235294118		
1	A227b	57	TSB	2012	18.29	2.3	7.6	0.4465	6.81278464266614	0.874509803921569		
2	A227b	57	TSB	2012	18.29	2.3	7.6	0.4405	7.56962873307624	0.615686274509804		
1	A233	49	EAU	2012	16.82	2.22	7.3	0.41	5.64311650294142	0.619607843137255		
2	A233	49	EAU	2012	16.82	2.22	7.3	0.4945	7.63843274129534	0.4		
1	A237	31	NISIN	2012	16.56	2.12	7.1	0.4345	4.6110563796549	0.486274509803922		
2	A237	31	NISIN	2012	16.56	2.12	7.1	0.409	2.75493544540461	0.607843137254902		
1	A243	37	EAU	2012	17.68	2.17	7.4	0.4345	5.43670447828412	0.901960784313725		
2	A243	37	EAU	2012	17.68	2.17	7.4	0.495	2.75493544540462	0.6		
1	B305	43	NISIN	2012	16.35	2.16	7.3	0.3745	6.60637261800883	0.333333333333333		
2	B305	43	NISIN	2012	16.35	2.16	7.3	0.431	4.4046443549976	0.333333333333333		
1	B310	44	TSB	2012	16.57	2.2	7.4	0.4155	4.47344836321671	0.623529411764705		
2	B310	44	TSB	2012	16.57	2.2	7.4	0.473	6.12474456047512	1.19607843137254		
1	B316	39	NISIN	2012	16.62	2.14	7.3	0.4695	4.1982323303403	0.352941176470588		
2	B316	39	NISIN	2012	16.62	2.14	7.3	0.426	4.88627241253131	0.392156862745098		
1	B325	36	TSB	2012	17.01	2.16	7.4	0.317	8.69458389153059	1.40980392156863		
2	B325	36	TSB	2012	17.01	2.16	7.4	0.389	6.45320711940758	0.270588235294118		
2	B328	34	NISIN	2012	16.59	2.17	7.5	0.402	5.02388042896951	0.435294117647059		
1	B330	37	NISIN	2012	16.76	2.21	7.2	0.56	3.09114196122306	1.12941176470588		
2	B330	37	NISIN	2012	16.76	2.21	7.2	0.4645	1.85838473655541	0.141176470588235		
1	B332	36	EAU	2012	17.19	2.25	7.3	0.419	6.10589517985939	0.541176470588235		
2	B332	36	EAU	2012	17.19	2.25	7.3	0.432	5.93573590631146	0.333333333333333		
1	C106	38	TSB	2012	17.8	2.25	7.7	0.4505	4.67986038787401	0.411764705882352		
2	C106	38	TSB	2012	17.8	2.25	7.7	0.368	6.11700060358914	0.776470588235294		
1	C110	42	NISIN	2012	16.65	2.18	7	0.427	6.81278464266614	0.984313725490195		
2	C110	42	NISIN	2012	16.65	2.18	7	0.385	3.71660427280659	0.596078431372549		
1	C114	40	NISIN	2012	17.38	2.2	7.5	0.4195	4.91478026502385	0.480392156862745		
2	C114	40	NISIN	2012	17.38	2.2	7.5	0.437	5.82229639061284	0.345098039215686		
1	C120	57	TSB	2012	17.48	2.27	7.4	0.41	3.21318752954451	0.999999999999998		
2	C120	57	TSB	2012	17.48	2.27	7.4	0.4275	5.36853832781835	0.705882352941177		
1	C164	35	TSB	2012	16.97	2.17	7.2	0.3685	4.46102220222936	1.54509803921569		
2	C164	35	TSB	2012	16.97	2.17	7.2	0.408	4.29086292868143	1.09019607843137		
1	C165	63	EAU	2012	16.65	2.36	7.4	NA	NA	0.959477124183007		
2	C165	63	EAU	2012	16.65	2.36	7.4	0.694	6.53756860978974	0.815686274509804		
1	C168	35	EAU	2012	17.77	2.29	7.6	0.3205	5.98713654403693	0.494117647058823		
2	C168	35	EAU	2012	17.77	2.29	7.6	NA	NA	0.431372549019608		
1	D406	11	TSB	2012	17.32	2.25	7.4	0.476	6.95039265910434	0.866666666666668		
2	D406	11	TSB	2012	17.32	2.25	7.4	NA	NA	0.623529411764706		
