MDA	ID_nest	Treatment	Sex	Date	Body_mass	Tarsus_length	Wing_length	Year	Clutch_size	Tot_Treatment_number
36.9752414590906	B305	NISINE	M	48	18.02	2.37	7.5	2012	9	18
27.2073570582719	A212	NISINE	F	48	17.84	2.17	7.2	2012	9	19
25.1538424680507	A136	EAU	F	48	16.91	2.19	7.2	2012	10	19
30.6572615698435	A143	TSB	M	49	18.54	2.29	7.7	2012	10	18
41.5203537521134	A227b	TSB	F	57	18.29	2.3	7.6	2012	9	13
16.4400955568789	A227b	TSB	M	57	18.72	2.24	8.1	2012	9	13
15.5365491371816	C120	TSB	F	57	17.48	2.27	7.4	2012	8	12
31.3486114818846	C120	TSB	M	58	19.15	2.41	7.8	2012	8	13
45.3741161330951	A222b	NISINE	F	59	16.98	2.32	7.5	2012	9	14
51.4182940769794	A226	TSB	M	61	17.9	2.31	7.5	2012	10	12
41.2260166608484	A226	TSB	F	61	17.45	2.29	7.4	2012	10	12
12.27146093873	C165	EAU	F	63	16.65	2.36	7.4	2012	8	11
