  pair      int    clutch    xegg      cs       bsh      bsf     trt      fband        hct1     vol1     hct2     vol2      hct3     vol3      matAB      good     id  massinj1   massinj2    mass1E     mass30      ftars
   46        6        1      1.103      5        5        5      LPS     M11D0113      0.57      26      0.50      65       0.51      35       5.240        1      46    14.9       15.3       18.5       17.1       18.01
   47       24        1      1.143      5        5        4       C      M11D0187      0.50      50        .        .       0.45      60         .          1      47    16.8       17.5         .          .        17.88
   48        3        1      1.002      7        7        5      LPS     SLPI0181      0.52      54      0.50      40       0.46      47       1.078        1      48    14.3       14.3       15.4       15.1       16.74
   49        9        1      1.036      5        0        0       C      SLPI0171      0.53      20      0.40      60        .         .       5.091        1      49    16.7       16.0       18.0         .        16.83
   50        5        1      1.062      7        5        5      LPS     M99D0137      0.49      28      0.52      40       0.49      45      14.576        1      50    16.5       16.9       16.4       16.1       16.87
   51        .        0        .        0        .        .       C      M11D0185      0.53      34        .        .        .         .         .          0      51    15.5       16.7         .          .         17
   52        7        1      1.066      7        4        4      LPS     M11D0056      0.55      54      0.49      50       0.51      65       0.904        1      52    14.5       14.0       15.3         .        16.43
   53        .        0        .        0        .        .       C      SLPI0156      0.55      62        .        .        .         .         .          0      53    19.0       17.0         .          .        16.7
   54       14        1      0.766      2        0        0      LPS     SLPI0942      0.48      30      0.48      70        .         .       1.358        0      54    12.6       12.7       14.1         .        16.32
   55       12        1      0.844      4        0        0       C      SLPI0996      0.47      50      0.41      43        .         .       0.269        1      55    15.2       15.3       16.1         .        16.48
   56        5        1      1.023      6        0        0       C      M11D0186      0.49      50      0.44      48        .         .       0.776        0      56    17.7       19.3       19.1         .        17.9
   57        .        0        .        0        .        .      LPS     SLPI0992      0.47      75        .        .        .         .         .          0      57    17.0       16.4         .          .        17.57
   58        .        0        .        0        .        .      LPS     SLPI1072      0.57      54        .        .        .         .         .          0      58    16.5       15.6         .          .        15.59
   59        9        1      0.975      1        0        0       C      SLPI0979      0.47      67      0.38      80        .         .       3.070        1      59    15.9       16.3       17.2         .        17.15
   60        .        .        .        .        .        .       C      SLPI1291      0.43      85        .        .        .         .         .          .      60    16.5       15.2         .          .        17.75
   61       14        1      1.063      5        0        3       C      M14D0059      0.56      33      0.49      55       0.46      54       0.423        0      61    15.8       16.3       18.9         .        18.19
   62       14        1      1.179      1        0        0       C      SLPI1045      0.45      35      0.40      45        .         .       1.578        1      62    18.1       16.8         .          .        19.39
   63        6        1      1.161      5        3        3       C      SLPI0048      0.56      18      0.54      32       0.54      51       0.863        1      63    15.5       14.7       15.1         .        17.46
   64        3        1      1.095      5        0        0       C      SLPI1002      0.51      10      0.43      56        .         .       0.860        1      64    15.2       15.9         .          .         17
   65        9        1      0.955      3        0        0       C      M10D131       0.41      49      0.39      60        .         .      15.077        1      65    15.1       17.8       15.8         .        16.44
   66        6        1      1.001      5        3        3       C      M99D174       0.52      30      0.55      20       0.54      66       1.582        1      66    16.2       16.0       16.3         .        15.4
   67        6        1      1.036      6        5        0       C      M10D181       0.48      54      0.46      54        .         .       0.579        1      67    13.3       16.0       15.0         .        15.27
   68        7        1      1.361      5        3        3       C      SLPI0099      0.55      50      0.51      40       0.47      57       0.633        1      68    18.7       16.7       18.0         .        17.22
   69        .        .        .        .        .        .       .      SLPI0022       .         .        .        .        .         .         .          .      69    16.3         .          .          .        16.55
   70        .        0        .        0        .        .      LPS     SLPI0182      0.54      34        .        .        .         .         .          .      70    13.9       13.7         .          .        16.12
   71        6        1      1.100      6        6        0      LPS     SLPI0123      0.54      30      0.60      23       0.54      48       0.692        1      71    15.4       17.4       17.9         .        16.31
   72        4        1      1.106      5        1        1      LPS     M14D0008      0.42      42      0.50      36       0.47      62       0.555        1      72    16.8       16.1       16.9         .        17.43
   73        8        1      1.095      4        4        2      LPS     M14D0007      0.47      42        .        .       0.45      35         .          1      73    16.2       17.5         .          .        16.69
   74        .        0        .        0        .        .      LPS     SLPI0006      0.50      18        .        .        .         .         .          0      74    18.6       17.2         .          .        16.94
   75        6        1      1.032      6        6        3      LPS     M14D0286      0.50      18      0.53      23       0.56      44       0.999        1      75    17.4       16.5       16.4         .        17.34
   76        6        1      1.147      5        5        5      LPS     SLPI0132      0.46      52      0.50      40       0.39      70       1.634        1      76    17.7       18.7       18.8         .        16.89
   77        7        1      1.104      6        5        5      LPS     SLPI0020      0.48      30        .       18       0.41      58       1.816        1      77    14.0       13.6       15.1         .        15.9
   78        .        0        .        0        .        .       C      SLPI0124      0.51      40        .        .        .         .         .          0      78    13.7       15.9         .          .        16.61
   79        .        0        .        0        .        .      LPS     M14D0240      0.47      20        .        .        .         .         .          0      79    15.8       16.1         .          .        17.62
   80        7        1      1.168      7        7        6       C      SLPI0125      0.47      32        .       12       0.43      57       0.423        1      80    17.6       17.2       17.4         .        17.5
   81        .        0        .        0        .        .      LPS     M14D0299      0.49      46        .        .        .         .         .          0      81    18.8       18.2         .          .        18.59
   82        .        0        .        0        .        .       C      M14D0271      0.51      42        .        .        .         .         .          0      82    15.7       16.6         .          .        16.8
   83        .        0        .        0        .        .      LPS     M14D0290      0.54      32        .        .        .         .         .          0      83    15.0       13.7         .          .        18.25
   84        .        0        .        0        .        .      LPS     M14D0250      0.62      24        .        .        .         .         .          1      84    19.0       18.2         .          .        17.54
   85        4        1      0.967      5        3        3      LPS     M14D0238      0.60      28      0.51       ?       0.54      53       2.642        1      85    13.7       15.2       15.1         .        16.99
