 pair     momtrt      egg    eggtrt    order       cband      sex    bsf    eggmass    age      mass      tarsus
  68        C          5        C        1       M15D0120      M      3      1.387      0       1.050      4.74
  72       LPS         3        C        1       SDBL0294      M      1      1.118      0       0.740      4.68
  73       LPS         2        C        1       SDBL0275      M      4      1.120      0       0.760      5.22
  73       LPS         3        T        1       SDBL0276      M      4      1.080      0       0.740      4.94
  75       LPS         1        C        1       M15D0132      M      4      1.030      0       0.590      4.30
  75       LPS         2        T        1       SDBL0273      F      4      0.954      0       0.870      4.55
  75       LPS         3        C        1       M15D0146      F      4      1.020      0       0.700      4.78
  76       LPS         1        T        1       M15D0126      F      5      1.100      0       0.780      4.80
  76       LPS         2        C        .       M15D0124      M      5      1.144      0       0.980      4.80
  76       LPS         3        T        .       M15D0125      F      5      1.150      0       0.840      5.17
  76       LPS         4        C        1       M15D0128      M      5      1.120      0       0.810      5.07
  76       LPS         5        T        1       M15D0127      F      5      1.220      0       0.960      5.00
  77       LPS         2        C        1       M15D0131      F      5      1.080      0       0.690      4.10
  77       LPS         3        T        1       M15D0129      M      5      1.080      0       0.800      4.74
  77       LPS         4        C        1       M15D0130      F      5      1.110      0       0.800      5.28
  77       LPS         5        T        1       SDBL0277      F      5      1.100      0       0.840      4.95
  77       LPS         6        .        1       M15D0144      F      5      1.120      0       0.760      4.95
  80        C          2        T        .       M15D0150      F      6      1.170      0       0.760      5.13
  80        C          3        C        .       M15D0149      M      6      1.130      0       0.770      4.55
  80        C          4        T        1       SDBL0278      M      6      1.130      0       0.790      4.59
  80        C          5        C        1       M15D0135      F      6      1.220      0       1.090      5.09
  80        C          6        C        1       M15D0147      M      6      1.160      0       0.940      4.93
  80        C          7        T        1       M15D0148      M      6      1.210      0       1.220      5.76
  85       LPS         3        T        1       SDBL0272      M      3      0.958      0       0.650      4.29
  85       LPS         4        C        1       M15D0134      F      3      0.913      0       0.780      4.49
  85       LPS         5        T        1       SDBL0274      F      3      1.000      0       0.840      5.11
  1         C          3        C        1       M15D0088      M      3      0.885      5       1.98       5.86
  1         C          5        C        1       SDBL0266      F      3      0.917      5       2.22       6.87
  1         C          6        T        1       M15D0091      M      3      0.882      5       2.11       6.78
  2        LPS         2        T        1       SDBL0269      F      2      0.922      5       2.46       6.50
  2        LPS         3        C        1       M15D0046      M      2      0.885      5       3.36       7.17
  4        LPS         1        T        1       SDBL0242      M      4      1.028      5       4.68       8.22
  4        LPS         4        C        1       M15D0047      M      4      1.026      5       3.70       8.75
  4        LPS         5        T        1       M15D0051      F      4      1.151      5       4.32       9.00
  4        LPS         7        T        1       M15D0065      F      4      1.220      5       3.50       8.06
  12       LPS         1        T        1       M15D0052      M      4      1.206      5       2.68       7.75
  12       LPS         3        T        1       M15D0060      M      4      1.217      5       3.65       8.49
  12       LPS         4        C        1       SDBL0224      F      4      1.763      5       5.91       9.50
  12       LPS         5        T        1       M15D0061      F      4      1.258      5       3.49       7.34
  15        C          1        C        1       M15D0042      M      5      1.211      5       4.97       9.72
  15        C          2        T        1       M15D0043      M      5      1.231      5       4.71       9.69
  15        C          3        C        1       M15D0044      M      5      1.137      5       4.02       8.41
  15        C          4        T        1       M15D0049      M      5      1.125      5       3.63       7.39
  15        C          5        C        1       M15D0048      M      5      1.204      5       4.48       9.20
  19        C          4        T        1       M15D0053      M      3      1.127      5       3.33       9.08
  19        C          5        C        1       M15D0066      M      3      1.188      5       2.95       6.14
  19        C          6        T        1       M15D0067      M      3      1.123      5       3.60       9.16
  21       LPS         4        T        1       M15D0063      M      3      1.146      5       2.86       6.31
  21       LPS         6        C        1       M15D0064      M      3      1.175      5       4.06       9.15
  21       LPS         7        T        1       SDBL0225      F      3      1.508      5         .          .
  22        C          6        C        1       M15D0095      M      2      1.135      5       2.34       6.15
  22        C          8        C        1       M15D0094      F      2      1.209      5       3.54       7.59
  30        C          4        T        1       M15D0062      F      5      1.215      5       4.39       9.90
  30        C          5        C        1       M15D0068      F      5      1.196      5       5.06       8.25
  30        C          6        T        1       M15D0092      F      5      1.195      5       3.41       7.33
  31       LPS         1        T        1       M15D0055      M      1      1.159      5       4.73       9.60
  32        C          4        T        1       M15D0100      F      4      1.000      5       4.36       9.85
  32        C          5        C        1       M15D0099      M      4      1.001      5       4.38       9.81
  32        C          6        T        1       M15D0103      F      4      1.052      5       4.23       9.12
  32        C          7        C        1       M15D0107      M      4      0.990      5       3.49       8.01
  34        C          2        T        1       SDBL0247      M      6      1.284      5       2.48       6.72
  34        C          3        C        1       SDBL0248      M      6      1.247      5       3.48       7.21
  34        C          6        T        1       M15D0116      M      6      1.234      5       1.64       6.22
  34        C          7        C        1       SDBL0250      M      6      1.261      5       2.75       6.93
  41       LPS         1        T        1       M15D0085      M      5      1.182      5       3.10       8.69
  41       LPS         2        C        1       M15D0086      F      5      1.246      5       4.50       9.26
  41       LPS         3        T        1       M15D0089      M      5      1.388      5       5.72       11.24
  41       LPS         5        T        1       M15D0102      F      5      1.331      5       3.47       7.86
  41       LPS         6        C        1       M15D0093      F      5      1.245      5       2.99       7.47
  42        C          3        C        1       M15D0069      F      3      1.035      5       4.61       9.84
  42        C          4        C        1       M15D0076      F      3      1.029      5       3.35       7.38
  43       LPS         5        C        1       SDBL0270      F      4      1.076      5       3.13       7.70
  43       LPS         6        T        1       M15D0105      F      4      1.036      5       3.46       8.31
  43       LPS         7        C        1       M15D0106      M      4      1.048      5       4.30       8.92
  43       LPS         8        T        1        M15D108      F      4      1.142      5       3.78       7.56
  45        C          1        T        1       M15D0059      F      5      1.075      5       4.56       9.46
  45        C          2        C        1       M15D0070      F      5      1.087      5       5.56       10.35
  45        C          3        T        1       M15D0071      F      5      1.106      5       3.86       9.61
  45        C          4        C        1       M15D0077      M      5      1.108      5       4.00       9.51
  45        C          5        T        1       M15D0079      F      5      1.235      5       4.43       9.38
  46       LPS         1        T        1       M15D0072      F      5      0.976      5       4.25       9.67
  46       LPS         2        C        1       M15D0073      M      5      1.070      5       4.37       9.84
  46       LPS         3        T        1       M15D0078      F      5      1.126      5       4.46       9.90
  46       LPS         4        C        1       SDBL0226      F      5      1.150      5       5.04       10.34
  46       LPS         5        T        1       SDBL0232      M      5      1.192      5       2.81       7.94
  47        C          1        C        1       M15D0109      F      5      1.067      5       3.36       8.90
  47        C          3        C        1       SDBL0246      M      5      1.189      5       4.75       9.95
  47        C          4        T        1       M15D0110      F      5      1.164      5       4.71       10.27
  47        C          5        .        1       M15D0111      M      5      1.226      5       6.07       10.64
