 pair     momtrt      egg    eggtrt    order       cband      sex    bsf    eggmass    age      mass      tarsus
  41       LPS         6        C        1       M15D0093      F      5      1.245     15       11.4       17.19
  42        C          3        C        1       M15D0069      F      3      1.035     15       11.9       16.96
  42        C          4        C        1       M15D0076      F      3      1.029     15       11.7       17.02
  43       LPS         5        C        1       SDBL0270      F      4      1.076     15       11.1       16.50
  43       LPS         6        T        1       M15D0105      F      4      1.036     15       10.7       16.67
  43       LPS         7        C        1       M15D0106      M      4      1.048     15       11.8       16.88
  43       LPS         8        T        1        M15D108      F      4      1.142     15       11.5       15.92
  45        C          1        T        1       M15D0059      F      5      1.075     15       11.3       17.35
  45        C          2        C        1       M15D0070      F      5      1.087     15       11.0       17.07
  45        C          3        T        1       M15D0071      F      5      1.106     15       10.6       17.71
  45        C          4        C        1       M15D0077      M      5      1.108     15       10.7       17.33
  45        C          5        T        1       M15D0079      F      5      1.235     15       10.9       17.15
  46       LPS         1        T        1       M15D0072      F      5      0.976     15       12.1       17.62
  46       LPS         2        C        1       M15D0073      M      5      1.070     15       12.1       17.91
  46       LPS         3        T        1       M15D0078      F      5      1.126     15       11.8       17.10
  46       LPS         4        C        1       SDBL0226      F      5      1.150     15       12.3       18.53
  46       LPS         5        T        1       SDBL0232      M      5      1.192     15       10.9       17.70
  47        C          1        C        1       M15D0109      F      5      1.067     15        9.6       16.41
  47        C          3        C        1       SDBL0246      M      5      1.189     15       12.9       17.75
  47        C          4        T        1       M15D0110      F      5      1.164     15       11.9       17.25
  47        C          5        .        1       M15D0111      M      5      1.226     15       11.2       17.36
  48       LPS         3        C        1       M15D0056      F      7      1.035     15       10.8       17.43
  48       LPS         4        T        .       M15D0074      M      7      1.035     15       11.3       16.79
  48       LPS         5        C        .       SDBL0267      M      7      1.003     15       10.4       15.64
  48       LPS         6        T        .       M15D0080      M      7      1.038     15       11.0       16.46
  48       LPS         7        C        .       M15D0081      M      7      1.110     15       10.0       15.94
  50       LPS         2        T        1       M15D0082      F      5      0.917     15       10.8       17.43
  50       LPS         3        C        1       M15D0083      M      5      0.989     15       10.3       16.52
  50       LPS         4        T        1       M15D0084      F      5      1.095     15       10.7       17.09
  50       LPS         6        T        1       M15D0087      M      5      1.128     15       11.8       16.17
  50       LPS         7        C        1       M15D0090      M      5      1.179     15       11.4       16.85
  52       LPS         4        T        1       M15D0104      F      4      1.035     15        9.8       16.70
  52       LPS         5        C        1       M15D0096      M      4      1.068     15       11.1       16.10
  52       LPS         6        T        .       M15D0097      F      4      1.109     15       10.8       16.83
  52       LPS         7        C        .       M15D0098      M      4      1.159     15       11.5       17.06
  61        C          2        T        1       M15D0112      F      3      1.037     15        9.9       16.26
  61        C          3        C        1       M15D0113      M      3      1.102     15       10.4       16.24
  61        C          4        T        1       M15D0119      M      3      1.280     15       10.3       16.23
  63        C          1        T        .       M15D0114      M      3      1.186     15       11.1       16.97
  63        C          2        C        .       M15D0115      M      3      1.088     15       11.4       16.19
  63        C          4        C        1       M15D0118      M      3      1.174     15        9.7       16.38
  66        C          3        C        1       M15D0122      F      3      1.013     15       11.3       16.04
  66        C          4        T        1       M15D0123      F      3      1.047     15       11.0       16.27
  66        C          5        C        1       SDBL0281      M      3      1.079     15       10.9       16.46
  68        C          2        T        1       M15D0117      F      3      1.312     15       13.5       17.00
  68        C          5        C        1       M15D0120      M      3      1.387     15       12.6       17.39
  72       LPS         3        C        1       SDBL0294      M      1      1.118     15       11.8       17.03
  73       LPS         2        C        1       SDBL0275      M      4      1.120     15       12.3       16.98
  73       LPS         3        T        1       SDBL0276      M      4      1.080     15       11.7       16.58
  75       LPS         1        C        1       M15D0132      M      4      1.030     15        9.1       15.51
  75       LPS         2        T        1       SDBL0273      F      4      0.954     15       11.3       16.82
  75       LPS         3        C        1       M15D0146      F      4      1.020     15       10.4       17.01
  76       LPS         1        T        1       M15D0126      F      5      1.100     15       11.5       16.82
  76       LPS         2        C        .       M15D0124      M      5      1.144     15       12.3       17.21
  76       LPS         3        T        .       M15D0125      F      5      1.150     15       12.2       17.32
  76       LPS         4        C        1       M15D0128      M      5      1.120     15       11.1       17.10
  76       LPS         5        T        1       M15D0127      F      5      1.220     15       11.2       16.45
  77       LPS         2        C        1       M15D0131      F      5      1.080     15       11.7       16.58
  77       LPS         3        T        1       M15D0129      M      5      1.080     15       13.2       16.61
  77       LPS         4        C        1       M15D0130      F      5      1.110     15       12.2       17.26
  77       LPS         5        T        1       SDBL0277      F      5      1.100     15       11.1       15.90
  77       LPS         6        .        1       M15D0144      F      5      1.120     15       10.0       16.74
  80        C          2        T        .       M15D0150      F      6      1.170     15       11.4       17.04
  80        C          3        C        .       M15D0149      M      6      1.130     15       12.6       17.16
  80        C          4        T        1       SDBL0278      M      6      1.130     15       11.9       17.28
  80        C          5        C        1       M15D0135      F      6      1.220     15       13.1       17.74
  80        C          6        C        1       M15D0147      M      6      1.160     15       11.0       17.14
  80        C          7        T        1       M15D0148      M      6      1.210     15       10.7       17.09
  85       LPS         3        T        1       SDBL0272      M      3      0.958     15       11.4       16.84
  85       LPS         4        C        1       M15D0134      F      3      0.913     15       10.6       17.05
  85       LPS         5        T        1       SDBL0274      F      3      1.000     15       11.8       16.92
  1         C          3        C        1       M15D0088      M      3      0.885     20       10.0       16.10
  1         C          5        C        1       SDBL0266      F      3      0.917     20       11.5       16.92
  1         C          6        T        1       M15D0091      M      3      0.882     20       10.5       17.21
  2        LPS         2        T        1       SDBL0269      F      2      0.922     20       10.2       15.17
  2        LPS         3        C        1       M15D0046      M      2      0.885     20       11.7       16.20
  4        LPS         1        T        1       SDBL0242      M      4      1.028     20       12.9       16.91
  4        LPS         4        C        1       M15D0047      M      4      1.026     20       13.0       17.28
  4        LPS         5        T        1       M15D0051      F      4      1.151     20       11.8       17.14
  4        LPS         7        T        1       M15D0065      F      4      1.220     20       11.6       17.72
  12       LPS         1        T        1       M15D0052      M      4      1.206     20       10.5       16.76
  12       LPS         3        T        1       M15D0060      M      4      1.217     20       11.6       17.42
  12       LPS         4        C        1       SDBL0224      F      4      1.763     20       13.4       17.63
  12       LPS         5        T        1       M15D0061      F      4      1.258     20       11.5       16.22
  15        C          1        C        1       M15D0042      M      5      1.211     20       12.6       16.20
  15        C          2        T        1       M15D0043      M      5      1.231     20       12.0       17.57
  15        C          3        C        1       M15D0044      M      5      1.137     20       11.8       16.96
  15        C          4        T        1       M15D0049      M      5      1.125     20       11.4       16.58
  15        C          5        C        1       M15D0048      M      5      1.204     20       12.2       17.05
  19        C          4        T        1       M15D0053      M      3      1.127     20       11.4       16.96
  19        C          5        C        1       M15D0066      M      3      1.188     20       11.9       16.10
  19        C          6        T        1       M15D0067      M      3      1.123     20       11.1       17.06
  21       LPS         4        T        1       M15D0063      M      3      1.146     20       12.0       17.22
  21       LPS         6        C        1       M15D0064      M      3      1.175     20       13.2       17.51
  21       LPS         7        T        1       SDBL0225      F      3      1.508     20       12.3       17.19
  22        C          6        C        1       M15D0095      M      2      1.135     20       12.0       16.33
  22        C          8        C        1       M15D0094      F      2      1.209     20       12.4       15.40
  30        C          4        T        1       M15D0062      F      5      1.215     20       12.0       16.75
  30        C          5        C        1       M15D0068      F      5      1.196     20       13.1       17.77
  30        C          6        T        1       M15D0092      F      5      1.195     20       11.7       16.39
  31       LPS         1        T        1       M15D0055      M      1      1.159     20       12.7       17.30
  32        C          4        T        1       M15D0100      F      4      1.000     20       11.3       16.26
  32        C          5        C        1       M15D0099      M      4      1.001     20       11.0       16.71
  32        C          6        T        1       M15D0103      F      4      1.052     20       12.3       16.81
  32        C          7        C        1       M15D0107      M      4      0.990     20       11.3       15.87
  34        C          2        T        1       SDBL0247      M      6      1.284     20       12.1       15.60
  34        C          3        C        1       SDBL0248      M      6      1.247     20       10.9       15.01
  34        C          6        T        1       M15D0116      M      6      1.234     20       11.8       16.69
  34        C          7        C        1       SDBL0250      M      6      1.261     20       11.9       17.14
  41       LPS         1        T        1       M15D0085      M      5      1.182     20       11.7       18.14
  41       LPS         2        C        1       M15D0086      F      5      1.246     20       12.3       17.09
  41       LPS         3        T        1       M15D0089      M      5      1.388     20       13.2       18.53
  41       LPS         5        T        1       M15D0102      F      5      1.331     20       11.5       17.29
  41       LPS         6        C        1       M15D0093      F      5      1.245     20       12.6       16.98
  42        C          3        C        1       M15D0069      F      3      1.035     20       12.5       17.38
  42        C          4        C        1       M15D0076      F      3      1.029     20       11.4       17.09
  43       LPS         5        C        1       SDBL0270      F      4      1.076     20       11.1       16.78
  43       LPS         6        T        1       M15D0105      F      4      1.036     20       11.2       16.88
  43       LPS         7        C        1       M15D0106      M      4      1.048     20       11.3       16.81
  43       LPS         8        T        1        M15D108      F      4      1.142     20       11.6       15.52
  45        C          1        T        1       M15D0059      F      5      1.075     20       11.8       17.32
  45        C          2        C        1       M15D0070      F      5      1.087     20       11.4       17.52
  45        C          3        T        1       M15D0071      F      5      1.106     20       11.1       17.81
  45        C          4        C        1       M15D0077      M      5      1.108     20       11.0       16.20
  45        C          5        T        1       M15D0079      F      5      1.235     20       12.2       17.20
  46       LPS         1        T        1       M15D0072      F      5      0.976     20       12.2       18.17
  46       LPS         2        C        1       M15D0073      M      5      1.070     20       12.3       18.39
  46       LPS         3        T        1       M15D0078      F      5      1.126     20       12.1       16.98
  46       LPS         4        C        1       SDBL0226      F      5      1.150     20       13.3       18.39
  46       LPS         5        T        1       SDBL0232      M      5      1.192     20       11.3       17.60
  47        C          1        C        1       M15D0109      F      5      1.067     20       10.1       16.93
  47        C          3        C        1       SDBL0246      M      5      1.189     20       13.6       17.67
  47        C          4        T        1       M15D0110      F      5      1.164     20       12.2       17.59
  47        C          5        .        1       M15D0111      M      5      1.226     20       12.1       17.31
  48       LPS         3        C        1       M15D0056      F      7      1.035     20       11.6       17.80
  48       LPS         4        T        .       M15D0074      M      7      1.035     20       11.8       17.05
  48       LPS         5        C        .       SDBL0267      M      7      1.003     20       11.5       15.85
  48       LPS         6        T        .       M15D0080      M      7      1.038     20       11.4       16.51
  48       LPS         7        C        .       M15D0081      M      7      1.110     20       10.7       16.32
  50       LPS         2        T        1       M15D0082      F      5      0.917     20       11.6       17.80
  50       LPS         3        C        1       M15D0083      M      5      0.989     20       10.4       16.53
  50       LPS         4        T        1       M15D0084      F      5      1.095     20       12.1       16.96
  50       LPS         6        T        1       M15D0087      M      5      1.128     20       11.5       17.37
  50       LPS         7        C        1       M15D0090      M      5      1.179     20       11.6       17.27
  52       LPS         4        T        1       M15D0104      F      4      1.035     20       11.1       16.89
  52       LPS         5        C        1       M15D0096      M      4      1.068     20       10.8       16.25
  52       LPS         6        T        .       M15D0097      F      4      1.109     20       11.3       17.16
  52       LPS         7        C        .       M15D0098      M      4      1.159     20       11.8       17.06
  61        C          2        T        1       M15D0112      F      3      1.037     20       10.9       16.29
  61        C          3        C        1       M15D0113      M      3      1.102     20       10.4       16.60
  61        C          4        T        1       M15D0119      M      3      1.280     20       11.4       16.82
  63        C          1        T        .       M15D0114      M      3      1.186     20       12.0       17.24
  63        C          2        C        .       M15D0115      M      3      1.088     20       11.8       16.87
  63        C          4        C        1       M15D0118      M      3      1.174     20       11.0       16.20
  66        C          3        C        1       M15D0122      F      3      1.013     20       11.5       16.17
  66        C          4        T        1       M15D0123      F      3      1.047     20       11.1       17.03
  66        C          5        C        1       SDBL0281      M      3      1.079     20       12.3       16.38
  68        C          2        T        1       M15D0117      F      3      1.312     20       13.0       17.18
  68        C          5        C        1       M15D0120      M      3      1.387     20       11.4       17.10
  72       LPS         3        C        1       SDBL0294      M      1      1.118     20       12.1       17.00
  73       LPS         2        C        1       SDBL0275      M      4      1.120     20       11.7       17.31
  73       LPS         3        T        1       SDBL0276      M      4      1.080     20       11.7       16.51
  75       LPS         1        C        1       M15D0132      M      4      1.030     20        9.9       16.48
  75       LPS         2        T        1       SDBL0273      F      4      0.954     20       11.7       16.99
  75       LPS         3        C        1       M15D0146      F      4      1.020     20       11.4       17.59
  76       LPS         1        T        1       M15D0126      F      5      1.100     20       11.9       17.06
  76       LPS         2        C        .       M15D0124      M      5      1.144     20       12.6       17.26
  76       LPS         3        T        .       M15D0125      F      5      1.150     20       13.0       17.70
  76       LPS         4        C        1       M15D0128      M      5      1.120     20       11.3       16.90
  76       LPS         5        T        1       M15D0127      F      5      1.220     20       11.9       16.84
  77       LPS         2        C        1       M15D0131      F      5      1.080     20       11.2       17.03
  77       LPS         3        T        1       M15D0129      M      5      1.080     20       13.2       17.07
  77       LPS         4        C        1       M15D0130      F      5      1.110     20       13.2       17.58
  77       LPS         5        T        1       SDBL0277      F      5      1.100     20       12.2       16.81
  77       LPS         6        .        1       M15D0144      F      5      1.120     20       10.5       16.45
  80        C          2        T        .       M15D0150      F      6      1.170     20       12.2       17.72
  80        C          3        C        .       M15D0149      M      6      1.130     20       12.8       17.32
  80        C          4        T        1       SDBL0278      M      6      1.130     20       12.4       17.90
  80        C          5        C        1       M15D0135      F      6      1.220     20       14.5       17.81
  80        C          6        C        1       M15D0147      M      6      1.160     20       11.4       17.36
  80        C          7        T        1       M15D0148      M      6      1.210     20       12.4       17.77
  85       LPS         3        T        1       SDBL0272      M      3      0.958     20       12.4       16.83
  85       LPS         4        C        1       M15D0134      F      3      0.913     20       10.7       17.02
  85       LPS         5        T        1       SDBL0274      F      3      1.000     20       11.9       16.78
  1         C          3        C        1       M15D0088      M      3      0.885     25       11.0       15.80
  1         C          5        C        1       SDBL0266      F      3      0.917     25       12.2       17.03
  1         C          6        T        1       M15D0091      M      3      0.882     25       12.6       16.97
  2        LPS         2        T        1       SDBL0269      F      2      0.922     25       10.9       15.06
  2        LPS         3        C        1       M15D0046      M      2      0.885     25       12.8       16.55
  4        LPS         1        T        1       SDBL0242      M      4      1.028     25       12.8       16.99
  4        LPS         4        C        1       M15D0047      M      4      1.026     25       14.5       17.65
  4        LPS         5        T        1       M15D0051      F      4      1.151     25       13.2       17.19
  4        LPS         7        T        1       M15D0065      F      4      1.220     25       13.0       17.15
  12       LPS         1        T        1       M15D0052      M      4      1.206     25       12.9       17.06
  12       LPS         3        T        1       M15D0060      M      4      1.217     25       11.9       16.98
  12       LPS         4        C        1       SDBL0224      F      4      1.763     25       14.4       17.59
  12       LPS         5        T        1       M15D0061      F      4      1.258     25       12.9       16.04
  15        C          1        C        1       M15D0042      M      5      1.211     25       13.1       16.55
  15        C          2        T        1       M15D0043      M      5      1.231     25       12.6       18.12
  15        C          3        C        1       M15D0044      M      5      1.137     25       12.4       16.16
  15        C          4        T        1       M15D0049      M      5      1.125     25       12.7       16.22
  15        C          5        C        1       M15D0048      M      5      1.204     25       11.4       17.16
  19        C          4        T        1       M15D0053      M      3      1.127     25       11.4       17.20
  19        C          5        C        1       M15D0066      M      3      1.188     25       13.0       16.55
  19        C          6        T        1       M15D0067      M      3      1.123     25       12.7       16.32
  21       LPS         4        T        1       M15D0063      M      3      1.146     25       13.3       17.17
  21       LPS         6        C        1       M15D0064      M      3      1.175     25       14.8       18.21
  21       LPS         7        T        1       SDBL0225      F      3      1.508     25       13.2       17.23
  22        C          6        C        1       M15D0095      M      2      1.135     25       10.7       15.60
  22        C          8        C        1       M15D0094      F      2      1.209     25       13.5       15.97
  30        C          4        T        1       M15D0062      F      5      1.215     25       12.2       16.36
  30        C          5        C        1       M15D0068      F      5      1.196     25       13.1       18.85
  30        C          6        T        1       M15D0092      F      5      1.195     25       13.0       16.29
  31       LPS         1        T        1       M15D0055      M      1      1.159     25       14.1       17.21
  32        C          4        T        1       M15D0100      F      4      1.000     25       12.3       16.02
  32        C          5        C        1       M15D0099      M      4      1.001     25       11.8       16.58
  32        C          6        T        1       M15D0103      F      4      1.052     25       13.1       15.77
  32        C          7        C        1       M15D0107      M      4      0.990     25       12.4       15.71
  34        C          2        T        1       SDBL0247      M      6      1.284     25       14.1       15.52
  34        C          3        C        1       SDBL0248      M      6      1.247     25       12.0       15.06
  34        C          6        T        1       M15D0116      M      6      1.234     25       13.2       16.87
  34        C          7        C        1       SDBL0250      M      6      1.261     25       12.5       17.25
  41       LPS         1        T        1       M15D0085      M      5      1.182     25       13.0       17.77
  41       LPS         2        C        1       M15D0086      F      5      1.246     25       13.9       17.40
  41       LPS         3        T        1       M15D0089      M      5      1.388     25       15.2       17.98
  41       LPS         5        T        1       M15D0102      F      5      1.331     25       13.4       17.12
  41       LPS         6        C        1       M15D0093      F      5      1.245     25       13.6       17.08
  42        C          3        C        1       M15D0069      F      3      1.035     25       12.4       17.46
  42        C          4        C        1       M15D0076      F      3      1.029     25       11.1       17.15
  43       LPS         5        C        1       SDBL0270      F      4      1.076     25       12.0       16.84
  43       LPS         6        T        1       M15D0105      F      4      1.036     25       12.2       16.75
  43       LPS         7        C        1       M15D0106      M      4      1.048     25       12.4       16.90
  43       LPS         8        T        1        M15D108      F      4      1.142     25       12.4       16.83
  45        C          1        T        1       M15D0059      F      5      1.075     25       12.8       17.33
  45        C          2        C        1       M15D0070      F      5      1.087     25       12.4       16.85
  45        C          3        T        1       M15D0071      F      5      1.106     25       12.0       17.24
  45        C          4        C        1       M15D0077      M      5      1.108     25       12.3       16.46
  45        C          5        T        1       M15D0079      F      5      1.235     25       12.9       17.49
  46       LPS         1        T        1       M15D0072      F      5      0.976     25       12.9       18.33
  46       LPS         2        C        1       M15D0073      M      5      1.070     25       13.2       18.08
  46       LPS         3        T        1       M15D0078      F      5      1.126     25       13.1       17.36
  46       LPS         4        C        1       SDBL0226      F      5      1.150     25       13.8       18.29
  46       LPS         5        T        1       SDBL0232      M      5      1.192     25       13.0       17.28
  47        C          1        C        1       M15D0109      F      5      1.067     25       11.4       16.61
  47        C          3        C        1       SDBL0246      M      5      1.189     25       14.5       17.69
  47        C          4        T        1       M15D0110      F      5      1.164     25       13.4       17.69
  47        C          5        .        1       M15D0111      M      5      1.226     25       13.1       17.32
  48       LPS         3        C        1       M15D0056      F      7      1.035     25       11.2       17.39
  48       LPS         4        T        .       M15D0074      M      7      1.035     25       13.0       17.14
  48       LPS         5        C        .       SDBL0267      M      7      1.003     25       12.4       15.77
  48       LPS         6        T        .       M15D0080      M      7      1.038     25       13.0       16.61
  48       LPS         7        C        .       M15D0081      M      7      1.110     25       11.4       15.67
  50       LPS         2        T        1       M15D0082      F      5      0.917     25       11.2       17.39
  50       LPS         3        C        1       M15D0083      M      5      0.989     25       10.8       16.06
  50       LPS         4        T        1       M15D0084      F      5      1.095     25       12.9       17.78
  50       LPS         6        T        1       M15D0087      M      5      1.128     25       13.0       16.98
  50       LPS         7        C        1       M15D0090      M      5      1.179     25       13.6       16.88
  52       LPS         4        T        1       M15D0104      F      4      1.035     25       12.4       15.64
  52       LPS         5        C        1       M15D0096      M      4      1.068     25       11.3       16.21
  52       LPS         6        T        .       M15D0097      F      4      1.109     25       13.4       16.89
  52       LPS         7        C        .       M15D0098      M      4      1.159     25       13.4       16.88
  61        C          2        T        1       M15D0112      F      3      1.037     25       11.8       16.48
  61        C          3        C        1       M15D0113      M      3      1.102     25       12.4       16.22
  61        C          4        T        1       M15D0119      M      3      1.280     25       12.6       17.08
  63        C          1        T        .       M15D0114      M      3      1.186     25       12.4       17.17
  63        C          2        C        .       M15D0115      M      3      1.088     25       13.1       16.43
  63        C          4        C        1       M15D0118      M      3      1.174     25       12.0       16.37
  66        C          3        C        1       M15D0122      F      3      1.013     25       12.2       16.72
  66        C          4        T        1       M15D0123      F      3      1.047     25       13.1       16.23
  66        C          5        C        1       SDBL0281      M      3      1.079     25       13.2       16.74
  68        C          2        T        1       M15D0117      F      3      1.312     25       14.2       17.27
  68        C          5        C        1       M15D0120      M      3      1.387     25       12.4       17.34
  72       LPS         3        C        1       SDBL0294      M      1      1.118     25       13.4       17.19
  73       LPS         2        C        1       SDBL0275      M      4      1.120     25       13.3       16.80
  73       LPS         3        T        1       SDBL0276      M      4      1.080     25       13.4       16.70
  75       LPS         1        C        1       M15D0132      M      4      1.030     25       11.3       16.45
  75       LPS         2        T        1       SDBL0273      F      4      0.954     25       12.9       16.62
  75       LPS         3        C        1       M15D0146      F      4      1.020     25       12.3       17.45
  76       LPS         1        T        1       M15D0126      F      5      1.100     25       14.0       17.19
  76       LPS         2        C        .       M15D0124      M      5      1.144     25       14.8       17.36
  76       LPS         3        T        .       M15D0125      F      5      1.150     25       15.3       18.12
  76       LPS         4        C        1       M15D0128      M      5      1.120     25       13.3       16.82
  76       LPS         5        T        1       M15D0127      F      5      1.220     25       12.5       16.77
  77       LPS         2        C        1       M15D0131      F      5      1.080     25       13.5       16.76
  77       LPS         3        T        1       M15D0129      M      5      1.080     25       14.7       17.11
  77       LPS         4        C        1       M15D0130      F      5      1.110     25       13.8       17.25
  77       LPS         5        T        1       SDBL0277      F      5      1.100     25       12.0       16.97
  77       LPS         6        .        1       M15D0144      F      5      1.120     25       11.6       16.39
  80        C          2        T        .       M15D0150      F      6      1.170     25       14.1       17.21
  80        C          3        C        .       M15D0149      M      6      1.130     25       14.3       17.42
  80        C          4        T        1       SDBL0278      M      6      1.130     25       14.0       17.98
  80        C          5        C        1       M15D0135      F      6      1.220     25       16.3       17.87
  80        C          6        C        1       M15D0147      M      6      1.160     25       12.6       17.43
  80        C          7        T        1       M15D0148      M      6      1.210     25         .        17.77
  85       LPS         3        T        1       SDBL0272      M      3      0.958     25       13.1       16.77
  85       LPS         4        C        1       M15D0134      F      3      0.913     25       11.9       17.15
  85       LPS         5        T        1       SDBL0274      F      3      1.000     25       13.3       16.98
  1         C          3        C        1       M15D0088      M      3      0.885     30       11.4       16.11
  1         C          5        C        1       SDBL0266      F      3      0.917     30       13.1       17.62
  1         C          6        T        1       M15D0091      M      3      0.882     30       12.0       16.98
  2        LPS         2        T        1       SDBL0269      F      2      0.922     30       11.5       15.46
  2        LPS         3        C        1       M15D0046      M      2      0.885     30       12.6       16.39
  4        LPS         1        T        1       SDBL0242      M      4      1.028     30       12.9       17.15
  4        LPS         4        C        1       M15D0047      M      4      1.026     30       13.8       17.79
  4        LPS         5        T        1       M15D0051      F      4      1.151     30       13.7       17.24
  4        LPS         7        T        1       M15D0065      F      4      1.220     30       13.7       17.78
  12       LPS         1        T        1       M15D0052      M      4      1.206     30       13.0       17.21
  12       LPS         3        T        1       M15D0060      M      4      1.217     30       13.6       16.87
  12       LPS         4        C        1       SDBL0224      F      4      1.763     30       14.7       17.63
  12       LPS         5        T        1       M15D0061      F      4      1.258     30       12.9       16.43
  15        C          1        C        1       M15D0042      M      5      1.211     30       13.0       16.57
  15        C          2        T        1       M15D0043      M      5      1.231     30       13.0       17.44
  15        C          3        C        1       M15D0044      M      5      1.137     30       12.4       16.38
  15        C          4        T        1       M15D0049      M      5      1.125     30       12.6       16.23
  15        C          5        C        1       M15D0048      M      5      1.204     30       13.6       16.63
  19        C          4        T        1       M15D0053      M      3      1.127     30       13.1       17.23
  19        C          5        C        1       M15D0066      M      3      1.188     30       13.6       16.49
  19        C          6        T        1       M15D0067      M      3      1.123     30       13.2       16.83
  21       LPS         4        T        1       M15D0063      M      3      1.146     30       13.6       17.52
  21       LPS         6        C        1       M15D0064      M      3      1.175     30       15.0       17.93
  21       LPS         7        T        1       SDBL0225      F      3      1.508     30       13.5       17.34
  22        C          6        C        1       M15D0095      M      2      1.135     30       13.7       15.55
  22        C          8        C        1       M15D0094      F      2      1.209     30       13.5       15.37
  30        C          4        T        1       M15D0062      F      5      1.215     30       13.1       16.82
  30        C          5        C        1       M15D0068      F      5      1.196     30       14.3       18.36
  30        C          6        T        1       M15D0092      F      5      1.195     30       13.1       16.79
  31       LPS         1        T        1       M15D0055      M      1      1.159     30       14.2       17.45
  32        C          4        T        1       M15D0100      F      4      1.000     30       13.3       16.04
  32        C          5        C        1       M15D0099      M      4      1.001     30       12.7       16.77
  32        C          6        T        1       M15D0103      F      4      1.052     30       13.7       16.77
  32        C          7        C        1       M15D0107      M      4      0.990     30       13.0       16.54
  34        C          2        T        1       SDBL0247      M      6      1.284     30       13.1       16.01
  34        C          3        C        1       SDBL0248      M      6      1.247     30       11.3       15.03
  34        C          6        T        1       M15D0116      M      6      1.234     30       11.5       16.86
  34        C          7        C        1       SDBL0250      M      6      1.261     30       10.6       17.39
  41       LPS         1        T        1       M15D0085      M      5      1.182     30       13.7       17.85
  41       LPS         2        C        1       M15D0086      F      5      1.246     30       14.0       17.13
  41       LPS         3        T        1       M15D0089      M      5      1.388     30       15.4       18.20
  41       LPS         5        T        1       M15D0102      F      5      1.331     30       13.6       17.24
  41       LPS         6        C        1       M15D0093      F      5      1.245     30       13.5       17.04
  42        C          3        C        1       M15D0069      F      3      1.035     30       13.4       17.56
  42        C          4        C        1       M15D0076      F      3      1.029     30       12.3       17.34
  43       LPS         5        C        1       SDBL0270      F      4      1.076     30       12.8       16.84
  43       LPS         6        T        1       M15D0105      F      4      1.036     30       12.9       16.73
  43       LPS         7        C        1       M15D0106      M      4      1.048     30       13.2       16.92
  43       LPS         8        T        1        M15D108      F      4      1.142     30       12.8       16.21
  45        C          1        T        1       M15D0059      F      5      1.075     30       13.0       17.31
  45        C          2        C        1       M15D0070      F      5      1.087     30       13.0       16.87
  45        C          3        T        1       M15D0071      F      5      1.106     30       13.0       17.53
  45        C          4        C        1       M15D0077      M      5      1.108     30       12.6       16.28
  45        C          5        T        1       M15D0079      F      5      1.235     30       14.1       17.18
  46       LPS         1        T        1       M15D0072      F      5      0.976     30       13.8       18.28
  46       LPS         2        C        1       M15D0073      M      5      1.070     30       13.5       18.52
  46       LPS         3        T        1       M15D0078      F      5      1.126     30       13.2       17.69
  46       LPS         4        C        1       SDBL0226      F      5      1.150     30       14.2       18.50
  46       LPS         5        T        1       SDBL0232      M      5      1.192     30       13.5       17.20
  47        C          1        C        1       M15D0109      F      5      1.067     30       11.3       16.53
  47        C          3        C        1       SDBL0246      M      5      1.189     30       14.5       17.83
  47        C          4        T        1       M15D0110      F      5      1.164     30       13.8       17.69
  47        C          5        .        1       M15D0111      M      5      1.226     30       12.8       17.44
  48       LPS         3        C        1       M15D0056      F      7      1.035     30       12.9       18.07
  48       LPS         4        T        .       M15D0074      M      7      1.035     30       13.0       17.13
  48       LPS         5        C        .       SDBL0267      M      7      1.003     30       12.8       16.02
  48       LPS         6        T        .       M15D0080      M      7      1.038     30       13.0       17.07
  48       LPS         7        C        .       M15D0081      M      7      1.110     30       11.8       16.32
  50       LPS         2        T        1       M15D0082      F      5      0.917     30       12.9       18.07
  50       LPS         3        C        1       M15D0083      M      5      0.989     30       11.5       16.55
  50       LPS         4        T        1       M15D0084      F      5      1.095     30       13.6       17.32
  50       LPS         6        T        1       M15D0087      M      5      1.128     30       13.7       16.88
  50       LPS         7        C        1       M15D0090      M      5      1.179     30       13.6       16.90
  52       LPS         4        T        1       M15D0104      F      4      1.035     30       12.1       16.71
  52       LPS         5        C        1       M15D0096      M      4      1.068     30       12.4       16.18
  52       LPS         6        T        .       M15D0097      F      4      1.109     30       13.9       17.03
  52       LPS         7        C        .       M15D0098      M      4      1.159     30       13.4       17.40
  61        C          2        T        1       M15D0112      F      3      1.037     30       12.1       16.59
  61        C          3        C        1       M15D0113      M      3      1.102     30       12.5       16.29
  61        C          4        T        1       M15D0119      M      3      1.280     30       12.7       16.80
  63        C          1        T        .       M15D0114      M      3      1.186     30       13.1       17.21
  63        C          2        C        .       M15D0115      M      3      1.088     30       13.9       17.19
  63        C          4        C        1       M15D0118      M      3      1.174     30       12.7       16.74
  66        C          3        C        1       M15D0122      F      3      1.013     30       12.5       16.94
  66        C          4        T        1       M15D0123      F      3      1.047     30       13.4       16.64
  66        C          5        C        1       SDBL0281      M      3      1.079     30       13.2       16.68
  68        C          2        T        1       M15D0117      F      3      1.312     30       15.1       17.67
  68        C          5        C        1       M15D0120      M      3      1.387     30       13.2       17.26
