NEST,Fband,fhistory,Fem_age,mband,mhistory,Male_age,TQ,PREV_FLG,SWAP_WITH,TQ_Foster,PREV_FLG_Foster,BD0,BD11_Count,Mass,Tarsus,Wing
NI10-1,270046803,Y15,2,270047679,Y15,1,Intermediate,22,NG_2-2,High,35,160,6,9.48,18.03,31.5
NI10-1,270046803,Y15,2,270047679,Y15,1,Intermediate,22,NG_2-2,High,35,160,6,8.77,18.58,33
NI10-1,270046803,Y15,2,270047679,Y15,1,Intermediate,22,NG_2-2,High,35,160,6,9.47,18.43,31
NI10-1,270046803,Y15,2,270047679,Y15,1,Intermediate,22,NG_2-2,High,35,160,6,8.88,17.92,31.5
NI10-1,270046803,Y15,2,270047679,Y15,1,Intermediate,22,NG_2-2,High,35,160,6,9.16,17.48,30.5
NI10-1,270046803,Y15,2,270047679,Y15,1,Intermediate,22,NG_2-2,High,35,160,6,8.83,18.28,29
NF13-1,266056459,Y15,4,,,,Intermediate,25,NI_4-1,Low,12,155,4,9.77,18.8,31.5
NF13-1,266056459,Y15,4,,,,Intermediate,25,NI_4-1,Low,12,155,4,8.62,17.7,24.5
NF13-1,266056459,Y15,4,,,,Intermediate,25,NI_4-1,Low,12,155,4,9.72,18.7,30.5
NF13-1,266056459,Y15,4,,,,Intermediate,25,NI_4-1,Low,12,155,4,10.67,18.4,29
NE 4-2,,,,270047411,Y15,1,Intermediate,19,NH_1-1,High,26,188,5,10.34,17.6,26
NE 4-2,,,,270047411,Y15,1,Intermediate,19,NH_1-1,High,26,188,5,10.36,18.8,31.5
NE 4-2,,,,270047411,Y15,1,Intermediate,19,NH_1-1,High,26,188,5,10.07,18.7,31
NE 4-2,,,,270047411,Y15,1,Intermediate,19,NH_1-1,High,26,188,5,10.19,18.7,30.5
NE 4-2,,,,270047411,Y15,1,Intermediate,19,NH_1-1,High,26,188,5,10.57,18.4,28
