Age (years),Sex,Tarsus (mm x 100),Year
1,Female,1111,1989
1,Female,1121,1989
1,Female,1069,1989
1,Female,1165,1989
1,Female,1105,1989
1,Female,1267,1989
1,Female,1189,1989
1,Female,1200,1989
1,Female,1176,1989
1,Female,1086,1989
1,Female,1104,1989
1,Female,1110,1989
1,Female,1112,1989
1,Female,1124,1989
1,Female,1070,1990
1,Female,1102,1990
1,Female,1100,1990
1,Female,1246,1990
1,Female,1128,1990
1,Female,1203,1990
1,Female,1240,1990
1,Female,1132,1990
1,Female,1129,1990
1,Female,1106,1990
1,Female,1187,1990
1,Female,1175,1990
1,Female,1064,1990
1,Female,1087,1990
1,Female,1153,1990
1,Female,1107,1990
1,Female,1090,1990
1,Female,1147,1990
1,Female,1162,1990
1,Female,1142,1990
1,Female,1230,1990
1,Female,1135,1990
1,Female,1204,1990
1,Female,1158,1990
1,Female,1112,1990
1,Female,1219,1990
1,Female,1196,1990
1,Female,1137,1990
1,Female,1175,1990
1,Female,1160,1990
1,Female,1073,1990
1,Female,1131,1990
1,Female,1172,1990
1,Female,1216,1990
1,Female,1182,1990
1,Female,1093,1990
1,Female,1242,1990
1,Female,1115,1990
1,Female,1177,1990
1,Female,1147,1990
1,Female,1121,1990
1,Female,1217,1990
1,Female,1156,1990
1,Female,1167,1990
1,Female,1163,1990
1,Female,1128,1990
1,Female,1125,1990
1,Female,1070,1990
1,Female,1264,1990
1,Female,1101,1990
1,Female,1082,1990
1,Female,1128,1990
1,Female,1126,1990
1,Female,1134,1990
1,Female,1105,1990
1,Female,1152,1990
1,Female,1086,1990
1,Female,1104,1990
1,Female,1256,1990
1,Female,1114,1990
1,Female,1210,1990
1,Female,1137,1990
1,Female,1275,1990
1,Female,1106,1990
1,Female,1138,1990
1,Female,1100,1990
1,Female,1141,1990
1,Female,1070,1990
1,Female,1099,1990
1,Female,1163,1990
1,Female,1123,1990
1,Female,1092,1990
1,Female,1252,1990
1,Female,1110,1990
1,Female,1331,1990
1,Female,1060,1990
1,Female,1205,1990
1,Female,1184,1990
1,Female,1087,1990
1,Female,1181,1990
1,Female,1134,1990
1,Female,1091,1990
1,Female,1092,1990
1,Female,1110,1990
1,Female,1006,1990
1,Female,1119,1990
1,Female,1183,1990
1,Female,1191,1990
1,Female,1166,1990
1,Female,1045,1990
1,Female,1149,1990
1,Female,1190,1990
1,Female,1121,1990
1,Female,1051,1990
1,Female,1046,1990
1,Female,1200,1990
1,Female,1091,1990
1,Female,1091,1990
1,Female,1126,1990
1,Female,1087,1990
1,Female,1125,1990
1,Female,1153,1990
1,Female,1261,1990
1,Female,1331,1990
1,Female,1114,1990
1,Female,1025,1990
1,Female,1149,1990
1,Female,1160,1990
1,Female,1289,1990
1,Female,1161,1991
1,Female,1140,1991
1,Female,1163,1991
1,Female,1062,1991
1,Female,1133,1991
1,Female,1211,1991
1,Female,1145,1991
1,Female,1175,1991
1,Female,1095,1991
1,Female,1201,1991
1,Female,1208,1991
1,Female,1123,1991
1,Female,1071,1991
1,Female,1045,1991
1,Female,1085,1991
1,Female,1254,1991
1,Female,1098,1991
1,Female,1153,1991
1,Female,1101,1991
1,Female,1199,1991
1,Female,1164,1991
1,Female,1201,1991
1,Female,1122,1991
1,Female,1094,1991
1,Female,1174,1991
1,Female,1197,1991
1,Female,1195,1991
1,Female,1188,1991
1,Female,1064,1991
1,Female,1021,1991
1,Female,1076,1991
1,Female,1187,1991
1,Female,1065,1991
1,Female,1181,1991
1,Female,1199,1991
1,Female,1044,1991
1,Female,1186,1991
1,Female,1096,1991
1,Female,1114,1991
1,Female,1171,1991
1,Female,1117,1991
1,Female,1115,1991
1,Female,1090,1991
1,Female,1154,1991
1,Female,1128,1991
1,Female,1176,1991
1,Female,1157,1991
1,Female,1097,1991
1,Female,1145,1991
1,Female,1211,1991
1,Female,1131,1991
1,Female,1142,1991
1,Female,1186,1991
1,Female,1124,1991
1,Female,1253,1991
1,Female,1198,1991
1,Female,1138,1991
1,Female,1149,1991
1,Female,1138,1991
1,Female,1091,1991
1,Female,1135,1991
1,Female,1247,1991
1,Female,1081,1991
1,Female,1145,1991
1,Female,1090,1991
1,Female,1163,1991
1,Female,1249,1991
1,Female,1158,1991
1,Female,1143,1991
1,Female,1047,1991
1,Female,1290,1991
1,Female,1206,1991
1,Female,1106,1991
1,Female,1233,1991
1,Female,1129,1991
1,Female,1084,1991
1,Female,1142,1991
1,Female,1190,1991
1,Female,1171,1991
1,Female,1148,1991
1,Female,1199,1991
1,Female,1147,1991
1,Female,1159,1991
1,Female,1126,1991
1,Female,1079,1991
1,Female,1139,1991
1,Female,1085,1991
1,Female,1196,1991
1,Female,1128,1991
1,Female,1113,1991
1,Female,1145,1991
1,Female,1079,1991
1,Female,1110,1991
1,Female,1084,1991
1,Female,1138,1991
1,Female,1180,1991
1,Female,1082,1992
1,Female,1207,1992
1,Female,1067,1992
1,Female,1144,1992
1,Female,1095,1992
1,Female,1077,1992
1,Female,1140,1992
1,Female,1148,1992
1,Female,1147,1992
1,Female,1196,1992
1,Female,1085,1992
1,Female,1055,1992
1,Female,1197,1992
1,Female,1254,1992
1,Female,1191,1992
1,Female,1181,1992
1,Female,1126,1992
1,Female,1105,1992
1,Female,1199,1992
1,Female,1236,1992
1,Female,1158,1992
1,Female,1150,1992
1,Female,1101,1992
1,Female,1132,1992
1,Female,1177,1992
1,Female,1235,1992
1,Female,1095,1992
1,Female,1049,1992
1,Female,1020,1992
1,Female,1028,1992
1,Female,1198,1992
1,Female,1060,1992
1,Female,1092,1992
1,Female,1150,1992
1,Female,1132,1992
1,Female,1128,1992
1,Female,1160,1992
1,Female,1169,1992
1,Female,1184,1992
1,Female,1177,1992
1,Female,1198,1992
1,Female,1052,1992
1,Female,1139,1992
1,Female,1119,1992
1,Female,1258,1992
1,Female,1163,1992
1,Female,1109,1992
1,Female,1005,1992
1,Female,1191,1992
1,Female,1126,1992
1,Female,1143,1992
1,Female,1084,1992
1,Female,1114,1992
1,Female,1096,1992
1,Female,1052,1992
1,Female,1051,1992
1,Female,1142,1992
1,Female,1130,1992
1,Female,1102,1992
1,Female,1119,1992
1,Female,1179,1992
1,Female,1132,1992
1,Female,1123,1992
1,Female,1109,1992
1,Female,1116,1992
1,Female,1165,1992
1,Female,1291,1992
1,Female,1134,1992
1,Female,1022,1992
1,Female,1232,1992
1,Female,1197,1992
1,Female,1148,1992
1,Female,1163,1992
1,Female,1148,1992
1,Female,1113,1992
1,Female,1159,1992
1,Female,1290,1992
1,Female,1092,1992
1,Female,1012,1992
1,Female,1154,1992
1,Female,1221,1992
1,Female,1157,1992
1,Female,1187,1992
1,Female,1198,1992
1,Female,1031,1992
1,Female,1082,1992
1,Female,1039,1992
1,Female,1144,1992
1,Female,1199,1993
1,Female,1049,1993
1,Female,1278,1993
1,Female,1209,1993
1,Female,1073,1993
1,Female,1077,1993
