Year;Focal_nest;Paired-nest;Laying_date;Initial_clutch_size;Treatment;Egg_volume;Nestling_mass;Fledging_tarsus;Fledging_mass;Wing_length;Number_hatched;Number_fledged
2012;k14;k18;126;6;reduced;1623.53;10.25;18.97;14.13;52.17;3;3
2012;k15;k19;126;5;enlarged;1496.27;;;;;5;0
2012;k18;k14;125;6;enlarged;1649.96;7.88;18.92;9.04;46.5;6;2
2012;k19;k15;126;5;reduced;1796.92;9.75;19.38;14.24;55.17;3;3
2012;k27;z7;135;5;enlarged;1797.5;5.63;18.7;14.65;42;5;4
2012;k31;b19;125;5;reduced;1588.72;;;;;3;0
2012;k34;k8;125;6;enlarged;1760.1;8.25;18.87;13.03;44;5;2
2012;k43;z2;128;5;enlarged;1568.59;10.45;19.94;12.95;50.38;5;4
2012;k53;z76;125;6;enlarged;1606.74;9;19.98;13.3;52.25;5;4
2012;k63;z43;140;5;enlarged;1633.24;6.8;19.3;12.08;45.33;5;3
2012;k66;b22;125;6;reduced;1640.2;;;;;3;0
2012;k72;b1;124;6;reduced;1791.64;10.69;19.93;14.86;52.63;4;4
2012;k75;b20;128;6;reduced;1832.14;11;20.35;13.79;46.25;4;2
2012;k8;k34;124;6;reduced;1681.2;8.25;20.01;14.72;49.63;4;4
2012;s100;z74;128;6;reduced;1721.31;11.46;20.6;15.35;52.38;4;4
2012;s103;s73;126;6;enlarged;1724.33;9.35;19.69;13.64;50.1;6;5
2012;s16;s54;127;5;enlarged;1778.4;;;;;5;0
2012;s19;s95;125;5;enlarged;1831.28;10.13;19.97;13.77;50.75;5;2
2012;s24;s60;124;8;enlarged;1494.42;;;;;3;0
2012;s27;z79;124;7;enlarged;1644.82;6.88;19.3;12.52;42;7;2
2012;s29;s33;124;6;enlarged;1425.09;8.31;19.3;12.09;52;6;4
2012;s33;s29;124;6;reduced;1684.15;8.75;20.51;15.08;50.17;3;3
2012;s34;z72;122;5;reduced;1901.12;8.92;20.03;13.79;50.5;3;3
2012;s36;s40;124;6;enlarged;1662.24;;;;;6;0
2012;s40;s36;124;6;reduced;1738.45;11.5;20.1;13.91;54.38;4;4
2012;s41;z5;125;6;enlarged;1683.76;8.75;18.79;13.2;49.17;6;4
2012;s5;s55;125;6;enlarged;1755.61;10.13;19.11;12.15;48;5;2
2012;s54;s16;128;6;reduced;1760.06;10.4;19.45;14.3;53.38;4;4
2012;s55;s5;125;6;reduced;1583.9;9.58;19.53;12.6;49.67;4;3
2012;s60;s24;126;6;reduced;1587;11.73;19.71;15.89;54.75;2;2
2012;s62;s66;123;6;enlarged;1523.83;8.5;19.57;13.69;49.5;5;3
2012;s66;s62;123;6;reduced;1681.27;9.13;19.35;14.07;51.38;4;4
2012;s67;z51;123;7;reduced;1550.07;8;19.59;12.92;47;5;4
2012;s69;z69;125;5;reduced;1780.31;11.63;20.45;15.83;50.5;3;2
2012;s72;s94;123;6;enlarged;1691.87;7.75;20.15;13.91;51;6;4
2012;s73;s103;125;6;reduced;1591.3;9.83;20.11;14.26;51;4;3
2012;s84;s97;123;7;reduced;1515.34;10.19;19.66;12.24;50.75;4;4
2012;s91;z71;122;6;enlarged;1584.19;9.94;20.14;14.73;53.88;4;4
2012;s94;s72;122;6;reduced;1804.06;10.5;20.37;15.29;52.75;4;4
2012;s95;s19;124;5;reduced;1600.56;11.5;19.66;15.1;52.5;2;2
2012;s97;s84;121;8;enlarged;1685.59;9.8;20;13.72;52.6;7;5
2012;z16;z33;125;6;reduced;1538.3;9;20.12;14.87;51.17;3;3
2012;z18;z52;124;6;enlarged;1566.77;11.25;19.18;12.27;49;6;1
2012;z2;k43;127;5;reduced;1522.94;9.73;19.92;12.91;46.83;3;3
2012;z31;b7;126;7;enlarged;1823.75;9.38;19.44;13;49.25;5;2
2012;z33;z16;124;6;enlarged;1545.75;8;19.04;12.23;46.5;6;2
2012;z41;z47;124;6;reduced;1433.53;;;;;4;0
2012;z43;k63;139;5;reduced;1617.25;5.38;18.98;13.72;42.5;3;3
2012;z44;z89;126;6;enlarged;1423.37;10.5;19.57;12.56;49.25;5;2
2012;z47;z41;124;6;enlarged;1650.03;;;;;5;0
