,sex,age,mean,variance,skew,n
collared flycatcher chicks,U,J,19.22668,1.195727,-3.487661,15602
pied flycatcher chicks,U,J,19.37199,1.040261,-4.693084,2846
collared flycatcher adults,F,A,19.54649,0.4376224,-1.4059136,4540
collared flycatcher adults,M,A,19.49456,0.4198749,-0.8316502,4185
pied flycatcher adults,F,A,19.50894,0.3990026,-1.0561926,1023
pied flycatcher adults,M,A,19.43204,0.5359089,-0.4301112,925
