OffspringID,NestAge,BroodSize,ClutchSizeKnown,TarsusChick,BodyMass,CatchTime,CatchMonth,Food,FP,TQ,HelpBinary,Sex,ChickTypeCondition,Comparison,RTL,Condition,CondType,SurvivalToBreedAge
61,26,1,1,24.8,16.4,Mid,8,19.07006369,37,,1,Male,Single,Best,0.840119698,0.391964774,SA,NO
62,26,1,1,24.5,16.4,Mid,8,27.96,30,7532.203518,0,Female,Single,Best,,0.890910642,SA,YES
63,26,1,1,24.9,17.5,Late,8,19.07006369,37,,0,Male,Single,Best,0.83495342,0.941744328,SA,YES
64,26,1,1,20.1,14,Late,8,21.59259259,25,34104.53499,1,Female,Single,Best,0.894409592,1.324078748,SA,YES
65,26,1,1,23.4,15.7,Mid,2,21.94267516,90,22207.47015,0,Male,Single,Best,1.983542777,1.846704689,SA,NO
66,26,1,0,19.6,10,Mid,8,,41,,1,Male,Single,Worst,0.637264638,-1.984802551,SB,NO
67,26,1,0,21.6,12.5,Early,9,71.10493827,105,14097.02379,,Female,Single,Worst,0.791695692,-1.092239013,SB,NO
68,26,1,0,24.5,14.4,Early,9,19.07006369,37,,0,Female,Single,Worst,0.611422384,-1.051719449,SB,YES
69,26,1,0,21.6,12.9,Mid,9,24.06875,104,14179.92716,1,Male,Single,Worst,,-0.810793381,SB,NO
70,26,1,0,22.4,13.5,Early,8,19.49450549,75,7100.297684,1,Female,Single,Worst,1.004972616,-0.503482839,SB,YES
71,26,1,0,22.9,14.2,Early,9,24.06875,104,27706.02191,1,Female,Single,Worst,1.399660184,-0.225799208,SB,YES
72,26,1,1,24.5,15.2,Late,8,19.07006369,37,,0,Male,Single,Worst,1.192508721,-1.048776236,SB,YES
73,26,1,1,21.5,12.9,Early,2,43.47777778,23,33361.14539,0,Female,Single,Worst,,0.08389506,SB,NO
74,26,2,0,24.2,15.2,Mid,9,27.89121339,116,15835.15909,1,Male,Sibling 1,Best,1.055712356,-0.522409718,A,YES
75,26,2,0,22.8,14.7,Late,9,71.10493827,105,7070.698827,1,Male,Sibling 1,Best,0.931153443,-0.412082278,A,YES
76,26,2,0,24,15.8,Mid,8,11.00826446,82,8906.984976,1,Male,Sibling 1,Best,1.703975438,0.410923648,A,YES
77,26,2,0,21,11.5,Mid,9,27.89121339,116,15835.15909,1,Female,Sibling 2,Worst,0.976121008,-1.866605127,B,YES
78,26,2,0,21.4,12.8,Mid,8,11.00826446,82,8906.984976,1,Female,Sibling 2,Worst,1.138833824,-0.721368893,B,YES
79,26,2,0,20,12.1,Late,9,71.10493827,105,7070.698827,1,Female,Sibling 2,Worst,1.216805167,-0.613517531,B,NO
80,27,1,0,23.7,15.5,Late,8,12.05050505,87,24523.21624,1,Female,Single,Best,1.075488867,0.515758208,SA,NO
81,27,1,0,24.5,16.4,Early,8,19.49450549,75,17434.72041,0,Male,Single,Best,1.081316837,1.02370082,SA,YES
82,27,1,0,26,17.6,Early,8,71.10493827,105,25214.4298,1,Male,Single,Best,0.844425214,1.063152933,SA,YES
83,27,1,0,22.9,15.8,Mid,8,26.7816092,125,30925.78436,0,Male,Single,Best,,1.261992098,SA,YES
84,27,1,1,23.6,15.5,Mid,9,26.7816092,125,7018.628141,0,Female,Single,Best,,0.466274483,SA,YES
85,27,1,1,24.6,16.5,Early,9,19.07006369,37,,0,Male,Single,Best,0.720117465,0.867737313,SA,NO
86,27,1,1,23.5,16.5,Mid,8,19.07006369,37,,0,Male,Single,Best,1.341602301,1.497772943,SA,YES
87,27,1,2,22.9,14.9,Late,8,19.07006369,37,,1,Female,Single,Best,1.369060465,0.428718328,SA,YES
88,27,1,2,25.9,17.8,Mid,9,19.07006369,37,,0,Male,Single,Best,1.037317081,0.762302676,SA,NO
89,27,1,0,23.9,13.8,Mid,8,26.7816092,125,28900.65673,1,Male,Single,Worst,0.747407994,-1.511706493,SB,YES
90,27,1,0,23.6,14,Early,8,24.06875,104,21368.94038,0,Female,Single,Worst,1.453478298,-0.772923019,SB,YES
91,27,1,0,26.8,17,Mid,8,24.06875,104,19517.6826,0,Male,Single,Worst,0.556279354,-0.555432408,SB,YES
92,27,1,0,21.8,12.9,Early,8,26.7816092,125,20275.80284,1,Male,Single,Worst,,-0.387312983,SB,NO
93,27,1,0,26.5,17.1,Mid,8,27.96,30,76313.65578,1,Male,Single,Worst,,-0.223322831,SB,YES
94,27,1,0,24.6,15.6,Late,9,11.00826446,82,19386.14976,0,Female,Single,Worst,0.847026961,-0.063038222,SB,YES
95,27,1,0,23.7,14.8,Early,8,19.49450549,75,13693.44665,0,Female,Single,Worst,2.18285624,-0.037043034,SB,YES
96,27,1,0,23.2,14.9,Mid,9,11.00826446,82,9047.074971,0,Female,Single,Worst,0.750100317,0.122754543,SB,YES
97,27,1,1,22.4,14,Mid,8,27.96,30,14217.21728,0,Male,Single,Worst,0.600170061,-0.151158606,SB,YES
98,27,1,2,23.1,13.9,Early,8,27.96,30,5246.319532,0,Female,Single,Worst,,-0.552322944,SB,YES
99,27,2,0,22.5,14.1,Mid,9,11.00826446,82,6759.665857,0,Male,Sibling 1,Best,1.126106193,-0.307122113,A,NO
100,27,2,0,25.2,16.9,Late,8,24.06875,104,20077.58704,1,Male,Sibling 1,Best,,0.10963475,A,NO
101,27,2,0,19.6,11,Mid,9,11.00826446,82,6759.665857,0,Female,Sibling 2,Worst,1.261864459,-1.468924917,B,NO
102,27,2,0,25.5,16.6,Late,8,24.06875,104,20077.58704,1,Male,Sibling 2,Worst,0.88101233,-0.422474827,B,YES
103,28,1,0,22.2,14.5,Mid,8,24.06875,104,19759.22813,,Male,Single,Best,,0.503581112,SA,YES
104,28,1,0,23.8,15.9,Mid,8,26.7816092,125,21936.66297,0,Male,Single,Best,0.880980305,0.665663366,SA,YES
105,28,1,0,24.3,16.5,Late,8,11.00826446,82,15580.65441,0,Female,Single,Best,0.690107466,1.131038118,SA,NO
106,28,1,0,25,18.1,Late,8,27.96,30,21550.66238,0,Male,Single,Best,0.972529547,1.464374468,SA,YES
107,28,1,1,25.3,16.3,Early,8,14.7122807,34,7722.062953,1,Male,Single,Best,1.367488245,0.304741947,SA,NO
108,28,1,1,23.4,16.5,Mid,8,19.07006369,37,,1,Female,Single,Best,0.645748494,1.696230807,SA,YES
109,28,1,1,23.8,16.9,Early,8,,41,,0,Male,Single,Best,1.925606268,2.065289834,SA,YES
110,28,1,1,25.1,18.4,Mid,8,27.96,30,26673.73211,1,Male,Single,Best,,2.159855197,SA,YES
111,28,1,1,20.7,15.4,Early,8,14.7122807,34,5821.946923,1,Female,Single,Best,1.207521687,2.486557416,SA,NO
112,28,1,0,17.3,10.5,Mid,9,11.00826446,82,11403.17304,0,Female,Single,Worst,0.785968696,-0.494164572,SB,YES
113,28,1,0,24.5,15.4,Mid,8,27.96,30,8818.117625,0,Female,Single,Worst,,-0.109089358,SB,YES
114,28,1,0,24.5,15.7,Mid,8,27.96,30,7836.996567,0,Male,Single,Worst,,-0.075925648,SB,YES
115,28,1,0,26.2,17.1,Mid,8,19.07006369,37,,0,Male,Single,Worst,0.959057428,0.008786747,SB,YES
116,28,1,0,24.3,15.3,Early,8,31.96410256,92,22815.82172,0,Male,Single,Worst,0.961721101,0.078440538,SB,NO
117,28,1,1,24.9,16,Late,8,19.07006369,37,,1,Male,Single,Worst,1.030033822,-0.558255672,SB,YES
118,28,1,1,25.6,16.4,Early,8,27.96,30,12420.73138,0,Male,Single,Worst,0.800752098,0.172632369,SB,YES
119,28,1,1,,,,9,27.96,30,16365.54602,0,Male,Single,,1.047093033,,,YES
120,28,2,0,23.7,13.6,Late,8,19.07006369,37,,0,Male,Sibling 1,Best,0.852857259,-2.029817363,A,YES
121,28,2,0,25.6,15.8,Early,8,71.10493827,105,36361.84411,1,Male,Sibling 1,Best,0.717567659,-0.427367631,A,NO
122,28,2,2,24.3,16.1,Late,8,19.07006369,37,,0,Male,Sibling 1,Best,1.690433053,0.005963482,A,NO
123,28,2,0,22,12,Late,8,19.07006369,37,,0,Female,Sibling 2,Worst,1.133158398,-1.894201537,B,NO
124,28,2,0,25.1,14.6,Early,8,71.10493827,105,36361.84411,1,Male,Sibling 2,Worst,,-1.240518335,B,NO
125,28,2,2,22.6,14.5,Late,8,19.07006369,37,,0,Female,Sibling 2,Worst,1.415265224,0.221078373,B,NO
126,28,2,2,,,Mid,9,19.49450549,75,8660.961328,,Female,,,,,,YES
127,28,2,2,,,Mid,9,19.49450549,75,8660.961328,,Male,,,,,,YES
