OffspringID,NestAge,BroodSize,ClutchSizeKnown,TarsusChick,BodyMass,CatchTime,CatchMonth,Food,FP,TQ,HelpBinary,Sex,ChickTypeCondition,Comparison,RTL,Condition,CondType,SurvivalToBreedAge
227,33,2,0,25.1,13.8,Mid,9,19.49450549,75,14882.63117,0,Male,Sibling 2,Worst,0.841903856,-2.618738451,B,NO
228,33,2,0,25.9,17.2,Early,8,31.96410256,92,21205.7907,0,Male,Sibling 2,Worst,1.092115698,0.740522792,B,YES
229,34,1,0,24.8,16.4,Early,8,19.49450549,75,9069.520584,,Male,Single,Best,1.527409142,0.791591243,SA,YES
230,34,1,0,22.8,14.2,Early,8,24.06875,104,12317.1257,1,Female,Single,Worst,1.246418091,-0.059962899,SB,NO
231,34,1,0,21,12.8,Early,8,19.49450549,75,6364.288107,0,Male,Single,Worst,1.187142403,0.13164589,SB,YES
232,34,1,2,,,,6,19.07006369,37,,1,Male,Single,,,,,YES
233,34,2,0,,14,,7,42.26865672,21,133002.3916,0,Female,,,,,,YES
234,34,2,0,,,,7,42.26865672,21,133002.3916,0,Male,,,,,,NO
235,38,1,0,26,17.6,Early,8,19.49450549,75,7539.859715,1,Male,Single,Best,0.951702688,1.063152933,SA,YES
236,38,1,0,26.4,19.1,Mid,8,27.96,30,9518.95378,0,Male,Single,Best,,1.854047028,SA,YES
237,38,1,0,24.3,15.6,Mid,8,27.96,30,15190.68323,0,Female,Single,Worst,,0.219150672,SB,YES
238,38,1,1,27.1,13.5,Early,1,43.47777778,23,16817.69733,0,Male,Single,Worst,,-2.637759984,SB,NO
239,38,1,1,22.5,13.5,Late,8,,41,,,Male,Single,Worst,2.854369111,-1.201379053,SB,NO
240,38,1,1,25.5,15.2,Mid,4,,27,,,Male,Single,Worst,0.553839907,-0.635249649,SB,YES
241,39,1,0,23.5,16,Early,9,71.10493827,105,15483.85143,0,Male,Single,Best,,1.218805764,SA,NO
242,39,1,0,24.7,15.8,Mid,8,19.49450549,75,13005.63798,0,Female,Single,Worst,1.827009608,0.162670612,SB,YES
243,39,1,1,,15.4,Late,12,43.47777778,23,35761.27204,0,Female,Single,,,,,YES
244,41,1,1,22.4,14.5,Late,9,19.07006369,37,,0,Female,Single,Worst,0.973706903,0.247602109,SB,YES
245,43,1,1,,7.9,Early,1,7.822222222,26,22292.89815,0,Female,Single,,0.641214522,,,YES
246,43,1,1,,,,9,27.96,30,9916.48616,1,Female,Single,,0.694592548,,,YES
247,45,1,1,25.5,17.2,Early,9,19.07006369,37,,0,Male,Single,Best,1.014564926,0.871408581,SA,YES
248,45,1,1,22.4,12.4,Mid,4,,27,,0,Female,Single,Worst,0.660872431,-1.355703867,SB,NO
249,49,1,0,22.4,15,Mid,8,19.07006369,37,,,Female,Single,Best,1.497386589,0.837430957,SA,YES
