"bird_id","egg_id","clip_id","ring_no","min_hatch_date","min_hatch_time","max_hatch_date","max_hatch_time","nest_rear","max_death_date","max_death_time","sex"
"L970879",NA,"L","L970879","2013-06-02","9:04","2013-06-03","11:36:00.00","13_A13","2013-06-18","15:24:00.00","M"
"L970877",NA,"R","L970877","2013-06-02","9:04","2013-06-03","11:36:00.00","13_A13","2013-06-15","14:48:00.00","M"
"L970884",NA,"B","L970884","2013-06-02","9:04","2013-06-03","11:36:00.00","13_A13","2013-06-18","15:24:00.00","F"
"L970883",NA,"LB","L970883","2013-06-02","9:04","2013-06-03","11:36:00.00","13_A13","2013-06-18","15:24:00.00","F"
"L970880",NA,"RB","L970880","2013-06-02","9:04","2013-06-03","11:36:00.00","13_A13","2013-06-15","14:48:00.00","F"
"L970881",NA,"LR","L970881","2013-06-02","9:04","2013-06-03","11:36:00.00","13_A13","2013-06-18","15:24:00.00","M"
"L970876",NA,"A","L970876","2013-06-02","9:04","2013-06-03","11:36:00.00","13_A13","2013-06-15","14:48:00.00","F"
"L970882",NA,"LT","L970882","2013-06-02","9:04","2013-06-03","11:36:00.00","13_A13","2013-06-15","14:48:00.00","M"
"L970878",NA,"N","L970878","2013-06-03","11:36:00.00","2013-06-04","11:27:00.00","13_A13","2013-06-15","14:48:00.00","M"
"L970885",NA,"L","L970885","2013-06-02","10:52","2013-06-03","13:07:00.00","13_A46",NA,NA,"M"
"L970890",NA,"R","L970890","2013-06-02","10:52","2013-06-03","13:07:00.00","13_A46",NA,NA,"M"
"L970887",NA,"B","L970887","2013-06-02","10:52","2013-06-03","13:07:00.00","13_A46",NA,NA,"M"
"L970886",NA,"LB","L970886","2013-06-02","10:52","2013-06-03","13:07:00.00","13_A46",NA,NA,"M"
"L970889",NA,"RB","L970889","2013-06-02","10:52","2013-06-03","13:07:00.00","13_A46",NA,NA,"M"
"L970888",NA,"N","L970888","2013-06-03","13:07:00.00","2013-06-04","12:54:00.00","13_A46",NA,NA,"F"
"L970828",NA,"L","L970828","2013-06-02","7:30","2013-06-03","07:48:00.00","13_14","2013-06-28",NA,"M"
"L970826",NA,"R","L970826","2013-06-02","7:30","2013-06-03","07:48:00.00","13_14","2013-06-28",NA,"F"
