"bird_id","egg_id","clip_id","ring_no","min_hatch_date","min_hatch_time","max_hatch_date","max_hatch_time","nest_rear","max_death_date","max_death_time","sex"
"X552013",NA,NA,"X552013",NA,NA,NA,NA,NA,NA,NA,"F"
"X552051",NA,NA,"X552051",NA,NA,NA,NA,NA,NA,NA,"M"
"X552015",NA,NA,"X552015",NA,NA,NA,NA,NA,NA,NA,"F"
"X552018",NA,NA,"X552018",NA,NA,NA,NA,NA,NA,NA,"F"
"X552058",NA,NA,"X552058",NA,NA,NA,NA,NA,NA,NA,"M"
"X552036",NA,NA,"X552036",NA,NA,NA,NA,NA,NA,NA,"F"
"X552052",NA,NA,"X552052",NA,NA,NA,NA,NA,NA,NA,"M"
"X552059",NA,NA,"X552059",NA,NA,NA,NA,NA,NA,NA,"M"
"X552016",NA,NA,"X552016",NA,NA,NA,NA,NA,NA,NA,"F"
"X552017",NA,NA,"X552017",NA,NA,NA,NA,NA,NA,NA,"F"
"X552053",NA,NA,"X552053",NA,NA,NA,NA,NA,NA,NA,"M"
"X552020",NA,NA,"X552020",NA,NA,NA,NA,NA,NA,NA,"F"
"X552060",NA,NA,"X552060",NA,NA,NA,NA,NA,NA,NA,"M"
"X552070",NA,NA,"X552070",NA,NA,NA,NA,NA,NA,NA,"M"
"X552074",NA,NA,"X552074",NA,NA,NA,NA,NA,NA,NA,"F"
"X552071",NA,NA,"X552071",NA,NA,NA,NA,NA,NA,NA,"M"
"X552021",NA,NA,"X552021",NA,NA,NA,NA,NA,NA,NA,"F"
"X552072",NA,NA,"X552072",NA,NA,NA,NA,NA,NA,NA,"F"
"X552073",NA,NA,"X552073",NA,NA,NA,NA,NA,NA,NA,"M"
"X552025",NA,NA,"X552025",NA,NA,NA,NA,NA,NA,NA,"F"
"X552034",NA,NA,"X552034",NA,NA,NA,NA,NA,NA,NA,"F"
"X552075",NA,NA,"X552075",NA,NA,NA,NA,NA,NA,NA,"M"
"X552032",NA,NA,"X552032",NA,NA,NA,NA,NA,NA,NA,"F"
"X552033",NA,NA,"X552033",NA,NA,NA,NA,NA,NA,NA,"F"
"X552085",NA,NA,"X552085",NA,NA,NA,NA,NA,NA,NA,"M"
"X552076",NA,NA,"X552076",NA,NA,NA,NA,NA,NA,NA,"M"
"P865426",NA,NA,"P865426",NA,NA,NA,NA,NA,NA,NA,"F"
"P865414",NA,NA,"P865414",NA,NA,NA,NA,NA,NA,NA,"F"
"X552090",NA,NA,"X552090",NA,NA,NA,NA,NA,NA,NA,"M"
"X552039",NA,NA,"X552039",NA,NA,NA,NA,NA,NA,NA,"F"
"X552078",NA,NA,"X552078",NA,NA,NA,NA,NA,NA,NA,"M"
"X552041",NA,NA,"X552041",NA,NA,NA,NA,NA,NA,NA,"F"
"X552037",NA,NA,"X552037",NA,NA,NA,NA,NA,NA,NA,"F"
"X552081",NA,NA,"X552081",NA,NA,NA,NA,NA,NA,NA,"M"
"X552022",NA,NA,"X552022",NA,NA,NA,NA,NA,NA,NA,"F"
"X552077",NA,NA,"X552077",NA,NA,NA,NA,NA,NA,NA,"M"
"X552040",NA,NA,"X552040",NA,NA,NA,NA,NA,NA,NA,"F"
"X552092",NA,NA,"X552092",NA,NA,NA,NA,NA,NA,NA,"M"
"X552038",NA,NA,"X552038",NA,NA,NA,NA,NA,NA,NA,"F"
"X552083",NA,NA,"X552083",NA,NA,NA,NA,NA,NA,NA,"M"
"X552035",NA,NA,"X552035",NA,NA,NA,NA,NA,NA,NA,"F"
"X552086",NA,NA,"X552086",NA,NA,NA,NA,NA,NA,NA,"M"
"X552049",NA,NA,"X552049",NA,NA,NA,NA,NA,NA,NA,"F"
"X552084",NA,NA,"X552084",NA,NA,NA,NA,NA,NA,NA,"M"
"X552047",NA,NA,"X552047",NA,NA,NA,NA,NA,NA,NA,"F"
"X552087",NA,NA,"X552087",NA,NA,NA,NA,NA,NA,NA,"M"
"X552043",NA,NA,"X552043",NA,NA,NA,NA,NA,NA,NA,"F"
"X552088",NA,NA,"X552088",NA,NA,NA,NA,NA,NA,NA,"M"
"P865398",NA,NA,"P865398",NA,NA,NA,NA,NA,NA,NA,"F"
"X552089",NA,NA,"X552089",NA,NA,NA,NA,NA,NA,NA,"M"
"X552055",NA,NA,"X552055",NA,NA,NA,NA,NA,NA,NA,"F"
"X552079",NA,NA,"X552079",NA,NA,NA,NA,NA,NA,NA,"M"
"X552082",NA,NA,"X552082",NA,NA,NA,NA,NA,NA,NA,"F"
"X552080",NA,NA,"X552080",NA,NA,NA,NA,NA,NA,NA,"M"
"X552054",NA,NA,"X552054",NA,NA,NA,NA,NA,NA,NA,"F"
"P865325",NA,NA,"P865325",NA,NA,NA,NA,NA,NA,NA,"F"
"X275503",NA,NA,"X275503",NA,NA,NA,NA,NA,NA,NA,"M"
"P865470",NA,NA,"P865470",NA,NA,NA,NA,NA,NA,NA,"F"
"X552091",NA,NA,"X552091",NA,NA,NA,NA,NA,NA,NA,"M"
"X552048",NA,NA,"X552048",NA,NA,NA,NA,NA,NA,NA,"F"
"X552093",NA,NA,"X552093",NA,NA,NA,NA,NA,NA,NA,"M"
"X552094",NA,NA,"X552094",NA,NA,NA,NA,NA,NA,NA,"F"
"X552095",NA,NA,"X552095",NA,NA,NA,NA,NA,NA,NA,"M"
"X552042",NA,NA,"X552042",NA,NA,NA,NA,NA,NA,NA,"F"
"X552096",NA,NA,"X552096",NA,NA,NA,NA,NA,NA,NA,"M"
"X552046",NA,NA,"X552046",NA,NA,NA,NA,NA,NA,NA,"F"
"X552097",NA,NA,"X552097",NA,NA,NA,NA,NA,NA,NA,"M"
"X552050",NA,NA,"X552050",NA,NA,NA,NA,NA,NA,NA,"F"
"X552098",NA,NA,"X552098",NA,NA,NA,NA,NA,NA,NA,"M"
"X552045",NA,NA,"X552045",NA,NA,NA,NA,NA,NA,NA,"F"
"X552099",NA,NA,"X552099",NA,NA,NA,NA,NA,NA,NA,"M"
"X552056",NA,NA,"X552056",NA,NA,NA,NA,NA,NA,NA,"F"
"X552100",NA,NA,"X552100",NA,NA,NA,NA,NA,NA,NA,"M"
"X552101",NA,NA,"X552101",NA,NA,NA,NA,NA,NA,NA,"M"
"X552102",NA,NA,"X552102",NA,NA,NA,NA,NA,NA,NA,"F"
"P865490",NA,NA,"P865490",NA,NA,NA,NA,NA,NA,NA,"M"
"X552104",NA,NA,"X552104",NA,NA,NA,NA,NA,NA,NA,"F"
"X552105",NA,NA,"X552105",NA,NA,NA,NA,NA,NA,NA,"F"
"P865311",NA,NA,"P865311",NA,NA,NA,NA,NA,NA,NA,"F"
"P865479",NA,NA,"P865479",NA,NA,NA,NA,NA,NA,NA,"M"
"P865423",NA,NA,"P865423",NA,NA,NA,NA,NA,NA,NA,"F"
"X552106",NA,NA,"X552106",NA,NA,NA,NA,NA,NA,NA,"M"
"X552107",NA,NA,"X552107",NA,NA,NA,NA,NA,NA,NA,"F"
"X552108",NA,NA,"X552108",NA,NA,NA,NA,NA,NA,NA,"F"
"X552109",NA,NA,"X552109",NA,NA,NA,NA,NA,NA,NA,"M"
"P865442",NA,NA,"P865442",NA,NA,NA,NA,NA,NA,NA,"F"
"P865467",NA,NA,"P865467",NA,NA,NA,NA,NA,NA,NA,"M"
"X552111",NA,NA,"X552111",NA,NA,NA,NA,NA,NA,NA,"F"
"X552110",NA,NA,"X552110",NA,NA,NA,NA,NA,NA,NA,"M"
"X552112",NA,NA,"X552112",NA,NA,NA,NA,NA,NA,NA,"F"
"X552114",NA,NA,"X552114",NA,NA,NA,NA,NA,NA,NA,"F"
"X552113",NA,NA,"X552113",NA,NA,NA,NA,NA,NA,NA,"M"
"X552115",NA,NA,"X552115",NA,NA,NA,NA,NA,NA,NA,"F"
"X552117",NA,NA,"X552117",NA,NA,NA,NA,NA,NA,NA,"F"
"X552116",NA,NA,"X552116",NA,NA,NA,NA,NA,NA,NA,"M"
"P865399",NA,NA,"P865399",NA,NA,NA,NA,NA,NA,NA,"F"
"T562547",NA,NA,"T562547",NA,NA,NA,NA,NA,NA,NA,"F"
"X552118",NA,NA,"X552118",NA,NA,NA,NA,NA,NA,NA,"M"
"X552014",NA,NA,"X552014",NA,NA,NA,NA,NA,NA,NA,"F"
"X552119",NA,NA,"X552119",NA,NA,NA,NA,NA,NA,NA,"M"
"X552120",NA,NA,"X552120",NA,NA,NA,NA,NA,NA,NA,"F"
"X552121",NA,NA,"X552121",NA,NA,NA,NA,NA,NA,NA,"F"
"X552044",NA,NA,"X552044",NA,NA,NA,NA,NA,NA,NA,"F"
"X552031",NA,NA,"X552031",NA,NA,NA,NA,NA,NA,NA,"F"
"X552019",NA,NA,"X552019",NA,NA,NA,NA,NA,NA,NA,"F"
"X552057",NA,NA,"X552057",NA,NA,NA,NA,NA,NA,NA,"F"
"P865403",NA,NA,"P865403",NA,NA,NA,NA,NA,NA,NA,"F"
"X551079",NA,"L","X551079","2009-05-13",NA,"2009-05-15","14:39:00","09_1",NA,NA,"M"
"X551083",NA,"R","X551083","2009-05-13",NA,"2009-05-15","14:39:00","09_1",NA,NA,"M"
"X551081",NA,"B","X551081","2009-05-13",NA,"2009-05-15","14:39:00","09_1",NA,NA,"F"
"X551082",NA,"LB","X551082","2009-05-13",NA,"2009-05-15","14:39:00","09_1",NA,NA,"M"
"X551084",NA,"RB","X551084","2009-05-13",NA,"2009-05-15","14:39:00","09_1",NA,NA,"M"
"X551080",NA,"LR","X551080","2009-05-13",NA,"2009-05-15","14:39:00","09_1",NA,NA,"F"
"X551261",NA,"A","X551261","2009-05-15","00:00","2009-05-17","15:15:00","09_1",NA,NA,"F"
"X551260",NA,"LT","X551260","2009-05-15","00:00","2009-05-17","15:15:00","09_1",NA,NA,"M"
"09_1RT","09_1E10","RT",NA,"2009-05-17",NA,"2009-05-19",NA,"09_1","2009-05-19",NA,"F"
"X551014",NA,"A","X551014","2009-05-08",NA,"2009-05-10","11:45:00","09_5",NA,NA,"F"
"X551011",NA,"LB","X551011","2009-05-08",NA,"2009-05-10","11:45:00","09_5",NA,NA,"M"
"X551012",NA,"B","X551012","2009-05-08",NA,"2009-05-10","11:45:00","09_5",NA,NA,"M"
"X551010",NA,"RB","X551010","2009-05-08",NA,"2009-05-10","11:45:00","09_5",NA,NA,"M"
"X551015",NA,"LR","X551015","2009-05-08",NA,"2009-05-10","11:45:00","09_5",NA,NA,"M"
"X551016",NA,"L","X551016","2009-05-08",NA,"2009-05-10","11:45:00","09_5",NA,NA,"M"
"X551013",NA,"R","X551013","2009-05-08",NA,"2009-05-10","11:45:00","09_5",NA,NA,"F"
"X551100",NA,"L","X551100","2009-05-13",NA,"2009-05-15","14:22:00","09_13",NA,NA,"F"
"X551094",NA,"R","X551094","2009-05-13",NA,"2009-05-15","14:22:00","09_13",NA,NA,"F"
"X551099",NA,"B","X551099","2009-05-13",NA,"2009-05-15","14:22:00","09_13",NA,NA,"F"
"X551098",NA,"LB","X551098","2009-05-13",NA,"2009-05-15","14:22:00","09_13",NA,NA,"F"
"X551097",NA,"RB","X551097","2009-05-13",NA,"2009-05-15","14:22:00","09_13",NA,NA,"M"
"X551096",NA,"LR","X551096","2009-05-13",NA,"2009-05-15","14:22:00","09_13",NA,NA,"F"
"09_13A",NA,"A",NA,"2009-05-15","00:00","2009-05-16","17:40:00","09_13","2009-05-17",NA,"F"
"X551095",NA,"N","X551095","2009-05-15","00:00","2009-05-16","17:40:00","09_13",NA,NA,"M"
"X551103",NA,"L","X551103","2009-05-14",NA,"2009-05-16","11:41:00","09_109",NA,NA,"M"
"X551445",NA,"L","X551445","2009-05-26",NA,"2009-05-28","09:40:00","09_16","2009-06-22",NA,"M"
"X551447",NA,"R","X551447","2009-05-26",NA,"2009-05-28","09:40:00","09_16","2009-06-07",NA,"F"
"09_16B",NA,"B",NA,"2009-05-26",NA,"2009-05-28","09:40:00","09_16","2009-06-04",NA,"F"
"X551446",NA,"LB","X551446","2009-05-26",NA,"2009-05-28","09:40:00","09_16","2009-06-22",NA,"F"
"09_16RB",NA,"RB",NA,"2009-05-26",NA,"2009-05-28","09:40:00","09_16","2009-05-30",NA,NA
"X551444",NA,"A","X551444","2009-05-27",NA,"2009-05-29","07:40:00","09_63","2009-06-09",NA,"F"
"X551259",NA,"L","X551259","2009-05-17",NA,"2009-05-19","10:05:00","09_17",NA,NA,"F"
"X551256",NA,"R","X551256","2009-05-17",NA,"2009-05-19","10:05:00","09_17",NA,NA,"M"
"X551254",NA,"B","X551254","2009-05-17",NA,"2009-05-19","10:05:00","09_17",NA,NA,"M"
"X551258",NA,"LB","X551258","2009-05-17",NA,"2009-05-19","10:05:00","09_17",NA,NA,"F"
"X551253",NA,"RB","X551253","2009-05-17",NA,"2009-05-19","10:05:00","09_17",NA,NA,"F"
"X551257",NA,"LR","X551257","2009-05-17",NA,"2009-05-19","10:05:00","09_17",NA,NA,"M"
"X551252",NA,"A","X551252","2009-05-17",NA,"2009-05-19","10:05:00","09_17",NA,NA,"F"
"X551255",NA,"LT","X551255","2009-05-17",NA,"2009-05-19","10:05:00","09_17",NA,NA,"M"
"X551210",NA,"L","X551210","2009-05-16",NA,"2009-05-18","09:10:00","09_42",NA,NA,"M"
"X551482",NA,"L","X551482","2009-06-01",NA,"2009-06-03","14:13:00","09_18","2009-06-28",NA,"M"
"X551484",NA,"R","X551484","2009-06-01",NA,"2009-06-03","14:13:00","09_18","2009-06-13",NA,"M"
"X551486",NA,"B","X551486","2009-06-01",NA,"2009-06-03","14:13:00","09_18","2009-06-28",NA,"M"
"X551483",NA,"LB","X551483","2009-06-01",NA,"2009-06-03","14:13:00","09_18",NA,NA,"M"
"09_18RB",NA,"RB",NA,"2009-06-01",NA,"2009-06-03","14:13:00","09_18","2009-06-11",NA,"F"
"09_18LR",NA,"LR",NA,"2009-06-01",NA,"2009-06-03","14:13:00","09_18","2009-06-09",NA,"F"
"X551485",NA,"A","X551485","2009-06-01",NA,"2009-06-03","14:13:00","09_18",NA,NA,"M"
"X551295",NA,"L","X551295","2009-05-18",NA,"2009-05-20","08:45:00","09_25",NA,NA,"F"
"X551294",NA,"R","X551294","2009-05-18",NA,"2009-05-20","08:45:00","09_25",NA,NA,"M"
"X551289",NA,"B","X551289","2009-05-18",NA,"2009-05-20","08:45:00","09_25",NA,NA,"M"
"X551292",NA,"LB","X551292","2009-05-18",NA,"2009-05-20","08:45:00","09_25",NA,NA,"F"
"X551293",NA,"RB","X551293","2009-05-18",NA,"2009-05-20","08:45:00","09_25",NA,NA,"M"
"X551290",NA,"LR","X551290","2009-05-18",NA,"2009-05-20","08:45:00","09_25",NA,NA,"F"
"X551288",NA,"A","X551288","2009-05-18",NA,"2009-05-20","08:45:00","09_25",NA,NA,"M"
"X551337",NA,"LR","X551337","2009-05-19",NA,"2009-05-21","09:25:00","09_112",NA,NA,"F"
"X551209",NA,"R","X551209","2009-05-16",NA,"2009-05-18","09:10:00","09_42",NA,NA,"F"
"X551213",NA,"B","X551213","2009-05-16",NA,"2009-05-18","09:10:00","09_42",NA,NA,"F"
"X551208",NA,"LB","X551208","2009-05-16",NA,"2009-05-18","09:10:00","09_42",NA,NA,"M"
"X551212",NA,"RB","X551212","2009-05-16",NA,"2009-05-18","09:10:00","09_42",NA,NA,"F"
"X551211","09_42E08","LR","X551211","2009-05-18","00:00","2009-05-20","09:03:00","09_42",NA,NA,"F"
"X551469",NA,"L","X551469","2009-05-28",NA,"2009-05-30","07:02:00","09_43",NA,NA,"F"
"X551468",NA,"R","X551468","2009-05-28",NA,"2009-05-30","07:02:00","09_43","2009-06-11",NA,"F"
"X551467",NA,"B","X551467","2009-05-28",NA,"2009-05-30","07:02:00","09_43",NA,NA,"M"
"09_43LB",NA,"LB",NA,"2009-05-28",NA,"2009-05-30","07:02:00","09_43","2009-06-05",NA,"M"
"09_43RB",NA,"RB",NA,"2009-05-28",NA,"2009-05-30","07:02:00","09_43",NA,NA,"M"
"09_43LR",NA,"LR",NA,"2009-05-28",NA,"2009-05-30","07:02:00","09_43","2009-06-05",NA,"M"
"09_43N","09_43E07","N",NA,"2009-05-30","00:00","2009-05-31","15:55:00","09_43","2009-06-03",NA,NA
"X551462",NA,"R","X551462","2009-05-29",NA,"2009-05-31","15:15:00","09_44","2009-06-14",NA,"M"
"X551460",NA,"L","X551460","2009-05-29",NA,"2009-05-31","15:15:00","09_44","2009-06-14",NA,"M"
"X551459",NA,"B","X551459","2009-05-29",NA,"2009-05-31","15:15:00","09_44","2009-06-14",NA,"F"
"X551465",NA,"LB","X551465","2009-05-29",NA,"2009-05-31","15:15:00","09_44","2009-06-14",NA,"F"
"X551461",NA,"RB","X551461","2009-05-29",NA,"2009-05-31","15:15:00","09_44","2009-06-14",NA,"M"
"X551463",NA,"LR","X551463","2009-05-29",NA,"2009-05-31","15:15:00","09_44","2009-06-14",NA,"F"
"X551464",NA,"A","X551464","2009-05-31","00:00","2009-06-01","11:43:00","09_44","2009-06-14",NA,"F"
"09_44N",NA,"N",NA,"2009-05-31","00:00","2009-06-01","11:43:00","09_44","2009-06-14",NA,"M"
"X551325",NA,"L","X551325","2009-05-19",NA,"2009-05-21","10:04:00","09_48","2009-06-05",NA,"M"
"X551328",NA,"R","X551328","2009-05-19",NA,"2009-05-21","10:04:00","09_48",NA,NA,"M"
"X551326",NA,"B","X551326","2009-05-19",NA,"2009-05-21","10:04:00","09_48",NA,NA,"F"
"X551329",NA,"LB","X551329","2009-05-19",NA,"2009-05-21","10:04:00","09_48",NA,NA,"M"
"X551327",NA,"RB","X551327","2009-05-19",NA,"2009-05-21","10:04:00","09_48","2009-06-05",NA,"F"
"X551331",NA,"LR","X551331","2009-05-19",NA,"2009-05-21","10:04:00","09_48","2009-06-05",NA,"M"
"X551324",NA,"A","X551324","2009-05-19",NA,"2009-05-21","10:04:00","09_48","2009-06-05",NA,"M"
"X551330",NA,"LT","X551330","2009-05-21","00:00","2009-05-22","11:00:00","09_48","2009-06-05",NA,"M"
"X551332",NA,"RT","X551332","2009-05-21","00:00","2009-05-22","11:00:00","09_48","2009-06-05",NA,"M"
"X551323","09_48E10","N","X551323","2009-05-22","00:00","2009-05-23","15:50:00","09_48","2009-06-05",NA,"F"
"X551354",NA,"B","X551354","2009-05-20",NA,"2009-05-22","08:02:00","09_139",NA,NA,"M"
"X551304",NA,"LRT","X551304","2009-05-16",NA,"2009-05-18","09:25:00","09_56",NA,NA,"F"
"X551297",NA,"R","X551297","2009-05-16",NA,"2009-05-18","09:25:00","09_56",NA,NA,"F"
"X551299",NA,"B","X551299","2009-05-16",NA,"2009-05-18","09:25:00","09_56",NA,NA,"M"
"X551298",NA,"RBT","X551298","2009-05-16",NA,"2009-05-18","09:25:00","09_56",NA,NA,"F"
"X551187",NA,"RB","X551187","2009-05-16",NA,"2009-05-18","09:25:00","09_56",NA,NA,"M"
"X551300",NA,"LR","X551300","2009-05-16",NA,"2009-05-18","09:25:00","09_56",NA,NA,"F"
"09_56A",NA,"A",NA,"2009-05-16",NA,"2009-05-18","09:25:00","09_56","2009-05-20",NA,NA
"X551302",NA,"LT","X551302","2009-05-16",NA,"2009-05-18","09:25:00","09_56",NA,NA,"F"
"X551296",NA,"RT","X551296","2009-05-16",NA,"2009-05-18","09:25:00","09_56",NA,NA,"F"
"X551303","09_56E10","N","X551303","2009-05-18","00:00","2009-05-20","09:17:00","09_56",NA,NA,"F"
"X551301",NA,"R","X551301","2009-05-15",NA,"2009-05-17","16:00:00","09_73",NA,NA,"F"
"X551404",NA,"L","X551404","2009-05-21",NA,"2009-05-23","08:45:00","09_60",NA,NA,"F"
"X551406",NA,"R","X551406","2009-05-21",NA,"2009-05-23","08:45:00","09_60",NA,NA,"F"
"X551405",NA,"B","X551405","2009-05-21",NA,"2009-05-23","08:45:00","09_60",NA,NA,"M"
"09_63L",NA,"L",NA,"2009-05-27",NA,"2009-05-29","07:40:00","09_63","2009-06-06",NA,"M"
"09_63R",NA,"R",NA,"2009-05-27",NA,"2009-05-29","07:40:00","09_63","2009-06-04",NA,"F"
"09_63B",NA,"B",NA,"2009-05-27",NA,"2009-05-29","07:40:00","09_63","2009-06-03",NA,"F"
"09_63LBT",NA,"LBT",NA,"2009-05-27",NA,"2009-05-29","07:40:00","09_63","2009-06-12",NA,"M"
"09_63LB",NA,"LB",NA,"2009-05-27",NA,"2009-05-29","07:40:00","09_63","2009-06-03",NA,"M"
"09_63LR",NA,"LR",NA,"2009-05-27",NA,"2009-05-29","07:40:00","09_63","2009-06-10",NA,"F"
"09_63RB",NA,"RB",NA,"2009-05-29","00:00","2009-05-31","15:30:00","09_63","2009-06-02",NA,"F"
"09_63N",NA,"N",NA,"2009-05-29","00:00","2009-05-31","15:30:00","09_63","2009-06-02",NA,NA
"X551274",NA,"L","X551274","2009-05-17",NA,"2009-05-19","10:24:00","09_66",NA,NA,"F"
"X551270",NA,"R","X551270","2009-05-17",NA,"2009-05-19","10:24:00","09_66",NA,NA,"F"
"X551268",NA,"B","X551268","2009-05-17",NA,"2009-05-19","10:24:00","09_66",NA,NA,"F"
"X551269",NA,"LB","X551269","2009-05-17",NA,"2009-05-19","10:24:00","09_66",NA,NA,"F"
"X551273",NA,"RB","X551273","2009-05-17",NA,"2009-05-19","10:24:00","09_66",NA,NA,"M"
"X551275",NA,"LR","X551275","2009-05-17",NA,"2009-05-19","10:24:00","09_66",NA,NA,"M"
"X551266",NA,"A","X551266","2009-05-17",NA,"2009-05-19","10:24:00","09_66",NA,NA,"F"
"X551265",NA,"LT","X551265","2009-05-17",NA,"2009-05-19","10:24:00","09_66",NA,NA,"M"
"X551272",NA,"RT","X551272","2009-05-17",NA,"2009-05-19","10:24:00","09_66",NA,NA,"M"
"X551271",NA,"LRT","X551271","2009-05-17",NA,"2009-05-19","10:24:00","09_66",NA,NA,"F"
"X551267","09_66E12","N","X551267","2009-05-19","00:00","2009-05-20","12:03:00","09_66",NA,NA,"M"
"X551315",NA,"RBT","X551315","2009-05-18",NA,"2009-05-20","08:05:00","09_A13","2009-05-30",NA,"M"
"X551186",NA,"L","X551186","2009-05-15",NA,"2009-05-17","16:00:00","09_73",NA,NA,"M"
"X551189",NA,"B","X551189","2009-05-15",NA,"2009-05-17","16:00:00","09_73",NA,NA,"M"
"X551190",NA,"LB","X551190","2009-05-15",NA,"2009-05-17","16:00:00","09_73",NA,NA,"F"
"X551185",NA,"RB","X551185","2009-05-15",NA,"2009-05-17","16:00:00","09_73",NA,NA,"F"
"X551183",NA,"LR","X551183","2009-05-15",NA,"2009-05-17","16:00:00","09_73",NA,NA,"F"
"X551184",NA,"A","X551184","2009-05-15",NA,"2009-05-17","16:00:00","09_73",NA,NA,"F"
"X551188",NA,"LT","X551188","2009-05-17","00:00","2009-05-19","10:45:00","09_73",NA,NA,"M"
"X551191",NA,"N","X551191","2009-05-17","00:00","2009-05-19","10:45:00","09_73",NA,NA,"M"
"X551408",NA,"L","X551408","2009-05-23",NA,"2009-05-25","08:25:00","09_76","2009-06-06",NA,"F"
"X551411",NA,"R","X551411","2009-05-23",NA,"2009-05-25","08:25:00","09_76","2009-06-06",NA,"F"
"X551410",NA,"B","X551410","2009-05-23",NA,"2009-05-25","08:25:00","09_76","2009-06-06",NA,"F"
"X551412",NA,"LB","X551412","2009-05-23",NA,"2009-05-25","08:25:00","09_76","2009-06-06",NA,"M"
"X551407",NA,"RB","X551407","2009-05-23",NA,"2009-05-25","08:25:00","09_76","2009-06-06",NA,"M"
"X551409",NA,"LR","X551409","2009-05-23",NA,"2009-05-25","08:25:00","09_76","2009-06-08",NA,"M"
"X551434",NA,"A","X551434","2009-05-25","00:00","2009-05-27","11:55:00","09_76","2009-06-04",NA,"F"
"X551435",NA,"LT","X551435","2009-05-25","00:00","2009-05-27","11:55:00","09_76","2009-06-06",NA,"F"
"X551263",NA,"L","X551263","2009-05-15",NA,"2009-05-17","15:49:00","09_78",NA,NA,"M"
"X551193",NA,"R","X551193","2009-05-15",NA,"2009-05-17","15:49:00","09_78",NA,NA,"M"
"09_78B",NA,"B",NA,"2009-05-15",NA,"2009-05-17","15:49:00","09_78","2009-05-23",NA,"M"
"09_78LB",NA,"LB",NA,"2009-05-15",NA,"2009-05-17","15:49:00","09_78","2009-05-21",NA,"M"
"09_78RB",NA,"RB",NA,"2009-05-15",NA,"2009-05-17","15:49:00","09_78","2009-05-23",NA,"F"
"X551262",NA,"A","X551262","2009-05-15",NA,"2009-05-17","15:49:00","09_78",NA,NA,"F"
"X551264",NA,"LT","X551264","2009-05-15",NA,"2009-05-17","15:49:00","09_78",NA,NA,"F"
"X551192",NA,"RT","X551192","2009-05-15",NA,"2009-05-17","15:49:00","09_78",NA,NA,"F"
"09_78BT",NA,"BT",NA,"2009-05-15",NA,"2009-05-17","15:49:00","09_78","2009-05-23",NA,"F"
"09_78AT","09_78E10","AT",NA,"2009-05-17","00:00","2009-05-18","17:55:00","09_78","2009-05-20",NA,"F"
"X551230",NA,"L","X551230","2009-05-16",NA,"2009-05-18","10:13:00","09_101",NA,NA,"M"
"X551418",NA,"L","X551418","2009-05-23",NA,"2009-05-25","08:15:00","09_79","2009-06-08",NA,"M"
"X551419",NA,"R","X551419","2009-05-23",NA,"2009-05-25","08:15:00","09_79",NA,NA,"M"
"X551420",NA,"B","X551420","2009-05-23",NA,"2009-05-25","08:15:00","09_79",NA,NA,"F"
"X551416",NA,"LB","X551416","2009-05-23",NA,"2009-05-25","08:15:00","09_79",NA,NA,"M"
"X551413",NA,"RB","X551413","2009-05-23",NA,"2009-05-25","08:15:00","09_79","2009-06-08",NA,"M"
"X551414",NA,"LR","X551414","2009-05-23",NA,"2009-05-25","08:15:00","09_79","2009-06-08",NA,"M"
"X551421",NA,"A","X551421","2009-05-23",NA,"2009-05-25","08:15:00","09_79",NA,NA,"M"
"X551415",NA,"LT","X551415","2009-05-23",NA,"2009-05-25","08:15:00","09_79",NA,NA,"M"
"09_79RT",NA,"RT",NA,"2009-05-25","00:00","2009-05-27","12:03:00","09_79","2009-05-29",NA,NA
"X551417",NA,"BT","X551417","2009-05-25","00:00","2009-05-27","12:03:00","09_79",NA,NA,"F"
"X551466",NA,"LRT","X551466","2009-05-25","00:00","2009-05-27","12:03:00","09_79","2009-06-08",NA,"M"
"X551429",NA,"L","X551429","2009-05-25",NA,"2009-05-27","12:25:00","09_85",NA,NA,"F"
"X551432",NA,"R","X551432","2009-05-25",NA,"2009-05-27","12:25:00","09_85",NA,NA,"F"
"X551428",NA,"B","X551428","2009-05-25",NA,"2009-05-27","12:25:00","09_85",NA,NA,"F"
"X551430",NA,"LB","X551430","2009-05-25",NA,"2009-05-27","12:25:00","09_85",NA,NA,"M"
"X551433",NA,"RB","X551433","2009-05-25",NA,"2009-05-27","12:25:00","09_85",NA,NA,"M"
"X551431","09_85E06","N","X551431","2009-05-27","00:00","2009-05-29","08:54:00","09_85",NA,NA,"M"
"X551470",NA,"L","X551470","2009-05-30",NA,"2009-06-01","12:00:00","09_88","2009-06-11",NA,"F"
"X551473",NA,"R","X551473","2009-05-30",NA,"2009-06-01","12:00:00","09_88",NA,NA,"M"
"X551472",NA,"B","X551472","2009-05-30",NA,"2009-06-01","12:00:00","09_88","2009-06-13",NA,"M"
"X551471",NA,"LB","X551471","2009-05-30",NA,"2009-06-01","12:00:00","09_88",NA,NA,"F"
"09_88RB",NA,"RB",NA,"2009-06-01","00:00","2009-06-03","12:00:00","09_88","2009-06-05",NA,NA
"09_88LR",NA,"LR",NA,"2009-06-01","00:00","2009-06-03","12:00:00","09_88","2009-06-05",NA,NA
"09_88A",NA,"A",NA,"2009-06-01","00:00","2009-06-03","12:00:00","09_88","2009-06-05",NA,NA
"X551369",NA,"L","X551369","2009-05-21",NA,"2009-05-23","08:23:00","09_92",NA,NA,"M"
