LOCATION,DATE,SPECIES,RING,AGE,SEX,TARS
CAN BALASC,1/2/97,Sylvia atricapilla,L039172,5,M,20.57
CAN BALASC,4/1/97,Sylvia atricapilla,2686397,5,M,20.8
CAN BALASC,1/2/97,Sylvia atricapilla,2768510,5,M,20.83
CAN BALASC,11/5/97,Sylvia atricapilla,2768230,5,F,20.89
CAN BALASC,11/5/97,Sylvia atricapilla,2768528,5,F,21.07
CAN BALASC,26/4/97,Sylvia atricapilla,L109008,5,M,21.1
CAN BALASC,3/4/97,Sylvia atricapilla,L039198,5,F,21.49
CAN BALASC,26/4/97,Sylvia atricapilla,2625514,6,M,20.29
CAN BALASC,4/1/97,Sylvia atricapilla,2686393,6,M,20.5
CAN BALASC,11/1/97,Sylvia atricapilla,2686219,6,F,20.88
CAN BALASC,11/7/97,Sylvia atricapilla,2768572,3J,,14.1
CAN BALASC,27/7/97,Sylvia atricapilla,2686288,3J,,19.22
CAN BALASC,27/7/97,Sylvia atricapilla,2768587,3J,,20.44
CAN BALASC,24/6/97,Sylvia atricapilla,2768562,3J,,21
CAN BALASC,24/6/97,Sylvia atricapilla,2768561,3J,,21.4
CAN BALASC,26/7/97,Sylvia atricapilla,2768586,3J,,21.59
CAN BALASC,22/8/97,Sylvia atricapilla,2768591,3J,,21.8
CAN BALASC,16/7/97,Sylvia melanocephala,L109042,3,,20.75
CAN BALASC,3/7/97,Sylvia melanocephala,L109038,4,F,19.39
CAN BALASC,27/7/97,Sylvia melanocephala,L109051,4,F,19.44
CAN BALASC,11/5/97,Sylvia melanocephala,777809,4,F,20.35
CAN BALASC,16/7/97,Sylvia melanocephala,819160,4,M,20.88
CAN BALASC,11/1/97,Sylvia melanocephala,L039160,5,M,20.38
CAN BALASC,3/4/97,Sylvia melanocephala,L039199,5,F,20.51
CAN BALASC,26/4/97,Sylvia melanocephala,L109006,6,M,20.29
CAN BALASC,1/2/97,Sylvia melanocephala,L039175,6,F,20.61
CAN BALASC,30/4/97,Sylvia melanocephala,848228,6,M,21
CAN BALASC,11/7/97,Sylvia melanocephala,819152,3J,M,13.7
CAN BALASC,11/7/97,Sylvia melanocephala,819155,3J,,13.7
CAN BALASC,11/7/97,Sylvia melanocephala,819151,3J,,14
CAN BALASC,22/8/97,Sylvia melanocephala,819178,3J,,20.1
CAN BALASC,16/7/97,Sylvia melanocephala,L109043,3J,,21.22
CAN CALOPA,29/10/96,Erithacus rubecula,L103224,3,,22.32
CAN CALOPA,9/11/96,Erithacus rubecula,L103319,3,,22.82
CAN CALOPA,25/10/96,Erithacus rubecula,L103180,3,,23.11
CAN CALOPA,31/10/96,Erithacus rubecula,L103275,3,,23.18
CAN CALOPA,14/11/96,Erithacus rubecula,L103333,3,,23.23
CAN CALOPA,31/10/96,Erithacus rubecula,L103276,3,,23.44
CAN CALOPA,23/10/96,Erithacus rubecula,L103115,3,,23.84
CAN CALOPA,29/10/96,Erithacus rubecula,L103223,3,,23.85
CAN CALOPA,25/10/96,Erithacus rubecula,L103160,3,,23.93
CAN CALOPA,8/11/96,Erithacus rubecula,L103314,3,,23.93
CAN CALOPA,19/10/96,Erithacus rubecula,L103042,3,,23.97
CAN CALOPA,9/10/96,Erithacus rubecula,L092641,3,,23.98
CAN CALOPA,3/10/96,Erithacus rubecula,L092466,3,,24.06
CAN CALOPA,5/10/96,Erithacus rubecula,L092515,3,,24.07
CAN CALOPA,9/10/96,Erithacus rubecula,L092630,3,,24.14
CAN CALOPA,29/10/96,Erithacus rubecula,L103246,3,,24.19
CAN CALOPA,8/10/96,Erithacus rubecula,L092574,3,,24.2
CAN CALOPA,19/10/96,Erithacus rubecula,L103066,3,,24.22
CAN CALOPA,23/10/96,Erithacus rubecula,L103118,3,,24.25
CAN CALOPA,5/10/96,Erithacus rubecula,L092519,3,,24.28
CAN CALOPA,9/10/96,Erithacus rubecula,L092640,3,,24.29
CAN CALOPA,23/10/96,Erithacus rubecula,L103145,3,,24.3
CAN CALOPA,19/10/96,Erithacus rubecula,L103068,3,,24.31
CAN CALOPA,30/10/96,Erithacus rubecula,L103258,3,,24.32
CAN CALOPA,4/10/96,Erithacus rubecula,L092485,3,,24.33
CAN CALOPA,26/10/96,Erithacus rubecula,L103216,3,,24.34
CAN CALOPA,30/10/96,Erithacus rubecula,L103269,3,,24.34
CAN CALOPA,26/10/96,Erithacus rubecula,L103193,3,,24.35
CAN CALOPA,18/10/96,Erithacus rubecula,L092688,3,,24.36
CAN CALOPA,10/11/96,Erithacus rubecula,L103331,3,,24.38
CAN CALOPA,25/10/96,Erithacus rubecula,L103161,3,,24.4
CAN CALOPA,9/11/96,Erithacus rubecula,L103316,3,,24.44
CAN CALOPA,1/10/96,Erithacus rubecula,L092435,3,,24.45
CAN CALOPA,26/10/96,Erithacus rubecula,L103183,3,,24.47
CAN CALOPA,26/10/96,Erithacus rubecula,L103197,3,,24.48
CAN CALOPA,26/10/96,Erithacus rubecula,L103218,3,,24.48
CAN CALOPA,25/10/96,Erithacus rubecula,L103158,3,,24.49
CAN CALOPA,16/10/96,Erithacus rubecula,L092648,3,,24.5
CAN CALOPA,16/10/96,Erithacus rubecula,L092682,3,,24.5
CAN CALOPA,16/10/96,Erithacus rubecula,L092667,3,,24.51
CAN CALOPA,8/11/96,Erithacus rubecula,L103301,3,,24.51
CAN CALOPA,26/10/96,Erithacus rubecula,L103215,3,,24.52
