"RearingBrood","ChickID","NatalBrood","CrossFosteredYN","AvgOfMass","AvgOfTarsus","AvgOfAge","nMeasures","dam","sire","NbRinged","MeanA","MeanAdev","MeanAsim","MeanTotalProRate","MeanS","MeanSdev","MeanSsim","SocialMumID","SocialDadID","PairID","BreedingYear","HatchingDayAfter0401","PairBroodNb","NbHatched","XPriorResidence","GenPairID","ResMassTarsus_perChick","MeanLogAdev","MeanLogSdev","MeanLogAdevAgeCat6","MeanLogSdevAgeCat6","MeanLogAdevAgeCat10","MeanLogSdevAgeCat10","MeanTotalProRateAgeCat6","MeanTotalProRateAgeCat10"
5,1954,1,1,21.5,17.3999996185303,13,1,419,4503,1,16,3.78,12.22,15.5756204992493,8,2.78,5.22,122,132,"132122",2004,120,5,4,TRUE,"4503419",0.289015072453369,0.260184822994559,0.396097358104564,0.260184822994559,0.396097358104564,NA,NA,15.5756204992493,NA
6,1965,4,1,19.6000003814697,18.2000007629395,13,1,309,251,1,8.5,-0.379999999999999,8.88,10.8140067224723,2.5,-0.47,2.97,988,145,"145988",2004,121,4,3,FALSE,"251309",-3.46575728997902,-0.0774791901526205,-0.156591360431299,0.118000450593646,-0.246860077931526,-0.272958830898887,-0.0663226429310726,10.3448272233344,11.2831862216101
7,1972,6,1,19.6000003814697,17,12,1,988,145,2,8.5,-0.449999999999999,8.95,10.6342567274646,1.5,-0.695,2.195,857,4247,"4247857",2004,121,3,2,TRUE,"145988",-0.683600385184031,-0.0864204296177744,-0.312648256825885,0.127833371509885,-0.378436435720245,-0.300674230745434,-0.246860077931526,9.75609790677408,11.5124155481552
7,1974,6,1,16,15.5,12,1,988,285,2,8.5,-0.449999999999999,8.95,10.6342567274646,1.5,-0.695,2.195,857,4247,"4247857",2004,121,3,2,TRUE,"285988",-0.805906846718358,-0.0864204296177744,-0.312648256825885,0.127833371509885,-0.378436435720245,-0.300674230745434,-0.246860077931526,9.75609790677408,11.5124155481552
27,2053,27,0,20.6000003814697,17,12,1,533,417,1,11,0.390000000000001,10.61,15.7693454773007,5,0.425,4.575,533,417,"417533",2005,29,3,1,TRUE,"417533",0.316399614815969,0.0460275701704135,0.0760359651220776,-0.0422929121902514,-0.265777237063731,0.134348052531079,0.417849167307886,15.5580614146498,15.9806295399516
39,2109,40,1,23.6000003814697,18.1000003814697,12,1,917,457,1,5,0.84,4.16,11.2313756565216,1.5,0.54,0.96,427,22,"22427",2005,41,8,5,TRUE,"457917",0.766089855773452,0.11010334582045,0.298554996181502,0.2202066916409,-0.136859182717197,0,0.733969175080201,7.04375689963543,15.4189944134078
40,2090,36,1,20,17.2000007629395,13,1,521,1038,2,17.5,1.96,15.54,20.1665149494792,10,2.58,7.42,917,4463,"4463917",2005,41,3,3,TRUE,"1038521",-0.747295058158488,0.113224385753426,0.173441844631454,0.0975061375426821,-0.0477314028211899,0.128942633964171,0.394615092084099,13.7254901960784,26.6075397028799
40,2103,39,1,20,16.2000007629395,12,1,427,145,2,17.5,1.96,15.54,20.1665149494792,10,2.58,7.42,917,4463,"4463917",2005,41,3,3,TRUE,"145427",1.57116755513176,0.113224385753426,0.173441844631454,0.0975061375426821,-0.0477314028211899,0.128942633964171,0.394615092084099,13.7254901960784,26.6075397028799
44,2136,46,1,22.2000007629395,18.7999992370605,12,1,524,2018,2,15.5,1.59,13.91,20.3243845042045,8,1.335,6.665,342,421,"421342",2005,42,3,4,TRUE,"2018524",-2.25683093878998,0.0968272276305547,0.116583475751772,0.0576291128366362,-0.0132452267500206,0.136025342424473,0.246412178253564,14.3947660188587,26.2540029895503
44,2137,46,1,15.1999998092651,16,12,1,524,2018,2,15.5,1.59,13.91,20.3243845042045,8,1.335,6.665,342,421,"421342",2005,42,3,4,TRUE,"2018524",-2.76513834409838,0.0968272276305547,0.116583475751772,0.0576291128366362,-0.0132452267500206,0.136025342424473,0.246412178253564,14.3947660188587,26.2540029895503
47,2131,45,1,24.3999996185303,18.7999992370605,12,1,586,285,1,10,0.5,9.5,10.1837276258646,2,-0.12,2.12,4290,4275,"42754290",2005,42,10,4,TRUE,"285586",-0.0568320831991789,0.0309607311753675,-0.0467014537854882,0.187776407476919,-0.0276151670329733,-0.125854945126184,-0.065787740538003,9.60512304495741,10.7623322067717
48,2126,44,1,9.19999980926514,14.3000001907349,12,1,342,421,1,11.5,0.190000000000001,11.31,13.8516904250897,4,-0.085,4.085,442,457,"457442",2005,42,4,2,TRUE,"421342",-4.82375234371665,0.015680360509404,-0.0157644344795364,0.0179377006866673,-0.0286757999766663,0.0134230203321408,-0.0028530689824064,15.7033808501795,12
49,2114,41,1,22.5,16.8999996185303,12,1,438,11,2,18,0.219999999999999,17.78,21.870943432401,10.5,1.51,8.99,819,602,"602819",2005,42,5,5,TRUE,"11438",2.44824637909853,0.0134022781474227,0.148501761693114,0.0670642305805458,0.152191815341925,-0.0402596742857004,0.144811708044303,18.5567016796169,25.1851851851852
49,2116,41,1,23,17.7000007629395,12,1,438,11,2,18,0.219999999999999,17.78,21.870943432401,10.5,1.51,8.99,819,602,"602819",2005,42,5,5,TRUE,"11438",1.09347363519639,0.0134022781474227,0.148501761693114,0.0670642305805458,0.152191815341925,-0.0402596742857004,0.144811708044303,18.5567016796169,25.1851851851852
50,2157,51,1,25,18,12,1,903,354,2,16.5,3.19,13.31,15.7061729590272,5.5,0.535,4.965,431,356,"356431",2005,43,5,2,TRUE,"354903",2.39793662005602,0.193708783511188,0.000942063396917409,0.279584862219162,0.368509401585735,0.107832704803215,-0.3666252747919,17.2340425531915,14.178303364863
50,2158,51,1,22.5,17.2999992370605,12,1,903,354,2,16.5,3.19,13.31,15.7061729590272,5.5,0.535,4.965,431,356,"356431",2005,43,5,2,TRUE,"354903",1.5208622182059,0.193708783511188,0.000942063396917409,0.279584862219162,0.368509401585735,0.107832704803215,-0.3666252747919,17.2340425531915,14.178303364863
51,2153,50,1,24.5,18.8999996185303,12,1,431,356,3,19,-3.1,22.1,28.0130293159609,10,-4.68,14.68,903,354,"354903",2005,43,4,3,FALSE,"356431",-0.188678847481966,-0.147535440708539,-0.368603514804006,-0.147535440708539,-0.368603514804006,NA,NA,28.0130293159609,NA
51,2154,50,1,21.1000003814697,18,12,1,431,356,3,19,-3.1,22.1,28.0130293159609,10,-4.68,14.68,903,354,"354903",2005,43,4,3,FALSE,"356431",-1.50206299847428,-0.147535440708539,-0.368603514804006,-0.147535440708539,-0.368603514804006,NA,NA,28.0130293159609,NA
