ringnr;year;age;sex;birth_year;group;stay;recruits;survival;tars;wing;bill_d;bill_l;mass;cond;selected;selection_status;selection_status_cat2;selected_mother;selected_father
8747830;2002;2;f;2000;Large;1;0;0;19.6;78;8.1;13.6;30.5;-0.003255;1;0;unselected;0;0
8747838;2002;2;f;2000;Large;0;0;0;18.7;76;7.5;13;28.5;-0.041348;0;0;unselected;0;0
8794379;2002;2;f;2000;Large;1;0;0;19.6;79;8;12.9;33.8;0.099479;1;0;unselected;0;0
8794381;2002;2;f;2000;Large;0;0;0;19.2;77;7.7;13;27.2;-0.104724;0;0;unselected;0;0
8794388;2002;2;f;2000;Large;1;0;0;20.2;78;8;13.4;30.8;-0.012538;1;0;unselected;0;0
8794396;2002;2;f;2000;Large;0;0;0;19.2;78;8.2;14.4;29.7;-0.016794;0;0;unselected;0;0
8794397;2002;2;f;2000;Large;0;0;0;19.5;77;8.3;13.4;30.5;-2e-05;0;0;unselected;0;0
8794398;2002;2;f;2000;Large;0;0;0;19.4;77;8.2;12.7;29.4;-0.0335;0;0;unselected;0;0
8794400;2002;2;f;2000;Large;1;1;0;20.1;77;7.8;12.8;28.9;-0.073072;1;0;unselected;0;0
8800619;2002;2;f;2000;Large;1;1;0;20.2;79;7.8;13.9;31.7;0.016264;1;0;unselected;0;0
8800710;2002;2;f;2000;Large;0;0;0;19.6;76;7.9;13.5;27.1;-0.121448;0;0;unselected;0;0
8800716;2003;2;f;2000;Large;1;0;0;20.2;80;7.9;13.7;32.1;0.028803;1;0;unselected;0;0
8800722;2002;2;f;2000;Large;1;1;0;20.8;79;8.2;14.5;34.8;0.091052;1;0;unselected;0;0
8800726;2002;2;f;2000;Large;0;0;0;18.7;77;7.5;13.7;29.9;0.006607;0;0;unselected;0;0
8800730;2003;2;f;2000;Large;0;0;0;19;79;8.2;13.7;32.2;0.070648;0;0;unselected;0;0
8800739;2002;2;f;2000;Large;1;1;0;20;76;7.8;13.5;28;-0.101555;1;0;unselected;0;0
8800740;2002;2;f;2000;Large;0;0;0;19.3;76;7.9;13.5;28;-0.079022;0;0;unselected;0;0
8800743;2002;2;f;2000;Large;1;1;0;19.7;77;7.9;14.3;29.4;-0.043206;1;0;unselected;0;0
8800745;2002;2;f;2000;Large;0;0;0;18.8;79;7.9;14;31;0.039362;0;0;unselected;0;0
8800751;2002;2;f;2000;Large;1;8;0;19.7;80;8.1;13.4;31.2;0.016218;1;0;unselected;0;0
8800754;2002;2;f;2000;Large;0;0;0;19.3;77;8.1;13.1;30.5;0.0065;0;0;unselected;0;0
8800758;2002;2;f;2000;Large;1;2;1;19.9;76;7.8;13.6;28.9;-0.066748;1;0;unselected;0;0
8800758;2003;2;f;2000;Large;1;0;1;19.9;76;7.8;13.6;28.9;-0.066748;1;0;unselected;0;0
8800758;2004;2;f;2000;Large;0;0;0;19.9;76;7.8;13.6;28.9;-0.066748;0;0;unselected;0;0
8800762;2003;2;f;2000;Large;0;0;0;19.3;77;7.7;13.3;29;-0.043931;0;0;unselected;0;0
8800770;2002;2;f;2000;Large;0;0;0;18.5;77;7.6;12.4;30;0.016746;0;0;unselected;0;0
8800771;2002;2;f;2000;Large;1;6;1;20.8;78;8.1;13.4;30.7;-0.034303;1;0;unselected;0;0
8800771;2003;2;f;2000;Large;1;1;0;20.8;78;8.1;13.4;30.7;-0.034303;1;0;unselected;0;0
8800772;2002;2;f;2000;Large;1;6;0;19.9;75;8;13.2;31.3;0.013029;1;0;unselected;0;0
8800791;2002;2;f;2000;Large;1;1;0;19.8;79;8.1;13.8;29.3;-0.049815;1;0;unselected;0;0
8857179;2002;1;f;2001;Large;1;2;0;20.7;79;8.5;13.4;31.5;-0.00553;1;0;unselected;0;0
8857181;2002;1;f;2001;Large;1;4;1;20.2;78;8.1;13.7;30.2;-0.032211;1;0;unselected;0;0
8857181;2003;2;f;2001;Large;1;0;0;20.2;78;8.1;13.7;30.2;-0.032211;1;0;unselected;0;0
8857183;2002;1;f;2001;Large;0;0;0;18.1;76;7.9;14.1;29.2;0.003543;0;0;unselected;0;0
8857185;2002;1;f;2001;Large;1;3;1;19.9;77;7.6;13.7;30.5;-0.012863;1;0;unselected;0;0
8857185;2003;2;f;2001;Large;1;0;1;19.9;77;7.6;13.7;30.5;-0.012863;1;0;unselected;0;0
8857185;2005;2;f;2001;Large;0;0;0;19.9;77;7.6;13.7;30.5;-0.012863;0;0;unselected;0;0
8857192;2002;1;f;2001;Large;1;0;0;20.2;79;8.2;13.3;32;0.025683;1;0;unselected;0;0
8857195;2002;1;f;2001;Large;0;0;0;19.6;79;8.3;14;31.8;0.038484;0;0;unselected;0;0
8857196;2002;1;f;2001;Large;0;0;0;19.6;78;8.1;14.4;31.4;0.025826;0;0;unselected;0;0
8857198;2002;1;f;2001;Large;1;2;0;20.4;78;8.1;13.6;32.4;0.031874;1;0;unselected;0;0
8857287;2002;1;f;2001;Large;0;0;0;19.1;77;7.9;13;29.4;-0.023643;0;0;unselected;0;0
8857290;2002;1;f;2001;Large;0;0;0;18.8;80;7.9;13.8;31.2;0.045793;0;0;unselected;0;0
8857292;2002;1;f;2001;Large;1;4;1;19.7;78;8.4;13.8;31.2;0.016218;1;0;unselected;0;0
8857292;2003;2;f;2001;Large;0;0;0;19.7;78;8.4;13.8;31.2;0.016218;0;0;unselected;0;0
8857293;2002;1;f;2001;Large;0;0;0;19.6;88;8.1;13.3;33.1;0.078551;0;0;unselected;0;0
8857295;2002;1;f;2001;Large;1;2;0;19.8;80;7.5;13.7;31.2;0.013015;1;0;unselected;0;0
8857298;2002;1;f;2001;Large;0;0;0;19.6;78;7.7;13.4;29.6;-0.033208;0;0;unselected;0;0
8857300;2002;1;f;2001;Large;0;0;0;19.2;78;7.7;13;30.5;0.009786;0;0;unselected;0;0
8857367;2003;1;f;2002;Large;1;0;1;20.2;80;8.2;13.9;33;0.056455;1;0;unselected;0;0
8857367;2004;2;f;2002;Large;1;1;0;20.2;80;8.2;13.9;33;0.056455;1;0;unselected;0;0
8857426;2003;2;f;2001;Large;1;5;1;20;77;7.9;13.1;31.3;0.009859;1;0;unselected;0;0
8857426;2004;2;f;2001;Large;0;0;0;20;77;7.9;13.1;31.3;0.009859;0;0;unselected;0;0
8857459;2003;2;f;2001;Large;1;1;0;20.2;80;8;14.7;31.5;0.009935;1;0;unselected;0;0
8857461;2002;1;f;2001;Large;0;0;0;18.2;76;7.8;13.5;28.5;-0.024207;0;0;unselected;0;0
8857466;2002;1;f;2001;Large;1;1;0;20;80;8.3;14;30.5;-0.016033;1;0;unselected;0;0
8857467;2002;1;f;2001;Large;1;1;1;20.3;78;8;12.7;31.8;0.01629;1;0;unselected;0;0
8857467;2005;2;f;2001;Large;1;1;1;20.3;78;8;12.7;31.8;0.01629;1;0;unselected;0;0
8857467;2006;2;f;2001;Large;1;2;1;20.3;78;8;12.7;31.8;0.01629;1;0;unselected;0;0
8857467;2007;2;f;2001;Large;1;0;0;20.3;78;8;12.7;31.8;0.01629;1;0;unselected;0;0
8857622;2002;1;f;2001;Large;0;0;0;19.1;77;7.8;13.8;28.4;-0.058249;0;0;unselected;0;0
8857623;2002;1;f;2001;Large;0;0;0;19.6;74;8;12.6;28.8;-0.060607;0;0;unselected;0;0
8857624;2002;1;f;2001;Large;0;0;0;19.2;79;8;13.7;30.4;0.006502;0;0;unselected;0;0
8857625;2002;1;f;2001;Large;1;0;0;19.9;78;8;13.8;30.1;-0.026064;1;0;unselected;0;0
8857629;2002;1;f;2001;Large;1;2;1;20.1;76;8;14.3;31.9;0.025692;1;0;unselected;0;0
8857629;2003;2;f;2001;Large;1;0;0;20.1;76;8;14.3;31.9;0.025692;1;0;unselected;0;0
8857632;2002;1;f;2001;Large;0;0;0;18.6;75;7.9;13.3;32;0.077875;0;0;unselected;0;0
8857635;2002;1;f;2001;Large;1;0;0;19.7;80;7.7;13.6;30;-0.023003;1;0;unselected;0;0
8857638;2002;1;f;2001;Large;0;0;0;19;76;7.7;13.9;32.5;0.079922;0;0;unselected;0;0
8857639;2002;1;f;2001;Large;0;0;0;18.1;75;7.4;13.5;27.5;-0.05644;0;0;unselected;0;0
8857641;2002;1;f;2001;Large;0;0;0;18.4;76;8.1;13.2;31.3;0.062595;0;0;unselected;0;0
8857642;2002;1;f;2001;Large;0;0;0;19;76;7.7;13.3;31.5;0.04867;0;0;unselected;0;0
8857645;2002;1;f;2001;Large;0;0;0;19.3;77;7.8;13.9;29.4;-0.030232;0;0;unselected;0;0
8857648;2002;1;f;2001;Large;0;0;0;17.5;75;7.5;13.6;28.3;-0.006443;0;0;unselected;0;0
8857649;2002;1;f;2001;Large;0;0;0;18.9;76;7.8;13.2;30.4;0.016462;0;0;unselected;0;0
8857650;2002;1;f;2001;Large;1;0;0;19.8;78;8;14.4;31.5;0.022585;1;0;unselected;0;0
8857653;2002;1;f;2001;Large;0;0;0;19.5;78;8;13;30.2;-0.009905;0;0;unselected;0;0
8857655;2002;1;f;2001;Large;0;0;0;19.6;77;8;13.3;31.1;0.016226;0;0;unselected;0;0
8857658;2002;1;f;2001;Large;0;0;0;19.1;77;8;14.1;29.8;-0.01013;0;0;unselected;0;0
8857659;2002;1;f;2001;Large;0;0;0;19;76;8;13.7;29.1;-0.03058;0;0;unselected;0;0
8857660;2002;1;f;2001;Large;1;4;1;19.6;79;8.1;13.3;30;-0.019785;1;0;unselected;0;0
8857660;2003;2;f;2001;Large;0;0;0;19.6;79;8.1;13.3;30;-0.019785;0;0;unselected;0;0
8857661;2002;1;f;2001;Large;0;0;0;18.9;81;8.2;14.2;31.3;0.045638;0;0;unselected;0;0
8857662;2002;1;f;2001;Large;0;0;0;19.3;78;7.8;14;28;-0.079022;0;0;unselected;0;0
8857663;2002;1;f;2001;Large;0;0;0;19.3;80;7.8;13.8;26.7;-0.126563;0;0;unselected;0;0
8857687;2002;1;f;2001;Large;0;0;0;19.1;78;7.8;13.2;27.5;-0.090452;0;0;unselected;0;0
8857693;2003;2;f;2001;Large;1;2;1;19.9;76;8.1;13.2;30;-0.029392;1;0;unselected;0;0
8857693;2004;2;f;2001;Large;0;0;0;19.9;76;8.1;13.2;30;-0.029392;0;0;unselected;0;0
8857694;2004;2;f;2001;Large;0;0;0;19.7;78;8;13.5;28.2;-0.084879;0;0;unselected;0;0
8857700;2003;2;f;2001;Large;1;0;0;20.5;80;8.5;13.4;32.9;0.044096;1;0;unselected;0;0
8866621;2003;1;f;2002;Large;0;0;0;19.8;78;8.2;13;28.9;-0.063561;0;0.5;intermediate;0;1
8866625;2003;1;f;2002;Large;0;0;0;19.4;79;8.1;13.2;30;-0.013298;0;0.5;intermediate;0;1
8866804;2003;1;f;2002;Large;0;0;0;19.4;78;8.1;13.2;34.1;0.114802;0;0;unselected;0;0
8866833;2003;1;f;2002;Large;0;0;0;18.7;78;7.8;13.4;28.6;-0.037845;0;1;selected;1;1
8866842;2005;2;f;2002;Large;0;0;0;20.1;79;7.8;13.5;32.7;0.050461;0;0;unselected;0;0
8866846;2004;2;f;2002;Large;0;0;0;18.8;76;7.8;13.1;27;-0.098788;0;0.5;intermediate;0;1
8866848;2003;2;f;2001;Large;0;0;0;19.1;79;7.7;13.7;29.5;-0.020248;0;0;unselected;0;0
8866882;2004;2;f;2002;Large;1;3;1;20.3;77;7.9;13.5;29.2;-0.069007;1;0;unselected;0;0
8866882;2005;2;f;2002;Large;1;0;0;20.3;77;7.9;13.5;29.2;-0.069007;1;0;unselected;0;0
8866886;2003;1;f;2002;Large;0;0;0;19.7;80;8.1;13.3;30.6;-0.003201;0;0.5;intermediate;1;0
8866888;2003;1;f;2002;Large;0;0;0;19.6;79;8.4;13.7;28.1;-0.085212;0;1;selected;1;1
8866893;2003;1;f;2002;Large;0;0;0;19.5;78;8;13.6;30.2;-0.009905;0;0;unselected;0;0
8887018;2003;1;f;2002;Large;0;0;0;19.4;77;7.9;13.7;32.1;0.054361;0;0.5;intermediate;1;0
8887020;2003;1;f;2002;Large;0;0;0;18.9;79;7.7;12.9;28.6;-0.044574;0;0;unselected;0;0
8887021;2003;1;f;2002;Large;0;0;0;18.9;77;8.3;13.5;31;0.036007;0;0;unselected;0;0
8887023;2003;1;f;2002;Large;0;0;0;18.6;78;8.2;12.6;28.9;-0.024019;0;0;unselected;0;0
8887025;2003;1;f;2002;Large;0;0;0;19.2;76;8.3;13.4;29.6;-0.020166;0;0;unselected;0;0
8887042;2003;1;f;2002;Large;1;0;0;19.9;76;7.9;14.4;30;-0.029392;1;0.5;intermediate;1;0
8887046;2003;1;f;2002;Large;0;0;0;19.8;80;7.9;13.4;33;0.069105;0;0.5;intermediate;1;0
8887055;2004;2;f;2002;Large;1;2;1;20.2;79;8.1;14.5;32.4;0.038106;1;0.5;intermediate;1;0
8887055;2005;2;f;2002;Large;1;1;1;20.2;79;8.1;14.5;32.4;0.038106;1;0.5;intermediate;1;0
8887055;2006;2;f;2002;Large;1;3;0;20.2;79;8.1;14.5;32.4;0.038106;1;0.5;intermediate;1;0
8887061;2004;1;f;2003;Large;0;0;0;18.2;78;8;13.6;27.8;-0.049075;0;0;unselected;0;0
8887069;2004;1;f;2003;Large;1;0;1;20.4;80;7.9;13.2;31.3;-0.002666;1;0;unselected;0;0
8887069;2005;2;f;2003;Large;1;2;0;20.4;80;7.9;13.2;31.3;-0.002666;1;0;unselected;0;0
8887073;2004;1;f;2003;Large;0;0;0;19.2;79;7.9;13.3;32.2;0.064026;0;1;selected;1;1
8887076;2004;1;f;2003;Large;1;5;0;20.3;79;7.7;13.1;29.2;-0.069007;1;1;other;1;0
8887078;2004;1;f;2003;Large;1;0;0;20.4;80;7.5;12.5;34.9;0.106203;1;0;unselected;0;0
8887079;2004;1;f;2003;Large;1;1;1;20.2;80;8;13.5;30.6;-0.019053;1;0.5;intermediate;1;0
8887079;2005;2;f;2003;Large;1;0;0;20.2;80;8;13.5;30.6;-0.019053;1;0.5;intermediate;1;0
8887080;2004;1;f;2003;Large;0;0;0;19.4;79;8.4;12.5;29.5;-0.030105;0;0;unselected;0;0
8887081;2004;1;f;2003;Large;0;0;0;19.5;77;8;13.9;28.9;-0.053905;0;0;unselected;0;0
8887082;2004;1;f;2003;Large;0;0;0;19;79;8.2;14.1;28.2;-0.061996;0;0;unselected;0;0
8887084;2004;1;f;2003;Large;0;0;0;18.4;79;8;13.1;25.5;-0.142345;0;0.5;intermediate;1;0
8887086;2004;1;f;2003;Large;0;0;0;19.7;79;8.3;13.7;33.1;0.075333;0;1;selected;1;1
8887087;2004;1;f;2003;Large;0;0;0;19.4;76;7.5;13.2;29.2;-0.040326;0;0.5;intermediate;1;0
8887089;2004;1;f;2003;Large;0;0;0;19.6;78;7.9;13.8;31.2;0.019436;0;0.25;other;0;0
8887090;2004;1;f;2003;Large;0;0;0;19.9;81;8.4;14;32.7;0.056786;0;0;unselected;0;0
8887091;2004;1;f;2003;Large;0;0;0;19;79;8.3;14.2;28.7;-0.044421;0;0.5;intermediate;0;1
8887094;2004;1;f;2003;Large;0;0;0;18.9;76;8.1;13.2;29;-0.030685;0;0;unselected;0;0
8887095;2004;1;f;2003;Large;0;0;0;19.5;77;8.2;14.2;27.4;-0.107204;0;0.5;intermediate;0;1
8887096;2004;1;f;2003;Large;0;0;0;19.9;79;7.7;13.5;33.8;0.089872;0;1;selected;1;1
8887097;2004;1;f;2003;Large;0;0;0;19.4;77;7.8;14.4;28.8;-0.05412;0;1;selected;1;1
8887100;2004;1;f;2003;Large;0;0;0;19.6;77;7.9;14.4;29.7;-0.029835;0;0;unselected;0;0
8887119;2003;1;f;2002;Large;1;1;1;20.9;79;8.2;13.3;31.1;-0.024391;1;0.5;intermediate;1;0
8887119;2004;2;f;2002;Large;1;2;1;20.9;79;8.2;13.3;31.1;-0.024391;1;0.5;intermediate;1;0
8887119;2005;2;f;2002;Large;1;2;0;20.9;79;8.2;13.3;31.1;-0.024391;1;0.5;intermediate;1;0
8887120;2003;1;f;2002;Large;1;0;0;20.9;80;8;14.2;30.1;-0.057074;1;0.5;intermediate;1;0
8887121;2003;1;f;2002;Large;1;0;1;20.6;77;8.2;13.6;34.1;0.076843;1;0.5;intermediate;1;0
8887121;2004;2;f;2002;Large;1;1;0;20.6;77;8.2;13.6;34.1;0.076843;1;0.5;intermediate;1;0
8887124;2003;1;f;2002;Large;0;0;0;17.1;78;8;14.1;27;-0.038844;0;0.5;intermediate;1;0
8887127;2004;2;f;2002;Large;0;0;0;19.4;78;7.8;13.1;30.5;0.003232;0;0.5;intermediate;1;0
8887136;2003;1;f;2002;Large;0;0;0;18.6;77;8;12.7;29.4;-0.006866;0;1;selected;1;1
8887155;2004;1;f;2003;Large;0;0;0;19.5;79;7.5;13.4;29.7;-0.0266;0;0.5;other;0;0
8887194;2004;1;f;2003;Large;1;1;1;19.3;80;8.2;14.1;34.8;0.138391;1;0;unselected;0;0
8887194;2005;2;f;2003;Large;0;0;0;19.3;80;8.2;14.1;34.8;0.138391;0;0;unselected;0;0
8904303;2003;1;f;2002;Large;0;0;0;18.8;80;8;13.2;28.7;-0.037728;0;0.5;intermediate;1;0
8904320;2004;2;f;2002;Large;1;1;1;20.4;78;8;13.1;29.9;-0.048426;1;1;selected;1;1
8904320;2005;2;f;2002;Large;1;1;0;20.4;78;8;13.1;29.9;-0.048426;1;1;selected;1;1
8904331;2004;2;f;2002;Large;1;4;0;20;76;7.8;13.7;31.6;0.019398;1;0;unselected;0;0
8904334;2004;2;f;2002;Large;0;0;0;18.1;77;8.1;13.6;28.5;-0.020722;0;0;unselected;0;0
8904335;2003;1;f;2002;Large;1;2;0;20.1;79;8;14.1;30.1;-0.032389;1;0;unselected;0;0
8904342;2003;1;f;2002;Large;0;0;0;17.8;78;7.8;14;28.6;-0.006649;0;0;unselected;0;0
8904343;2003;1;f;2002;Large;1;1;1;20;78;7.7;14;32.6;0.050553;1;0;unselected;0;0
8904343;2004;2;f;2002;Large;1;3;1;20;78;7.7;14;32.6;0.050553;1;0;unselected;0;0
8904343;2005;2;f;2002;Large;0;0;0;20;78;7.7;14;32.6;0.050553;0;0;unselected;0;0
8904344;2003;1;f;2002;Large;1;0;0;21.1;78;8.6;15.5;30.6;-0.046622;1;0.5;intermediate;1;0
8904345;2003;1;f;2002;Large;0;0;0;19.2;78;7.9;14.8;30.4;0.006502;0;0.5;intermediate;1;0
8904348;2003;1;f;2002;Large;0;0;0;18.7;78;7.9;13.2;27.4;-0.080709;0;0;unselected;0;0
8904353;2003;1;f;2002;Large;0;0;0;19.3;80;8.3;14.8;30.1;-0.006701;0;0.5;intermediate;0;1
8904383;2003;1;f;2002;Large;1;1;1;20;80;8;13.9;29.8;-0.039251;1;0.5;intermediate;0;1
8904383;2004;2;f;2002;Large;1;1;1;20;80;8;13.9;29.8;-0.039251;1;0.5;intermediate;0;1
8904383;2005;2;f;2002;Large;1;0;0;20;80;8;13.9;29.8;-0.039251;1;0.5;intermediate;0;1
8904385;2003;1;f;2002;Large;1;0;0;20.2;78;8.1;13.4;34.7;0.106687;1;0.5;intermediate;1;0
8904390;2003;1;f;2002;Large;0;0;0;19.1;77;8.2;13.2;29.3;-0.027051;0;1;selected;1;1
8904391;2003;1;f;2002;Large;1;1;1;20.8;79;8.2;13.4;31.8;0.000901;1;0.5;intermediate;0;1
8904391;2004;2;f;2002;Large;1;3;1;20.8;79;8.2;13.4;31.8;0.000901;1;0.5;intermediate;0;1
8904391;2005;2;f;2002;Large;1;0;0;20.8;79;8.2;13.4;31.8;0.000901;1;0.5;intermediate;0;1
8904393;2003;1;f;2002;Large;0;0;0;17.8;76;7.7;12.7;26.6;-0.079144;0;0;unselected;0;0
8904395;2003;1;f;2002;Large;1;3;1;20;78;8.4;14.3;32.4;0.044399;1;0.5;intermediate;1;0
8904395;2004;2;f;2002;Large;0;0;0;20;78;8.4;14.3;32.4;0.044399;0;0.5;intermediate;1;0
8904396;2003;1;f;2002;Large;1;1;1;20.3;79;8.1;12.8;28.8;-0.082801;1;0.5;intermediate;1;0
8904396;2005;2;f;2002;Large;1;0;0;20.3;79;8.1;12.8;28.8;-0.082801;1;0.5;intermediate;1;0
8904397;2003;1;f;2002;Large;1;1;1;20.5;78;8.2;13.7;30.4;-0.034934;1;1;selected;1;1
8904397;2004;2;f;2002;Large;1;0;0;20.5;78;8.2;13.7;30.4;-0.034934;1;1;selected;1;1
8904398;2003;1;f;2002;Large;1;1;1;20.6;80;8.2;13.6;34;0.073906;1;0.5;intermediate;1;0
8904398;2004;2;f;2002;Large;1;1;0;20.6;80;8.2;13.6;34;0.073906;1;0.5;intermediate;1;0
8904402;2003;1;f;2002;Large;0;0;0;18.2;78;7.8;13.3;29;-0.006815;0;0.5;intermediate;0;1
8904404;2003;1;f;2002;Large;0;0;0;19.8;81;7.9;13.3;31.6;0.025754;0;1;selected;1;1
8904407;2003;1;f;2002;Large;0;0;0;19.6;81;8.1;13.5;30.6;1.8e-05;0;0;unselected;0;0
8904408;2003;1;f;2002;Large;0;0;0;18.3;79;7.5;13;27;-0.08174;0;0.5;intermediate;0;1
8904411;2003;1;f;2002;Large;1;1;1;20.9;77;8.1;13.9;30.5;-0.043872;1;1;selected;1;1
8904411;2004;2;f;2002;Large;1;2;1;20.9;77;8.1;13.9;30.5;-0.043872;1;1;selected;1;1
8904411;2005;2;f;2002;Large;1;1;1;20.9;77;8.1;13.9;30.5;-0.043872;1;1;selected;1;1
8904411;2006;2;f;2002;Large;1;4;1;20.9;77;8.1;13.9;30.5;-0.043872;1;1;selected;1;1
8904411;2007;2;f;2002;Large;1;1;0;20.9;77;8.1;13.9;30.5;-0.043872;1;1;selected;1;1
8904413;2003;1;f;2002;Large;1;0;1;20.2;82;8.3;13.5;31.7;0.016264;1;1;selected;1;1
8904413;2004;2;f;2002;Large;1;4;1;20.2;82;8.3;13.5;31.7;0.016264;1;1;selected;1;1
8904413;2005;2;f;2002;Large;1;0;0;20.2;82;8.3;13.5;31.7;0.016264;1;1;selected;1;1
8904415;2003;1;f;2002;Large;0;0;0;19;79;8;13;28;-0.069113;0;0.5;intermediate;1;0
8904416;2003;1;f;2002;Large;0;0;0;19.1;79;7.7;13.8;30.1;-0.000113;0;0.5;intermediate;1;0
8904417;2003;1;f;2002;Large;1;3;1;20.2;77;8;13.3;32.8;0.050376;1;0.5;intermediate;1;0
8904417;2004;2;f;2002;Large;1;6;1;20.2;77;8;13.3;32.8;0.050376;1;0.5;intermediate;1;0
8904417;2005;2;f;2002;Large;1;0;0;20.2;77;8;13.3;32.8;0.050376;1;0.5;intermediate;1;0
8904419;2003;1;f;2002;Large;1;0;0;20.1;78;7.9;13.7;29.4;-0.055919;1;0;unselected;0;0
8904421;2003;1;f;2002;Large;0;0;0;19.7;78;7.8;12.7;28.1;-0.088431;0;0;unselected;0;0
8904426;2003;1;f;2002;Large;1;1;1;20.6;79;8.2;13.9;34.1;0.076843;1;0.5;intermediate;1;0
8904426;2004;2;f;2002;Large;1;2;1;20.6;79;8.2;13.9;34.1;0.076843;1;0.5;intermediate;1;0
8904426;2005;2;f;2002;Large;1;0;0;20.6;79;8.2;13.9;34.1;0.076843;1;0.5;intermediate;1;0
8904427;2003;1;f;2002;Large;0;0;0;19;79;7.9;13.6;28.4;-0.054929;0;1;selected;1;1
8904430;2003;1;f;2002;Large;0;0;0;18.5;77;8;13.1;29.5;-6.1e-05;0;0.5;intermediate;1;0
8904432;2003;1;f;2002;Large;1;2;0;20.2;79;8.1;13.2;31.6;0.013104;1;0;unselected;0;0
8904433;2003;1;f;2002;Large;1;0;0;20.6;79;8.3;13;30.4;-0.038012;1;0;unselected;0;0
8904435;2003;1;f;2002;Large;1;2;1;20.3;79;7.9;13.7;32;0.02256;1;0;unselected;0;0
8904435;2004;2;f;2002;Large;1;2;1;20.3;79;7.9;13.7;32;0.02256;1;0;unselected;0;0
8904435;2005;2;f;2002;Large;0;0;0;20.3;79;7.9;13.7;32;0.02256;0;0;unselected;0;0
8904437;2003;1;f;2002;Large;1;1;1;20.7;80;8.2;13.9;30.1;-0.050992;1;0.5;intermediate;1;0
8904437;2004;2;f;2002;Large;1;1;1;20.7;80;8.2;13.9;30.1;-0.050992;1;0.5;intermediate;1;0
8904437;2005;2;f;2002;Large;1;0;1;20.7;80;8.2;13.9;30.1;-0.050992;1;0.5;intermediate;1;0
8904437;2006;2;f;2002;Large;1;5;0;20.7;80;8.2;13.9;30.1;-0.050992;1;0.5;intermediate;1;0
8904439;2003;1;f;2002;Large;0;0;0;19.8;79;8.2;14.3;30.8;0.000112;0;0.5;intermediate;1;0
8904440;2003;1;f;2002;Large;1;6;1;20.3;78;8.1;13.5;31.6;0.009981;1;0;unselected;0;0
8904440;2004;2;f;2002;Large;1;2;1;20.3;78;8.1;13.5;31.6;0.009981;1;0;unselected;0;0
8904440;2005;2;f;2002;Large;1;6;1;20.3;78;8.1;13.5;31.6;0.009981;1;0;unselected;0;0
8904440;2006;2;f;2002;Large;1;1;1;20.3;78;8.1;13.5;31.6;0.009981;1;0;unselected;0;0
8904440;2007;2;f;2002;Large;1;0;1;20.3;78;8.1;13.5;31.6;0.009981;1;0;unselected;0;0
8904440;2008;2;f;2002;Large;1;1;0;20.3;78;8.1;13.5;31.6;0.009981;1;0;unselected;0;0
8904441;2003;1;f;2002;Large;0;0;0;19.7;80;8.1;12.3;30.8;0.003314;0;0;unselected;0;0
8904445;2003;1;f;2002;Large;0;0;0;19.7;77;7.9;12.9;28.2;-0.084879;0;1;selected;1;1
8904446;2003;1;f;2002;Large;0;0;0;19.3;80;8.3;13.3;32;0.05451;0;0;unselected;0;0
8904447;2003;1;f;2002;Large;0;0;0;19;78;8.2;13;32.1;0.067538;0;0;unselected;0;0
8904449;2003;1;f;2002;Large;1;0;1;19.9;80;7.9;14;30.2;-0.022747;1;1;selected;1;1
8904449;2004;2;f;2002;Large;0;0;0;19.9;80;7.9;14;30.2;-0.022747;0;1;selected;1;1
8904450;2003;1;f;2002;Large;0;0;0;18.9;80;8.3;13.5;29;-0.030685;0;1;selected;1;1
8904452;2003;1;f;2002;Large;0;0;0;19.2;78;8.2;12.8;32;0.057795;0;0.5;intermediate;1;0
8904456;2003;1;f;2002;Large;0;0;0;19.5;78;8;13.7;29.9;-0.019888;0;0.5;intermediate;1;0
8904457;2003;1;f;2002;Large;1;2;1;20;81;8.2;13.6;30.1;-0.029234;1;1;selected;1;1
8904457;2004;2;f;2002;Large;0;0;0;20;81;8.2;13.6;30.1;-0.029234;0;1;selected;1;1
8904458;2003;1;f;2002;Large;1;0;0;20.4;80;7.9;13.8;29.2;-0.072115;1;0.5;intermediate;1;0
8904459;2003;1;f;2002;Large;0;0;0;18.9;79;7.9;14.2;29.1;-0.027242;0;1;selected;1;1
8904461;2003;1;f;2002;Large;0;0;0;19.6;78;7.8;12.5;27.6;-0.103166;0;0.5;intermediate;1;0
8904462;2003;1;f;2002;Large;0;0;0;19.6;79;7.7;14.2;32.1;0.047874;0;0.5;intermediate;0;1
8904518;2004;2;f;2002;Large;1;0;1;20.2;77;8.3;13.4;34.7;0.106687;1;0;unselected;0;0
8904518;2005;2;f;2002;Large;1;0;0;20.2;77;8.3;13.4;34.7;0.106687;1;0;unselected;0;0
8904572;2003;1;f;2002;Large;0;0;0;18.8;80;7.9;14.2;30.2;0.013217;0;0.5;intermediate;0;1
8904575;2006;2;f;2002;Large;1;2;1;20;80;7.9;14.5;31.2;0.006659;0;1;selected;1;1
8904575;2007;2;f;2002;Large;1;0;0;20;80;7.9;14.5;31.2;0.006659;0;1;selected;1;1
8904582;2003;1;f;2002;Large;1;1;1;20.4;78;8.2;14.5;32;0.019452;1;1;selected;1;1
8904582;2005;2;f;2002;Large;1;1;1;20.4;78;8.2;14.5;32;0.019452;1;1;selected;1;1
