ind	date_mesure	obs	wing	mass	tarsed	bill
219_MURD	17/05/2012	CF	62	9,6	16,36	6,84
219_MURD	05/06/2013	CF	64	9,3	16,52	NA
22_PIRE	02/06/2011	PP	61	8,8	15,88	6,06
22_PIRE	15/04/2013	GDM	61,5	8,7	16,08	NA
22_PIRE	20/04/2013	GDM	61	9	16,36	NA
22_PIRE	10/06/2014	KD	61,5	9	16,19	7,02
22_PIRE	29/05/2015	PAM	59	9	15,6	NA
220_MURD	16/05/2013	GDM	NA	9	NA	NA
220_MURD	07/05/2014	CF	59,5	9,5	16,6	6,65
221_MURD	24/05/2013	VJ	59,5	9,5	15,94	NA
222_MURD	08/05/2012	CF	63	9,4	16,69	6,58
222_MURD	05/05/2013	PAM	64	9,4	16,63	NA
222_MURD	28/03/2014	AC	64,5	9,6	16,82	6,02
222_MURD	05/05/2014	MOB	64	9,9	16,76	6,41
222_MURD	13/06/2014	NA	NA	9,5	NA	NA
223_MURD	09/05/2012	CF	59,5	9,9	16,41	6,92
223_MURD	09/05/2013	VJ	60	9,5	16,11	NA
223_MURD	02/05/2014	CGE	59,5	10,2	16,22	6,24
223_MURD	24/03/2014	AC	NA	9,6	16,25	6,01
224_MURD	06/05/2014	MOB	59,5	9,3	16,64	6,94
224_MURD	17/05/2015	ST	60	9	16,6	7
225_MURD	10/05/2013	VJ	63	10	NA	NA
225_MURD	24/03/2014	AC	64	9,7	16,93	5,73
225_MURD	07/05/2014	CF	64,5	9,8	17,1	5,8
226_MURD	21/03/2013	AC	61	9,8	16,37	6,03
226_MURD	12/05/2013	GDM	61,5	9,6	16,39	NA
226_MURD	04/05/2014	GDM	64	10	16,32	5,85
227_MURD	29/03/2014	GDM	60	9,8	16,41	6,34
227_MURD	06/05/2014	CGE	59	10	16,03	6,73
227_MURD	14/05/2015	GDM	62	9,3	15,93	7
227_MURD	03/05/2016	NA	NA	NA	NA	NA
227_MURD	04/05/2016	CF	60,5	9,4	15,89	6,79
228_MURD	23/03/2013	AC	63	9,5	16,85	6,43
228_MURD	10/05/2013	PAM	63	9,6	16,49	NA
228_MURD	07/05/2014	MOB	64	9,6	16,45	6,6
229_MURD	25/05/2012	PAM	61	9,5	16,18	7,14
229_MURD	06/05/2013	GDM	61	9,7	16,47	NA
229_MURD	01/05/2014	CF	63,5	9,4	16,9	6,9
229_MURD	29/03/2015	SP	62	9,8	16,58	6,06
229_MURD	11/05/2015	CF	62,5	10,1	16,55	6,99
229_MURD	26/03/2016	PP	63	11	16,63	6,27
229_MURD	28/04/2016	RMG	63	9,7	16,71	6,92
229_MURD	29/04/2016	NA	NA	NA	NA	NA
23_PIRE	12/06/2012	PP	62	9,6	15,65	6,15
23_PIRE	24/04/2013	GDM	61	10,25	15,99	NA
23_PIRE	02/06/2013	MOB	59	9,25	15,72	NA
23_PIRE	02/06/2014	CGE	61,5	9,5	15,46	5,84
23_PIRE	23/05/2015	ST	59,5	9,4	16,02	6,33
230_MURD	24/03/2014	AC	63	10	15,96	5,91
230_MURD	22/03/2015	PP	61	NA	15,95	5,94
231_MURD	22/03/2015	PP	64	9,3	16,5	5,97
232_MURD	21/05/2012	CF	65	10,4	17,21	6,77
232_MURD	23/03/2013	AC	65,5	10,9	17,2	6,45
232_MURD	18/05/2013	VJ	64,5	11	16,86	NA
232_MURD	09/05/2014	CGE	62,5	11,1	17,14	6,35
233_MURD	19/03/2013	PP	63	9,9	16,2	5,96
233_MURD	17/05/2013	MOB	63	9,6	NA	NA
233_MURD	08/05/2014	CF	65	9,2	16,01	6,48
233_MURD	16/05/2015	ST	62,5	9,1	16,66	6,45
233_MURD	19/05/2015	ST	62,5	9,5	16,66	6,54
234_MURD	20/03/2013	AC	62	9,8	15,93	6,07
234_MURD	04/05/2013	PAM	62	9,75	15,65	NA
234_MURD	20/05/2013	MOB	63	10	15,88	NA
234_MURD	05/05/2014	MOB	65	10,25	16,1	6,37
234_MURD	23/03/2014	AC	65	10,4	16,13	6,13
235_MURD	21/03/2013	AC	59	9	16,21	7,02
235_MURD	07/05/2013	VJ	62	NA	16,24	NA
235_MURD	05/05/2014	MOB	61,5	10	16,5	6,82
235_MURD	23/03/2014	NA	NA	NA	NA	NA
235_MURD	17/05/2015	ST	61	9,6	16,55	6,79
235_MURD	20/03/2016	AC	60,5	9,7	16,24	6,05
235_MURD	02/05/2016	RMG	60,5	9,8	16,36	6,92
236_MURD	21/03/2013	AC	62	10,1	16,58	6,37
236_MURD	08/05/2013	PAM	62	10,4	16,47	NA
236_MURD	25/03/2014	AC	63	10,4	16,66	6,26
236_MURD	06/05/2014	CF	62,5	10,7	16,99	6,85
237_MURD	21/03/2013	AC	61,5	9	16,51	6,22
237_MURD	10/05/2013	MOB	61	9,5	16,61	NA
237_MURD	25/03/2014	AC	65	9,7	16,68	6,39
237_MURD	10/05/2014	CF	64,5	9,8	16,82	6,64
238_MURD	21/03/2013	AC	60	9,3	15,7	6,05
238_MURD	08/05/2013	VJ	61	10	17,15	NA
239_MURD	08/05/2012	AC	58	9,3	15,98	6,55
239_MURD	10/05/2013	VJ	60,5	10	NA	NA
24_PIRE	07/06/2010	PP	61	9,2	16,88	6,62
24_PIRE	02/06/2011	PP	64	9,5	16,93	6,69
24_PIRE	25/04/2012	GDM	62	9,6	16,9	7,2
24_PIRE	24/05/2015	GDM	65	9,75	16,8	6,44
240_MURD	09/05/2012	AC	60	9,3	16,52	7,16
240_MURD	05/05/2014	GDM	63	9,3	16,2	7,09
240_MURD	29/03/2015	SP	62	9,2	16,46	6,46
240_MURD	11/05/2015	CF	62	9,4	16,36	7,1
240_MURD	26/03/2016	PP	62	10,1	16,46	6,6
240_MURD	05/05/2016	RMG	61	9,1	16,48	7,25
241_MURD	10/05/2012	AC	63,5	10,2	17,29	6,92
241_MURD	21/03/2013	AC	64	10,1	17,06	6,32
242_MURD	11/05/2012	AC	63,5	9,4	16,61	6,55
242_MURD	05/05/2014	CGE	66	10	16,27	6,43
242_MURD	29/03/2014	AC	66	9,6	16,62	6,35
243_MURD	11/05/2012	AC	63	10	16,7	6,76
243_MURD	11/05/2013	VJ	67	9,5	16,33	NA
244_MURD	20/05/2013	CF	57,5	9,4	NA	NA
245_MURD	15/05/2012	GDM	60	9,25	16,75	8
245_MURD	21/03/2013	AC	61	8,8	16,51	6,27
245_MURD	20/05/2013	MOB	60	9,75	16,52	NA
246_MURD	04/05/2011	SC	65,5	10,3	17,25	6,85
246_MURD	06/05/2012	CF	66,5	10,1	16,98	6,61
246_MURD	06/05/2013	GDM	67	10,1	16,9	NA
246_MURD	01/05/2014	CF	67	10,1	17,1	6,41
246_MURD	29/03/2015	SP	65,5	10,1	16,8	6,05
246_MURD	11/05/2015	CF	65,5	10,6	16,97	6,52
246_MURD	26/03/2016	PP	66	10,1	16,87	6,07
247_MURD	04/05/2011	SC	63	10,2	17,25	6,75
247_MURD	22/03/2012	AC	64	9,7	16,91	6,22
247_MURD	07/05/2012	CF	64	10,1	17,11	6,85
247_MURD	23/03/2013	AC	63	10,4	17,1	6,56
247_MURD	12/05/2013	VJ	63	10,5	16,7	NA
248_MURD	05/05/2011	SC	62,5	9,1	16	6,4
248_MURD	06/05/2012	CF	65,5	8,9	15,95	6,14
248_MURD	05/05/2013	GDM	69	10	15,82	NA
249_MURD	05/05/2011	SC	60	9,7	16,15	7,5
249_MURD	06/05/2012	CF	63	9,9	16,05	7,2
249_MURD	08/05/2013	GDM	61,5	9,5	16,17	NA
249_MURD	08/05/2014	MOB	61	10,25	16,04	6,9
25_PIRE	06/06/2010	PP	64	9	16,13	6,74
25_PIRE	01/06/2011	SC	62,5	8,7	16,3	6,95
25_PIRE	14/06/2012	GDM	64,5	8,7	16,25	7,81
25_PIRE	02/06/2013	MOB	70	9,3	15,97	NA
25_PIRE	07/06/2014	KD	64	8,8	16,39	6,82
25_PIRE	22/04/2015	GDM	62	9,5	16,06	6,37
25_PIRE	30/05/2015	PAM	61	9	16	NA
250_MURD	21/03/2015	SP	64	9,5	15,6	5,75
250_MURD	12/05/2015	CF	63,5	9,6	15,69	7,13
251_MURD	23/03/2013	AC	60	9	15,91	6,46
252_MURD	08/05/2013	MOB	61	10,25	16,1	NA
253_MURD	22/03/2012	AC	60	NA	16,85	6,27
253_MURD	07/05/2012	CF	61	8,9	16,92	6,42
253_MURD	29/03/2014	AC	63,5	9,2	17,01	6,13
253_MURD	11/05/2014	CGE	62,5	9,3	16,83	6,31
254_MURD	20/03/2013	AC	66,5	10,2	16,63	6,52
254_MURD	06/05/2013	PAM	66	10,2	16,05	NA
254_MURD	30/04/2014	CF	66,5	10,5	16,94	6,75
254_MURD	14/05/2014	CF	67	10	16,78	6,76
255_MURD	18/03/2012	AC	62	10,04	16,52	6,49
255_MURD	04/05/2012	GDM	64	10	16,4	7,87
255_MURD	21/03/2013	AC	65	10,2	16,65	6,35
255_MURD	12/05/2013	MOB	64	10,25	16,38	NA
256_MURD	23/03/2013	PP	59	8,9	16,05	6,06
257_MURD	18/03/2012	AC	63	9,6	16,48	6,62
257_MURD	17/05/2012	CF	63	10,1	16,78	7,25
257_MURD	08/05/2013	VJ	66	9,5	16,57	NA
257_MURD	24/05/2013	CF	64,5	9,9	16,71	NA
257_MURD	28/04/2014	CF	66	10,5	16,6	6,6
258_MURD	13/05/2012	AC	60	10	16,57	7,03
258_MURD	19/03/2013	PP	62	9,9	16,33	6,11
259_MURD	21/03/2013	AC	62	9,9	16,59	6,44
259_MURD	12/05/2013	MOB	62,5	10,25	16,52	NA
259_MURD	04/05/2014	CF	63,5	10,4	16,73	6,75
259_MURD	25/03/2014	PP	62,5	10,1	16,7	6,2
26_PIRE	03/12/2009	PP	64	9,8	16,57	6,15
26_PIRE	06/06/2011	OJ	65	10	16,73	6,61
26_PIRE	26/04/2011	CD	65	10	16,69	NA
26_PIRE	11/04/2012	GDM	65	10,25	17,03	7,51
26_PIRE	12/06/2012	PP	64	10,2	16,44	6,45
26_PIRE	03/06/2013	CF	66,5	10,2	16,65	NA
26_PIRE	02/06/2014	GDM	66	9,5	16,59	6,48
26_PIRE	01/06/2015	RMG	65	10,2	16,33	7,5
260_MURD	21/03/2013	AC	60	9	15,55	6,26
260_MURD	05/05/2013	PAM	60,5	9	15,21	NA
261_MURD	21/05/2015	AC	62	9	15,62	6,15
262_MURD	25/03/2014	AC	62,5	9,4	16,5	6,41
263_MURD	26/03/2015	AC	63	9,5	16,09	6,28
263_MURD	10/05/2015	CF	62,5	9,6	16,14	6,82
264_MURD	02/05/2012	GDM	63,5	10,25	17,08	8,2
264_MURD	23/05/2012	CF	65	10,2	17,23	7,03
264_MURD	08/05/2013	PAM	65	10,1	16,96	NA
265_MURD	09/05/2012	GDM	NA	10	16,5	7,64
265_MURD	04/05/2014	CF	62,5	9,3	16,43	7,03
265_MURD	28/03/2014	AC	62	10,5	16,29	6,37
266_MURD	06/05/2014	CF	62	9,9	16,7	6,6
266_MURD	25/03/2014	AC	62	9,7	16,56	6,02
267_MURD	09/05/2013	MOB	60	9,5	15,36	NA
268_MURD	11/05/2013	MOB	64	NA	16,58	NA
269_MURD	08/05/2015	GDM	61	9,5	16,34	6,72
269_MURD	10/03/2015	ST	60	9,7	16,51	6,12
27_PIRE	04/06/2010	PP	62	10	16,85	6,34
27_PIRE	30/05/2011	EM	62	9,3	16,83	6,45
27_PIRE	10/06/2013	PP	65	9,3	16,71	6,61
27_PIRE	24/06/2014	PAM	63	9,3	16,69	7,35
270_MURD	21/03/2015	CF	61,5	9,1	16,05	6,33
270_MURD	10/05/2015	CF	61	9,5	16,05	7,23
270_MURD	12/05/2015	CF	61,5	9,5	16,03	6,68
271_MURD	21/03/2015	SP	62,5	9,5	16,35	6,3
271_MURD	07/05/2015	CF	63	9,7	16,37	6,62
272_MURD	23/03/2013	AC	63	9,9	16,43	6,23
272_MURD	12/05/2013	VJ	65,5	10	16,17	NA
273_MURD	23/03/2013	AC	62	9,1	15,9	6,25
273_MURD	10/05/2013	PAM	61	9,4	15,45	NA
273_MURD	03/05/2014	CGE	62	9,8	15,42	6,56
273_MURD	29/03/2014	NA	NA	NA	NA	NA
274_MURD	23/03/2013	AC	64	9,7	16,81	6,38
274_MURD	14/05/2013	VJ	NA	9,5	NA	NA
274_MURD	04/05/2014	CGE	63	9,75	16,5	6,22
275_MURD	23/03/2013	AC	59,5	7,5	14,81	6,09
276_MURD	23/03/2013	PP	61,5	9,1	16,05	6,15
276_MURD	05/06/2013	CF	61,5	9,4	16,15	NA
277_MURD	26/03/2015	AC	64	9,9	16,34	6,16
277_MURD	07/05/2015	RMG	65	9,9	16,26	6,44
277_MURD	21/03/2016	AC	64,5	9,8	16,29	6,03
277_MURD	17/05/2016	CF	64	9,7	16,35	6,4
278_MURD	25/03/2014	AC	63	9,7	16,82	6,03
279_MURD	09/05/2013	GDM	62	10,4	16,62	NA
279_MURD	06/05/2014	CF	63,5	10,4	16,6	6,5
279_MURD	25/03/2014	NA	NA	NA	NA	NA
28_PIRE	23/06/2011	OJ	60	9	17,18	6,86
28_PIRE	25/04/2012	NA	NA	NA	NA	NA
28_PIRE	11/06/2012	NA	NA	NA	NA	NA
28_PIRE	19/04/2013	GDM	60	9,2	16,32	NA
28_PIRE	05/06/2013	VJ	61	9,5	15,75	NA
28_PIRE	15/04/2014	GDM	60	9,25	16,19	6,54
28_PIRE	02/06/2014	GDM	60	NA	16,12	6,34
28_PIRE	21/04/2015	GDM	62	9,8	15,89	5,92
280_MURD	07/05/2014	CF	66	10,1	16,7	6,17
280_MURD	26/03/2014	AC	66	10,6	16,73	6,1
280_MURD	10/05/2015	CF	65,5	9,7	16,48	6,35
280_MURD	24/04/2016	ST	64	10,2	16,66	6,3
281_MURD	07/05/2014	CF	63	9,5	16,57	6,63
281_MURD	26/03/2014	AC	63	9,8	16,45	6,33
282_MURD	08/05/2014	CF	60,5	9,8	16,9	6,75
282_MURD	26/03/2014	AC	60,5	9,5	16,98	6,41
283_MURD	04/05/2014	CF	62	9,3	15,7	6,5
283_MURD	28/03/2014	AC	62,5	9,9	15,62	6,16
283_MURD	13/06/2014	CGE	63	9,2	15,41	6,25
284_MURD	08/05/2014	GDM	60	9,25	16,52	6,93
284_MURD	29/03/2014	AC	59,9	9,3	16,47	6,18
284_MURD	24/03/2015	AC	62	9,8	16,54	6,12
284_MURD	11/05/2015	GDM	62	9,75	16,37	6,52
285_MURD	03/05/2014	CGE	61	10,1	16,4	6,15
285_MURD	29/03/2014	AC	62,5	9,5	16,77	5,97
286_MURD	05/05/2014	CGE	62	10,25	16,35	5,85
286_MURD	29/03/2014	AC	62	9,8	16,49	5,74
287_MURD	05/05/2014	CGE	60	8,9	15,17	6,45
287_MURD	29/03/2014	AC	61	8,9	15,59	6,3
288_MURD	11/05/2014	CF	61	9,8	16,29	6,45
288_MURD	29/03/2014	PP	61	9,6	16,1	5,88
289_MURD	07/05/2014	MOB	62	10,1	15,53	6,98
289_MURD	29/03/2014	PP	61,5	9,6	15,48	6,29
289_MURD	30/04/2016	RMG	61	10,4	15,5	7,05
29_PIRE	16/04/2012	CF	60,5	8,6	15,6	6,3
29_PIRE	24/04/2012	GDM	60	8	16,01	7,2
29_PIRE	09/06/2012	NA	NA	NA	NA	NA
29_PIRE	05/06/2013	MOB	58	9,1	15,63	NA
29_PIRE	03/06/2014	KD	60,5	9	16,02	6,69
290_MURD	07/05/2014	MOB	61	8,75	16,55	6,45
290_MURD	29/03/2014	PP	63	9	16,75	5,78
290_MURD	14/05/2015	GDM	65	9,2	16,74	6,43
290_MURD	30/04/2016	RMG	63,5	9,4	16,57	6,2
291_MURD	06/05/2014	NA	NA	10,3	NA	NA
291_MURD	29/03/2014	PP	63	10,1	16,55	6,03
291_MURD	24/03/2015	AC	63	10,3	16,57	6,24
291_MURD	11/05/2015	GDM	64	10,4	16,57	6,55
292_MURD	11/05/2014	CGE	60,5	9,4	15,89	6,51
292_MURD	29/03/2014	AC	61	8,9	16,03	6,11
292_MURD	24/03/2015	AC	61,5	9,2	15,9	6,24
293_MURD	01/05/2014	CF	63	10	17,01	6,5
293_MURD	29/03/2015	SP	63,5	9,8	16,68	5,82
294_MURD	01/05/2014	CF	61,5	9,1	15,29	6,92
295_MURD	22/03/2015	AC	61	9,5	16,42	6,36
295_MURD	06/05/2015	CF	61,5	9,2	16,37	6,41
296_MURD	21/03/2015	AC	60,5	9,7	16,51	5,9
296_MURD	07/05/2015	SCB	60,5	9,75	16,53	6,55
297_MURD	03/05/2014	CF	62	9,3	16,5	6,6
297_MURD	24/03/2014	PP	62	9,2	16,43	5,81
297_MURD	08/05/2015	CF	63	9,6	16,23	6,4
297_MURD	28/04/2016	CF	63,5	9,9	16,24	6,24
298_MURD	10/05/2014	CF	60,5	9,6	16,4	6,5
298_MURD	25/03/2014	AC	60,5	9	16,2	6,19
298_MURD	08/05/2015	RMG	61,5	9,7	16,11	6,5
299_MURD	08/05/2013	MOB	62	11	16,84	NA
3_PIRE	31/05/2011	PP	61	9	15,67	6,21
3_PIRE	06/06/2012	CF	NA	8,7	15,75	7,07
3_PIRE	29/05/2013	GDM	59	9	NA	NA
3_PIRE	02/06/2014	CGE	61	9	15,55	6,06
30_PIRE	24/04/2014	GDM	64	9,5	16,52	6,37
30_PIRE	10/06/2014	MS	64	9,3	16,4	6,3
300_MURD	24/05/2013	VJ	65	10,5	16,27	NA
300_MURD	11/05/2014	CGE	65	10,5	16,59	6,49
300_MURD	29/03/2014	PP	66	9,7	16,65	6,11
300_MURD	14/05/2015	GDM	66	9,9	16,28	6,83
300_MURD	01/05/2016	CF	65	10,3	16,45	6,5
301_MURD	15/05/2013	VJ	63	9,5	NA	NA
301_MURD	17/05/2013	NA	NA	NA	NA	NA
301_MURD	06/05/2014	CF	61,5	10,1	16,15	7,2
301_MURD	25/03/2014	AC	62	9,3	16,04	6,52
302_MURD	14/05/2013	VJ	64	9,25	16,18	NA
302_MURD	04/05/2014	CGE	61,5	10,4	16,33	6,62
302_MURD	29/03/2014	AC	63	10,2	16,86	6,35
303_MURD	18/05/2013	MOB	61	10	NA	NA
304_MURD	18/05/2013	MOB	58	9,5	NA	NA
304_MURD	14/05/2014	MOB	60	9,75	15,62	6,53
304_MURD	26/03/2015	PP	59,5	9,5	15,73	5,9
304_MURD	14/05/2015	CF	60,5	10,2	15,98	6,53
305_MURD	26/03/2015	AC	64	9,9	17,02	6,32
305_MURD	10/05/2015	CF	63	10,2	17,11	6,71
305_MURD	02/05/2016	JRD	62	10,1	16,78	6,69
306_MURD	09/05/2014	MOB	61	9,9	16,71	6,82
307_MURD	11/05/2014	MOB	64	9,9	16,37	6,75
307_MURD	21/03/2015	AC	65,5	10,1	16,54	6,2
307_MURD	12/05/2015	CF	65	10,2	16,63	6,57
307_MURD	20/03/2016	AC	65	9,8	16,44	5,82
308_MURD	21/03/2015	GDM	59	9	15,86	7,48
308_MURD	22/03/2015	NA	NA	NA	NA	NA
308_MURD	20/05/2015	ST	59,5	9,1	15,9	6,52
308_MURD	05/05/2016	RMG	61	9,4	15,99	6,83
309_MURD	21/03/2015	SP	62	9,4	15,5	5,9
309_MURD	10/05/2015	CF	62,5	9,4	14,76	5,7
31_PIRE	17/06/2012	PP	61	9,1	15,6	6,37
31_PIRE	03/06/2013	MOB	59	9	15,56	NA
31_PIRE	07/06/2014	CGE	60	9	15,48	6,6
31_PIRE	23/04/2015	GDM	62	10,6	15,63	6,29
310_MURD	21/03/2015	CF	59,5	9,6	16,25	6,7
310_MURD	07/05/2015	CF	59,5	9,4	16,25	6,98
310_MURD	24/04/2016	CF	60,5	9,8	16,14	7,06
311_MURD	21/03/2015	SP	64	9,6	16,09	6,06
311_MURD	22/03/2015	AC	63	10	16,9	6,16
311_MURD	07/05/2015	CF	63	9,8	17,01	6,62
312_MURD	21/03/2015	AC	59,5	9,2	15,9	6,09
313_MURD	22/03/2015	AC	62	9,2	16,45	6,17
313_MURD	17/05/2015	ST	60	10,2	16,55	6,8
314_MURD	22/03/2015	AC	60,5	9,9	14,85	5,82
315_MURD	22/03/2015	GDM	60	9,4	15,85	7,11
315_MURD	22/03/2015	AC	61	NA	15,88	6,14
315_MURD	18/05/2015	ST	61	9,4	16,43	6,75
316_MURD	22/03/2015	AC	63	9,7	16,99	6,29
316_MURD	06/05/2015	CF	62	9,5	17,01	6,4
317_MURD	22/03/2015	AC	60	NA	15,26	6,29
317_MURD	10/05/2015	CF	60	9,3	15,21	6,83
317_MURD	30/04/2016	CF	62,5	9,6	15,27	6,7
318_MURD	22/03/2015	AC	65,5	10,1	16,5	6,18
319_MURD	22/03/2015	AC	60	10,2	16,31	6,19
319_MURD	08/05/2015	CF	60	9,5	16,36	6,71
319_MURD	21/03/2016	NA	NA	NA	NA	NA
319_MURD	24/04/2016	CF	61	10,2	16,25	6,8
32_PIRE	06/06/2013	VJ	62,5	9,75	15,84	NA
32_PIRE	22/04/2015	GDM	64	11	15,83	6,22
320_MURD	22/03/2015	AC	62	9,4	15,53	6,63
321_MURD	24/03/2015	AC	59	9,6	16,38	6,42
321_MURD	18/05/2015	CF	59	10	16,26	6,93
322_MURD	24/03/2015	AC	64	9,7	16,69	6,23
322_MURD	11/05/2015	GDM	66	10	16,6	6,72
323_MURD	24/03/2015	AC	59	9,1	15,9	6,48
323_MURD	09/05/2015	CF	59	9,6	15,77	7,01
324_MURD	24/03/2015	AC	59	8,8	15,28	6,49
324_MURD	17/05/2015	CF	59	NA	15,3	7,1
325_MURD	24/03/2015	AC	61	9,4	16,13	5,97
326_MURD	24/03/2015	AC	63	9,6	16,8	6,18
326_MURD	17/05/2015	CF	63	9,9	16,65	6,37
326_MURD	18/05/2015	CF	63	NA	16,61	6,41
326_MURD	05/05/2016	CF	63	10,1	16,6	6,32
327_MURD	24/03/2015	AC	65	9,5	16,77	6,49
327_MURD	23/05/2016	CF	64,5	9,6	16,64	6,68
328_MURD	24/03/2015	AC	59	9,1	16,03	6,24
328_MURD	11/05/2015	GDM	60,4	9,4	15,97	6,67
328_MURD	28/04/2016	CF	60	9,9	15,95	6,71
329_MURD	24/03/2015	AC	63	10,3	16,89	6,08
329_MURD	11/05/2015	GDM	64	10	16,72	6,23
329_MURD	28/04/2016	CF	63	10,7	16,77	6,25
33_PIRE	16/04/2013	GDM	65	9,2	16,74	NA
33_PIRE	02/06/2013	GDM	65	NA	16,62	NA
33_PIRE	19/04/2014	GDM	64	9,5	16,78	6,1
33_PIRE	02/06/2014	CGE	64	9,3	16,28	5,89
33_PIRE	18/04/2015	GDM	NA	NA	NA	NA
33_PIRE	21/06/2015	CF	64,4	9,5	16,53	6,14
33_PIRE	17/04/2016	RMG	62	9	NA	5,66
330_MURD	24/03/2015	GDM	60	9,4	15,4	7,34
330_MURD	24/03/2015	AC	59	NA	15,97	6,31
331_MURD	24/03/2015	AC	60	8,5	16,08	6,13
332_MURD	24/03/2015	GDM	58	8,6	15,82	6,94
332_MURD	11/05/2015	GDM	59	9	15,96	6,18
333_MURD	24/03/2015	AC	61,5	9,8	16,96	6,5
333_MURD	14/05/2015	GDM	63	10,25	16,89	7,16
334_MURD	26/03/2015	AC	61	9,5	16,5	5,74
334_MURD	09/05/2015	RMG	61,5	NA	16,44	6,19
335_MURD	26/03/2015	AC	58,5	9,1	16,14	6,45
336_MURD	26/03/2015	AC	60	9,1	15,7	5,95
336_MURD	16/05/2015	ST	60	9,1	15,75	6,51
337_MURD	26/03/2015	AC	60,5	9,2	16,23	6,68
337_MURD	15/05/2015	ST	60	9,3	16,22	7,04
338_MURD	26/03/2015	AC	60	9,4	15,5	5,94
338_MURD	16/05/2015	ST	59,5	9,8	15,57	6,72
338_MURD	03/05/2016	RMG	61	9,6	15,35	6,69
339_MURD	26/03/2015	AC	64	9,9	16,2	6,07
339_MURD	16/05/2015	ST	62	9,7	16,15	6,3
339_MURD	27/04/2016	CF	64,5	9,5	16,02	6,27
34_PIRE	11/05/2010	AC	61	NA	16,97	6,98
34_PIRE	22/03/2011	AC	63,5	9,7	16,85	6,23
34_PIRE	06/05/2011	EM	63	10	16,82	6,73
34_PIRE	12/06/2013	PP	65	9,9	16,74	6,38
340_MURD	26/03/2015	AC	63	9,4	15,57	6,09
340_MURD	14/05/2015	CF	62,5	9,1	15,7	6,71
341_MURD	29/03/2015	SP	60	9,1	16,26	6,11
342_MURD	29/03/2015	PP	59,5	8,9	16,39	6,31
342_MURD	16/05/2015	ST	59	9,3	16,32	6,74
343_MURD	29/03/2015	PP	59,5	9	16,48	5,98
343_MURD	09/05/2015	GDM	59	9	16,42	6,78
344_MURD	29/03/2015	PP	61	10	16,99	6,05
344_MURD	07/05/2015	RMG	61	10,2	17,05	6,83
345_MURD	29/03/2015	PP	64	10	15,5	6,06
345_MURD	26/03/2016	PP	64	9,8	15,66	6,16
345_MURD	03/05/2016	CF	63,5	10,1	NA	NA
346_MURD	22/03/2015	AC	65	10,2	16,74	5,94
346_MURD	18/05/2015	ST	63	10,8	16,86	6,35
347_MURD	21/03/2013	AC	63,5	9,8	15,8	6,7
347_MURD	09/05/2013	VJ	65	9	16,88	NA
348_MURD	10/05/2014	CF	63,5	9,7	17,03	6,64
349_MURD	13/05/2014	CF	62,5	10,1	17,08	6,55
349_MURD	29/03/2015	SP	63,5	10,4	16,65	5,84
349_MURD	11/05/2015	CF	63,5	10,5	16,68	6,55
35_PIRE	04/06/2011	EM	63	9,5	15,83	6,42
35_PIRE	13/06/2012	PP	60	9	15,73	6,41
35_PIRE	05/06/2013	VJ	63	9,25	15,84	NA
35_PIRE	06/06/2014	KD	61	9,3	15,07	6,44
35_PIRE	01/06/2015	CF	61	9,5	15,7	6,4
350_MURD	13/05/2014	CF	62,5	9,2	15,52	6,77
350_MURD	29/03/2015	PP	62	8,9	15,71	6,11
351_MURD	22/03/2015	AC	62	10	17,05	6,23
351_MURD	18/05/2015	ST	60,5	9,9	17,23	6,58
352_MURD	21/03/2015	AC	61	10,5	16,92	6,21
352_MURD	08/05/2015	RMG	61,5	10	16,85	6,34
352_MURD	01/05/2016	JRD	63	10,25	16,73	6,04
353_MURD	21/03/2015	AC	60	9,3	15,42	6,13
353_MURD	21/03/2015	SP	60	NA	15,5	NA
353_MURD	21/03/2015	PP	60	NA	15,53	6,2
353_MURD	12/05/2015	CF	59,5	9,2	15,52	6,94
353_MURD	20/03/2016	AC	60	9	15,3	6,18
353_MURD	28/04/2016	CF	60	9,1	15,36	6,76
354_MURD	08/05/2014	MOB	62	10,5	16,53	6,81
354_MURD	29/03/2015	PP	66	9,8	16,63	6,31
354_MURD	09/05/2015	GDM	66	10,3	16,5	6,77
354_MURD	26/04/2016	CF	65,5	9,9	16,56	6,49
355_MURD	26/03/2015	AC	58	8,6	16,05	6,2
355_MURD	10/05/2015	CF	59	9,6	16,07	6,76
356_MURD	29/03/2015	GDM	61	9,5	16,4	6,16
357_MURD	29/03/2014	AC	60	9,2	16,45	6,04
357_MURD	24/03/2015	AC	62	10	16,35	6,04
358_MURD	11/05/2014	CF	61	9,5	16,51	6,45
358_MURD	29/03/2014	GDM	61,5	9,5	16,7	6,12
359_MURD	14/05/2015	CF	61	9,6	16,11	6,53
36_PIRE	31/05/2010	SC	62,5	8,9	16,1	6,5
36_PIRE	03/06/2011	EM	63	9,25	15,83	6,57
36_PIRE	24/04/2011	CD	66	9	16,4	NA
36_PIRE	08/04/2012	CF	64,5	9,4	16,05	6,06
36_PIRE	10/06/2012	PP	65	9,2	15,94	6,52
36_PIRE	13/04/2013	CD	62	9,1	16,9	NA
360_MURD	17/05/2015	CF	60	9,9	17,15	7,13
360_MURD	22/03/2016	AC	60,5	10,5	16,96	6,15
360_MURD	09/05/2016	CF	60	10,4	16,98	7
361_MURD	14/05/2014	CF	59,5	8,7	15,72	6,71
