ind	date_mesure	obs	wing	mass	tarsed	bill
127_PIRE	22/04/2015	GDM	65	9,5	16,22	6,55
127_PIRE	01/06/2015	MS	65	9	16,09	6,5
127_PIRE	16/04/2016	RMG	63	9,7	16,1	6,25
127_PIRE	29/05/2016	RMG	63	9,1	16,12	6,57
128_PIRE	24/04/2014	GDM	60,5	9,2	16,26	6,19
129_PIRE	20/04/2014	GDM	60	9,1	16,2	6,85
13_PIRE	11/06/2006	PP	63	9,4	16,28	6,35
13_PIRE	06/06/2007	DT	65	9,8	16,52	7,04
13_PIRE	07/06/2008	TP	64	9,9	16,02	6,34
13_PIRE	06/06/2009	MMI	64,5	9,9	16,31	6,23
13_PIRE	04/06/2010	PP	66	10,1	16,31	6,21
13_PIRE	06/06/2011	EM	65,5	9	16,6	6,18
130_PIRE	07/06/2013	MOB	61,5	8,75	15,72	NA
130_PIRE	24/06/2014	CGE	63,5	8,9	15,61	6,25
131_PIRE	17/04/2015	ST	60	9,2	15,75	6,13
131_PIRE	03/06/2015	PAM	60	8,2	15,54	NA
131_PIRE	15/04/2016	RMG	60	9,2	15,51	6,35
131_PIRE	10/06/2016	RMG	60,5	9,3	15,62	6,6
132_PIRE	17/04/2015	CF	63,5	9,4	15,87	6,39
132_PIRE	31/05/2015	CF	62,5	9,6	15,81	6,9
132_PIRE	16/04/2016	CF	61	9,3	15,81	6,38
133_PIRE	24/04/2014	GDM	62	9,6	16,85	6,72
133_PIRE	29/05/2015	MS	65,5	10,3	16,67	6,65
133_PIRE	20/04/2016	CF	64	10,1	16,56	6,26
133_PIRE	06/06/2016	CF	64	9,7	16,6	6,65
134_PIRE	12/06/2013	GDM	61	8,25	16,04	NA
134_PIRE	02/06/2014	CGE	61,5	8,6	15,93	6,4
134_PIRE	24/05/2015	GDM	61,5	8,5	16	6,67
135_PIRE	09/06/2014	AC	62,5	9,5	16,34	6,56
135_PIRE	16/04/2014	GDM	62	8,75	16,33	6,41
136_PIRE	23/04/2015	GDM	65,5	9	15,94	6,33
136_PIRE	21/04/2016	RMG	64,5	9,4	15,85	6,1
137_PIRE	29/05/2013	GDM	62	8,8	NA	NA
137_PIRE	09/06/2014	AC	61	9,1	15,57	6,22
137_PIRE	16/04/2014	GDM	61,5	8,25	15,52	5,87
138_PIRE	18/06/2014	MS	60	8,9	15,7	6,58
138_PIRE	01/06/2015	SCB	61,5	9,25	15,63	NA
138_PIRE	19/04/2016	RMG	60	9	15,74	5,77
138_PIRE	05/06/2016	CF	60	9,5	15,68	6,4
139_PIRE	12/06/2014	GDM	59	8,5	15,43	6,57
139_PIRE	25/04/2014	GDM	60	8,5	15,52	6,03
139_PIRE	02/06/2015	MS	62	8,5	14,97	6,02
139_PIRE	02/06/2016	RMG	61	8,5	15,19	6,5
14_PIRE	29/05/2007	PP	62	9,2	16,29	6,16
14_PIRE	08/06/2008	TP	62	10	16,44	6,27
14_PIRE	09/06/2008	PP	63	9,7	16,25	6,19
140_PIRE	07/06/2014	CGE	61,5	9,8	16,63	6,48
140_PIRE	21/04/2014	GDM	62	10	16,73	6,39
140_PIRE	17/04/2015	CF	65	10,1	16,8	6,22
140_PIRE	03/06/2015	PAM	65	9,6	16,72	NA
140_PIRE	10/06/2016	RMG	64,5	9,7	16,69	6,71
141_PIRE	02/06/2013	CF	63	9,7	16,57	NA
141_PIRE	05/06/2014	KD	63	9,7	16,13	6,15
142_PIRE	02/06/2014	CGE	61	8,8	16,39	6,52
142_PIRE	18/04/2015	GDM	63	9,4	16,43	6,61
142_PIRE	29/05/2015	PAM	60	9,1	16,2	NA
143_PIRE	14/06/2014	KD	63	9,5	15,87	6,43
143_PIRE	23/04/2015	CF	65	9,7	15,8	6,36
143_PIRE	30/05/2015	PAM	63	9,4	15,7	NA
144_PIRE	02/06/2015	PAM	61	9,1	16,35	NA
144_PIRE	03/06/2016	CF	62	9	16,5	6,3
145_PIRE	03/04/2015	CF	64	10	15,9	6,22
145_PIRE	24/05/2015	GDM	63	9,5	15,83	6,63
146_PIRE	19/04/2015	ST	60	9,8	15,78	6,09
146_PIRE	03/06/2015	PAM	61	8,75	15,68	NA
147_PIRE	29/04/2014	CD	62	10,5	15,85	6,85
147_PIRE	29/05/2015	ST	62	8,7	16	6,81
148_PIRE	21/04/2015	GDM	63	10,5	15,95	6,12
149_PIRE	18/04/2015	GDM	66	10	16,02	6,42
149_PIRE	01/06/2015	SCB	64	9,6	NA	6,8
