"id" "sex" "hatchisland" "hatchyear" "year" "month" "day" "island" "age" "tarsus" "wing" "billD" "billL" "mass" "totalbadge" "visiblebadge"
27 1 27 2007 2008 7 26 27 1 19.78 77.03 8.32 13.13 31.2 NA NA
27 1 27 2007 2008 6 28 27 1 19.43 76.29 8.56 14.95 30.5 NA NA
27 1 27 2007 2008 7 20 27 1 19.62 78.38 8.65 15.04 30.4 NA NA
31 0 27 2007 2010 6 22 27 3 20.04 81.86 8.35 13.78 34.1 20.24030632 17.17323499
31 0 27 2007 2010 6 22 27 3 19.88 81 8.47 13.71 35 19.09633473 16.36826197
31 0 27 2007 2010 5 12 27 3 19.7 83.38 8.49 13.68 34.1 20.83194662 15.73753475
32 0 27 2007 2010 7 21 27 3 20.77 81.35 9.01 14.13 32.5 19.50435849 14.29930068
34 0 27 2007 2008 8 6 27 1 20.36 82.43 8.64 13.61 34.2 20.83194662 19.33054578
34 0 27 2007 2008 7 22 27 1 20.32 81.43 8.79 14.26 37.1 19.63084308 17.62583331
36 1 27 2007 2010 7 23 20 3 19.96 78.43 7.99 14.14 31.3 NA NA
36 1 27 2007 2012 7 6 20 5 19.94 78.86 8.21 13.99 31.5 NA NA
37 1 27 1992 1995 7 11 27 3 20.3 81 8.4 14.1 35.8 NA NA
37 1 27 1992 1996 5 26 27 4 19.65 82.7 8.6 14.4 36.9 NA NA
38 1 27 1992 1993 5 15 27 1 19.84 81 8.1 13.4 34.5 NA NA
39 0 27 1992 1994 6 26 27 2 18 81 8.2 12.7 31.5 21.12155297 17.44620303
40 0 27 1992 1993 6 15 27 1 NA NA NA NA 33 NA NA
40 0 27 1992 1996 5 26 27 4 18.17 80.41 7.9 13.3 33.2 21.96747596 16.66793329
40 0 27 1992 1996 6 11 27 4 18.4 82 7.9 12.5 33.7 NA NA
40 0 27 1992 1998 6 4 27 6 18.4 81 8.2 13.2 34 21.36515855 20.07286726
40 0 27 1992 1994 6 28 27 2 18.4 82.64 8.5 13.13 34.1 20.35116704 14.70272084
41 0 29 1994 1997 8 8 29 3 20 82.64 NA NA 29.5 NA NA
41 0 29 1994 1995 5 26 29 1 20.1 NA 7.6 13.1 31.7 20.30689538 15.03562436
41 0 29 1994 1997 5 21 29 3 20.2 83 7.7 13.4 32.3 20.99333227 15.39058154
41 0 29 1994 1996 5 30 29 2 20.1 83 7.8 13.4 32.9 20.7670412 16.73529205
42 1 29 1994 1996 5 31 29 2 20.4 77 8.1 14.1 34.3 NA NA
42 1 29 1994 1996 6 18 29 2 NA NA NA NA 37.6 NA NA
42 1 29 1994 1995 8 4 29 1 20.4 75.64 8.4 13.33 33.1 NA NA
42 1 29 1994 1996 5 31 29 2 20.47 75.41 8.1 13.7 34.3 NA NA
42 1 29 1994 1996 5 21 29 2 20.2 77.61 8 14.13 41.7 NA NA
42 1 29 1994 1995 5 26 29 1 20.4 NA 8.2 13.8 34.7 NA NA
42 1 29 1994 1995 6 3 29 1 20.5 76 8.3 14.1 35.2 NA NA
43 1 27 1994 1997 7 20 27 3 18.8 78 8.3 13.8 31.8 NA NA
43 1 27 1994 1996 5 13 27 2 18.9 78.61 8 13.73 37.3 NA NA
43 1 27 1994 2000 8 7 27 6 19.1 79 8.4 14.1 31.3 NA NA
43 1 27 1994 1996 5 26 27 2 NA NA NA NA 39 NA NA
43 1 27 1994 1995 6 5 27 1 19 76 8.1 13.4 33.6 NA NA
43 1 27 1994 1996 5 13 27 2 18.9 79 8.3 13.6 37.3 NA NA
43 1 27 1994 1995 5 28 27 1 18.9 77 8.2 13.8 31 NA NA
44 1 27 1993 1997 5 15 27 4 18.9 77 8.3 14 32.7 NA NA
44 1 27 1993 1995 7 11 27 2 19.1 77 8.3 14.4 29.9 NA NA
44 1 27 1993 1995 5 31 27 2 18.8 77 8.2 14.1 31.6 NA NA
44 1 27 1993 1996 6 6 27 3 18.97 77.41 8.2 14.4 37.8 NA NA
44 1 27 1993 1994 5 22 27 1 18.8 76.64 8.4 13.73 30.2 NA NA
45 0 27 1994 1996 7 17 27 2 19.37 82.41 8.3 14.8 31.5 24.17167764 23.62562168
45 0 27 1994 1998 6 16 27 4 19.3 83 8.2 14.4 NA 21.60601768 19.79065436
45 0 27 1994 1996 5 14 27 2 19.2 82 8.3 14.4 33.3 21.53299793 16.13288567
45 0 27 1994 1996 5 14 27 2 18.67 82.41 8.2 14.3 33.3 22.70286326 16.78898448
45 0 27 1994 1998 6 16 27 4 19.3 83 8.3 14.5 NA NA NA
45 0 27 1994 1996 7 18 27 2 19.2 NA NA NA 31.3 20.89665045 18.83533913
46 0 27 1994 1997 5 15 27 3 18.9 83 8.3 13.6 31.6 20.83194662 16.35451008
46 0 27 1994 1996 5 14 27 2 18.5 82 8.1 13.5 32.4 20.46142713 17.21249546
47 0 26 1995 1996 5 16 26 1 20.87 82.41 8.5 13.6 32.4 20.46142713 16.35451008
47 0 26 1995 1996 5 16 26 1 19.5 83 8.2 13.9 32.4 19.83607824 16.31318485
47 0 26 1995 1996 6 4 26 1 20.6 82 8.3 13.6 30.6 20.53825699 16.57317109
48 1 26 1996 1997 7 3 26 1 20 79 8.5 14.6 32.3 NA NA
48 1 26 1996 1998 5 18 26 2 19.2 80 8.1 14.3 37.6 NA NA
48 1 26 1996 1998 7 17 26 2 NA NA NA NA 37.3 NA NA
48 1 26 1996 1999 6 11 26 3 19.9 78.86 8.34 14.69 34.3 NA NA
48 1 26 1996 1998 6 19 26 2 19.9 80 8.3 14.2 34.5 NA NA
48 1 26 1996 2002 7 17 26 6 19.73 81 8.4 14.6 32.2 NA NA
49 1 27 1996 1997 5 14 27 1 19 78 8.3 14.3 32.6 NA NA
49 1 27 1996 1998 6 28 27 2 18.1 79 8.5 14.6 30.1 NA NA
50 1 27 1996 1997 7 20 27 1 18.6 80 8.2 14.3 29.7 NA NA
50 1 27 1996 1997 5 14 27 1 18.7 81 8.1 14.8 31.3 NA NA
51 1 27 1996 2000 7 28 27 4 19.4 81 8.4 14.7 31.2 NA NA
51 1 27 1996 1997 5 14 27 1 19.4 78 8.2 14.1 39.5 NA NA
51 1 27 1996 1997 5 14 27 1 19.5 79 8.3 14.3 39.7 NA NA
51 1 27 1996 2000 7 11 27 4 19.4 80 8.4 15.2 31 NA NA
52 0 27 1996 1998 5 19 27 2 19.2 81 8.5 13.7 33.3 19.11988494 15.908174
52 0 27 1996 1997 7 20 27 1 19.1 80 8.5 13.6 31.7 19.21379713 16.24407584
53 0 27 1996 1999 6 5 27 3 19.1 79.86 8.14 14.19 34.1 20.36221992 17.62583331
53 0 27 1996 1999 8 1 27 3 19.1 79.86 8.14 13.89 34.7 21.06822252 19.79065436
53 0 27 1996 1997 5 15 27 1 19.2 78 7.8 13.1 32.6 18.78749584 16.97557068
54 1 27 2007 2009 7 21 27 2 18.15 78.43 7.99 13.86 29.5 NA NA
54 1 27 2007 2010 7 14 27 3 18.23 78.35 7.88 13.53 27.8 NA NA
