country,year,ring,age,sex,ltarsus,lwing,tail,brightness.belly,laying.date
RO,2012,X052259,0,1,11.2,128.5,96.5,NA,60
RO,2012,X052263,1,1,11.1,127.5,117,NA,56
RO,2012,X052280,0,1,10.76,126,97.8,NA,70
RO,2012,X054836,0,2,11.15,124,89.5,NA,66
RO,2012,X054859,0,1,11.22,123,106,NA,31
RO,2012,X054860,0,1,11.17,125,109,NA,34
RO,2013,X050550,1,2,11.15,124,87,NA,23
RO,2013,X050555,1,2,11.16,126.5,104,NA,23
RO,2013,R008845,1,1,10.91,125,107,NA,27
RO,2013,X050525,1,2,11.38,122,84,NA,27
RO,2013,R008386,1,2,11.02,123,96.3,NA,26
RO,2013,R008391,1,2,11.81,126,83.5,NA,25
RO,2013,X052078,1,1,11.4,125,122,NA,29
RO,2013,R008813,1,2,11.24,121,92,NA,29
RO,2013,R008466,1,2,11.11,124,82,NA,29
RO,2013,R008677,1,2,11.75,123,85.5,NA,29
RO,2013,R008630,1,2,11.49,124,90.5,NA,31
RO,2013,R008185,0,2,10.96,125,88.5,NA,30
RO,2013,R008414,1,2,11.02,123,93,NA,34
RO,2013,R008192,0,2,11.32,125,100,NA,33
RO,2013,R008193,0,2,11.2,126,95,NA,34
RO,2013,R008311,1,1,10.57,125,119,NA,23
RO,2013,R008457,1,1,12.04,129,115,NA,23
RO,2013,R008848,1,2,11.12,126,101,NA,35
RO,2013,R008802,1,2,11.31,120,87.5,NA,35
RO,2013,R008194,0,1,11.36,122.5,104.3,NA,31
RO,2013,R008195,0,2,11.01,120,98.5,NA,35
RO,2013,R008868,1,2,11.2,122,85,NA,37
RO,2013,R008662,1,2,11.79,126,94.5,NA,37
RO,2013,R008631,1,2,11.35,125,99,NA,34
RO,2013,X050572,1,2,11.21,123,85.5,NA,40
RO,2013,R008638,1,2,11.57,120,92,NA,37
RO,2013,R008465,1,2,11.28,121,88.5,NA,37
RO,2013,X053004,0,2,11.07,125,91,NA,37
RO,2013,X050539,1,1,11.21,130,109.5,NA,37
RO,2013,R008406,1,1,11.35,124,104.5,NA,26
RO,2013,X050560,1,2,10.56,120,86,NA,37
RO,2013,R008822,1,2,11.12,122,97,NA,37
RO,2013,X053009,0,2,11.42,127,86.5,NA,38
RO,2013,X052275,1,1,11.08,128,119,NA,25
RO,2013,X053010,0,2,10.92,123,87,NA,39
RO,2013,X053014,0,2,11,121,91,NA,44
RO,2013,R008827,1,2,11.11,120,87.5,NA,31
RO,2013,R008650,1,2,11.91,129,95.5,NA,39
RO,2013,R008694,1,2,10.99,127,85.5,NA,40
RO,2013,R008471,1,2,11.11,130,100,NA,39
RO,2013,X053021,0,2,11.13,126,81,NA,41
RO,2013,X053027,0,2,10.81,124,84.3,NA,41
RO,2013,R008400,1,1,11.52,129,109.5,NA,41
RO,2013,X053031,0,2,10.77,122,98.5,NA,40
