BANDNO,NESTNO,YEAR,SEX,PATERNITY,TARSUS,HEMATOCRIT,PHA,MASS
237034577,24,2004,MALE,WITHIN,19.2,43,0.050,11.2
237034578,24,2004,FEMALE,.,18.4,46,0.740,9.4
237034579,24,2004,MALE,WITHIN,18.4,49,0.787,10.2
237035705,25,2004,MALE,WITHIN,.,44,0.663,9.8
237035706,25,2004,FEMALE,WITHIN,.,37,0.493,9.6
237035707,25,2004,MALE,WITHIN,.,47,0.830,10.0
237035708,25,2004,MALE,WITHIN,.,33,1.040,9.4
237035709,25,2004,FEMALE,WITHIN,.,43,0.517,8.6
237035151,27,2004,MALE,WITHIN,19.0,36,0.627,10.8
237035152,27,2004,FEMALE,EXTRA,19.3,38,0.517,11.1
237035153,27,2004,FEMALE,WITHIN,18.2,41,0.350,10.8
237035154,27,2004,FEMALE,WITHIN,18.3,39,0.717,10.4
237035155,27,2004,MALE,WITHIN,18.6,36,0.583,10.7
237035527,28,2004,FEMALE,WITHIN,.,54,0.923,11.1
237035528,28,2004,MALE,WITHIN,.,45,0.717,11.4
237035529,28,2004,MALE,WITHIN,.,53,0.820,11.4
237035530,28,2004,FEMALE,.,.,51,0.717,11.3
237035531,28,2004,MALE,WITHIN,.,47,0.820,11.3
237034881,29,2004,FEMALE,.,.,35,0.983,9.7
237034882,29,2004,FEMALE,.,.,34,0.750,9.6
237034883,29,2004,FEMALE,.,.,42,0.550,9.0
237034884,29,2004,.,.,.,38,0.993,9.8
237034885,29,2004,FEMALE,.,.,36,0.737,9.2
237034051,30,2004,FEMALE,WITHIN,18.8,.,1.323,12.1
237034052,30,2004,MALE,WITHIN,18.6,.,0.997,11.4
237034053,30,2004,FEMALE,WITHIN,18.1,.,0.970,11.3
237034054,30,2004,FEMALE,WITHIN,18.0,.,1.027,10.3
237034055,30,2004,FEMALE,WITHIN,18.1,.,0.683,11.4
237034056,30,2004,MALE,WITHIN,18.5,.,1.007,9.9
237034944,31,2004,MALE,WITHIN,18.6,37,0.733,10.5
237034945,31,2004,MALE,WITHIN,18.5,42,0.890,10.1
237034946,31,2004,MALE,EXTRA,17.3,40,0.540,8.4
237034947,31,2004,FEMALE,WITHIN,18.0,43,0.410,10.7
237034948,31,2004,FEMALE,WITHIN,17.1,35,0.590,8.7
237035422,32,2004,FEMALE,WITHIN,.,31,0.683,9.7
237035423,32,2004,FEMALE,WITHIN,.,33,1.103,9.9
237035424,32,2004,FEMALE,WITHIN,.,34,0.783,10.2
237035425,32,2004,MALE,WITHIN,.,37,0.523,9.8
237035426,32,2004,FEMALE,WITHIN,.,31,0.720,10.3
237035532,33,2004,FEMALE,WITHIN,.,39,0.937,10.1
237035533,33,2004,FEMALE,WITHIN,.,37,0.957,10.4
237035534,33,2004,MALE,WITHIN,.,45,0.843,10.3
237035535,33,2004,MALE,WITHIN,.,35,0.673,10.7
237035536,33,2004,MALE,WITHIN,.,38,0.930,9.7
237035101,34,2004,MALE,EXTRA,18.1,.,0.483,10.1
237035102,34,2004,FEMALE,WITHIN,18.4,.,0.583,10.2
237035103,34,2004,MALE,WITHIN,18.7,.,0.613,10.1
237035104,34,2004,MALE,EXTRA,19.0,.,0.697,10.4
237035105,34,2004,MALE,WITHIN,18.4,.,0.783,9.6
237035106,34,2004,FEMALE,EXTRA,18.9,.,0.750,10.2
237035128,35,2004,FEMALE,WITHIN,.,47,0.757,10.2
237035129,35,2004,FEMALE,WITHIN,.,40,0.707,9.6
237035130,35,2004,FEMALE,WITHIN,.,42,0.947,11.2
237035131,35,2004,MALE,WITHIN,.,45,1.227,9.8
237035065,36,2004,FEMALE ,.,.,35,1.240,10.0
237035066,36,2004,FEMALE ,WITHIN,.,35,1.113,10.1
237035067,36,2004,FEMALE ,WITHIN,.,34,1.540,9.6
237035068,36,2004,FEMALE ,.,.,42,1.053,9.1
237035069,36,2004,MALE,WITHIN,.,42,0.980,10.5
237034029,37,2004,MALE,.,.,.,0.620,10.6
237034030,37,2004,MALE,.,.,.,0.810,10.0
237034031,37,2004,MALE,.,.,.,1.023,9.7
237034032,37,2004,FEMALE,.,.,.,0.643,10.0
237034033,37,2004,FEMALE,.,.,.,0.683,10.7
237034034,37,2004,MALE,.,.,.,0.893,10.0
237034062,38,2004,FEMALE,WITHIN,.,.,0.983,10.4
237034063,38,2004,MALE,.,.,.,0.893,11.3
237034064,38,2004,MALE,WITHIN,.,.,1.030,10.8
237034065,38,2004,MALE,WITHIN,.,.,0.857,10.2
237034066,38,2004,MALE,WITHIN,.,.,0.890,10.1
234022227,39,2004,FEMALE,WITHIN,18.0,.,0.040,10.2
234022228,39,2004,MALE,WITHIN,19.0,.,0.000,11.0
234022229,39,2004,FEMALE,WITHIN,18.7,.,0.007,10.2
234022230,39,2004,MALE,EXTRA,18.4,.,0.030,9.5
234022231,39,2004,MALE,EXTRA,19.1,.,0.000,9.7
237035117,40,2004,FEMALE,WITHIN,.,.,0.487,10.2
237035118,40,2004,FEMALE,WITHIN,.,.,0.787,10.3
237035119,40,2004,FEMALE,WITHIN,.,.,1.090,10.6
237035120,40,2004,FEMALE,WITHIN,.,.,0.880,10.1
237035121,40,2004,MALE,WITHIN,.,.,0.563,10.0
237035122,40,2004,FEMALE,WITHIN,.,.,0.827,9.2
237034557,41,2004,FEMALE,WITHIN,19.0,45,0.900,10.1
237034558,41,2004,FEMALE,WITHIN,19.9,43,0.593,12.2
237034559,41,2004,FEMALE,WITHIN,18.2,43,0.927,11.7
237034560,41,2004,FEMALE,.,18.9,45,0.660,11.0
237034561,41,2004,MALE,WITHIN,18.7,40,0.217,10.3
237034562,41,2004,MALE,WITHIN,18.3,47,0.787,9.6
234022246,42,2004,MALE,EXTRA,18.8,.,0.060,10.5
234022247,42,2004,FEMALE,WITHIN,17.5,.,0.000,10.4
234022248,42,2004,FEMALE,WITHIN,18.2,.,0.110,10.1
234022249,42,2004,MALE,WITHIN,19.0,.,0.100,9.4
234022250,42,2004,MALE,WITHIN,18.3,.,0.080,10.6
234022251,42,2004,FEMALE,WITHIN,18.0,.,0.123,10.0
237035540,43,2004,MALE,WITHIN,.,48,0.687,9.5
237035541,43,2004,FEMALE,WITHIN,.,50,0.560,9.8
237035542,43,2004,FEMALE,WITHIN,.,53,0.477,7.0
237035543,43,2004,FEMALE,WITHIN,.,49,0.327,9.8
237035544,43,2004,MALE,WITHIN,.,43,0.793,8.7
234022221,44,2004,FEMALE,WITHIN,18.5,.,0.030,10.4
234022222,44,2004,MALE,WITHIN,21.1,.,0.153,9.6
234022223,44,2004,FEMALE,WITHIN,18.8,.,0.190,9.6
234022224,44,2004,MALE,WITHIN,18.7,.,.,9.4
234022225,44,2004,MALE,WITHIN,19.0,.,0.247,9.8
234022226,44,2004,MALE,WITHIN,18.9,.,0.263,9.7
237035070,45,2004,FEMALE,WITHIN,.,45,0.850,8.4
237035071,45,2004,MALE,WITHIN,.,37,0.747,9.4
237034918,46,2004,MALE,WITHIN,17.1,.,0.810,9.0
237034919,46,2004,MALE,.,18.4,.,0.660,10.2
237034920,46,2004,MALE,WITHIN,18.7,.,0.840,11.1
237034921,46,2004,MALE,WITHIN,18.3,.,0.890,9.8
237034922,46,2004,FEMALE,WITHIN,17.5,.,0.737,9.8
237034923,46,2004,MALE,WITHIN,18.5,.,0.897,10.7
234022258,47,2004,MALE,WITHIN,18.3,.,0.513,10.8
234022259,47,2004,FEMALE,WITHIN,18.1,.,0.543,10.2
234022260,47,2004,FEMALE,WITHIN,18.6,.,0.157,9.6
234022261,47,2004,FEMALE,WITHIN,18.0,.,0.497,9.8
234022262,47,2004,FEMALE,WITHIN,18.0,.,0.373,9.7
234022263,47,2004,MALE,WITHIN,19.0,.,0.483,9.7
237035111,48,2004,FEMALE,.,18.0,.,0.717,10.4
237035112,48,2004,MALE,.,19.0,.,0.690,10.0
237035113,48,2004,FEMALE,.,19.0,.,1.040,10.4
237035114,48,2004,MALE,.,18.3,.,0.660,9.6
237035115,48,2004,MALE,.,19.1,.,0.783,10.3
237035116,48,2004,MALE,.,18.9,.,0.610,10.0
234022252,49,2004,MALE,WITHIN,17.0,.,0.403,8.2
234022253,49,2004,MALE,WITHIN,18.6,.,0.000,8.9
234022254,49,2004,FEMALE,WITHIN,18.5,.,0.177,9.2
234022255,49,2004,MALE,WITHIN,18.8,.,0.523,8.6
