NEST,CS,E1D,BD0,NY4,NY11,BANDNUM,RECRUIT,MASS11,TARSUS11,HCT11,BLEED_TIME,BLEED_TIME2,SAMPLE_TIME_SEC,PLASMA_VOL_uL,PLASMA_CORT_ngml,LOG_CORT_NGML,CHANGE_IN_CORT_ngml,LOG_CHANGE_ngml,EIA_PLATE,NFATE,TDAY,FEM_TREAT,MWS_INITIATED,MW_DAYS,SWAP_NEST,NESTLING_TREAT,BIOL_MOTHER,BIOL_MOTHER_MASS,BIOL_MOTHER_TARSUS,FBAND,FEM_MASS_DAY,FEM_MASS_HR,FEM_MASS,FEM_TARSUS,NOTES
U 20-1,8,130,150,4,4,197035772,0,9.8,18.5,38,30,3,.,12,37.1419409,1.581402789,35.78858886,1.660757259,6,success,166,CON,129,1,R 32-1,NAT,197035721,13.3,19.6,270046697,142,9,12.1,18.6,.
U 20-1,8,130,150,4,4,197035771,0,10.9,19.5,35,15,2,.,14,20.76948993,1.337848254,20.76948993,1.488120297,6,success,166,CON,129,1,R 32-1,NAT,197035721,13.3,19.6,270046697,142,9,12.1,18.6,.
U 20-1,8,130,150,4,4,197035770,0,10.5,19.3,.,.,.,.,.,.,.,.,.,.,success,166,CON,129,1,R 32-1,NAT,197035721,13.3,19.6,270046697,142,9,12.1,18.6,.
U 20-1,8,130,150,4,4,197035769,0,10.7,19.1,33.3,0,1,150,14,1.353352038,0.371686898,0,1,5,success,166,CON,129,1,R 32-1,NAT,197035721,13.3,19.6,270046697,142,9,12.1,18.6,.
U 16-1,7,140,160,7,7,197036971,0,10.8,19.6,40,30,3,.,11,12.21743279,1.121147111,10.86960275,1.319514182,1,success,175,CON,133,7,V 16-1,NAT,270046677,14.5,20.3,197035850,153,9,12.2,18.2,.
U 16-1,7,140,160,7,7,197036970,0,10.2,19.7,.,.,.,.,.,9.541664063,1.022909172,.,.,.,success,175,CON,133,7,V 16-1,NAT,270046677,14.5,20.3,197035850,153,9,12.2,18.2,.
U 16-1,7,140,160,7,7,197036969,0,11.1,19.3,.,.,.,.,.,.,.,.,.,.,success,175,CON,133,7,V 16-1,NAT,270046677,14.5,20.3,197035850,153,9,12.2,18.2,.
U 16-1,7,140,160,7,7,197036968,0,10.3,18.1,39,15,2,.,21,5.851817976,0.835805817,5.851817976,1.200079077,1,success,175,CON,133,7,V 16-1,NAT,270046677,14.5,20.3,197035850,153,9,12.2,18.2,.
U 16-1,7,140,160,7,7,197036967,0,9.9,19.5,.,.,.,.,.,.,.,.,.,.,success,175,CON,133,7,V 16-1,NAT,270046677,14.5,20.3,197035850,153,9,12.2,18.2,.
U 16-1,7,140,160,7,7,197036966,0,10.5,19.2,.,.,.,.,.,.,.,.,.,.,success,175,CON,133,7,V 16-1,NAT,270046677,14.5,20.3,197035850,153,9,12.2,18.2,.
