NestBox,FemaleNumber,YoungOrigin,MWStartDate,MWEndDate,MaternalEffect,E1D,BD0,BD2Mass,BD4Mass,BD4YgN,BD11Mass,BD11Tarsus,BD11Wing,NestlingNumber,RECRUIT,MaternalID,MadeToFledging,TimeInNest
R2-2,270045273,EXP,191,199,EXP,195,211,2.6,4.8,5,11.2,18.8,31,197037684,0,270045273,224,13
R2-2,270045273,EXP,191,199,EXP,195,211,2,3.8,5,10.4,19.2,30,197037686,0,270045273,224,13
R2-2,270045273,EXP,191,199,EXP,195,211,2.6,4.8,5,10.2,18.6,31,197087800,0,270045273,224,13
R2-2,270045273,CON,193,199,EXP,195,211,2,4.4,5,11.1,18.6,32,197037685,0,197036126,224,13
R2-2,270045273,CON,193,199,EXP,195,211,2.3,3.7,5,.,.,.,.,.,197036126,.,.
D15-2,197036126,EXP,191,199,CON,195,211,1.3,2.5,5,8.8,18.3,25.5,197035983,0,270045273,227,16
D15-2,197036126,EXP,191,199,CON,195,211,1.8,3.6,5,10,19.6,30.5,197035984,0,270045273,227,16
D15-2,197036126,CON,193,199,CON,195,211,1.5,2.4,5,9.5,18.9,27,197035986,0,197036126,227,16
D15-2,197036126,CON,193,199,CON,195,211,1.9,3.3,5,9.2,18.6,31,197035987,0,197036126,227,16
D15-2,197036126,CON,193,199,CON,195,211,2,4.1,5,10.6,18.8,31.5,197035985,0,197036126,227,16
D5-1,270046907,EXP,193,200,EXP,195,212,1.5,3.3,5,10.5,18.8,29,197035990,0,270046907,228,16
D5-1,270046907,EXP,193,200,EXP,195,212,2.4,4.7,5,10.2,19.3,33.5,197035989,0,270046907,228,16
D5-1,270046907,EXP,193,200,EXP,195,212,2,4.2,5,11.4,19,32,197035991,0,270046907,228,16
D5-1,270046907,CON,.,.,EXP,195,211,1.8,3.7,5,9.8,18.4,33,197035992,0,270047309,228,17
D5-1,270046907,CON,.,.,EXP,195,211,2.3,4.2,5,10.9,19.3,31.5,197035988,0,270047309,228,17
T11-1,270047309,EXP,193,200,CON,195,212,2.5,5,4,10.8,18.5,31.5,197037687,0,270046907,227,15
T11-1,270047309,EXP,193,200,CON,195,212,2.5,4.8,4,10.6,19.4,32.5,197037689,0,270046907,227,15
T11-1,270047309,CON,.,.,CON,195,211,2.8,5,4,10.4,18.6,32,197037688,0,270047309,227,16
T11-1,270047309,CON,.,.,CON,195,211,.,.,4,.,.,.,.,.,270047309,.,.
T11-1,270047309,CON,.,.,CON,195,211,2.3,4.7,4,10.2,19.1,34,197037690,0,270047309,227,16
J6-1,270046564,EXP,196,205,EXP,198,215,2.2,4.6,6,10.7,20.2,31.5,197037558,0,270046564,232,17
J6-1,270046564,EXP,196,205,EXP,198,215,2.4,5,6,10.9,19.8,32,197037560,0,270046564,232,17
J6-1,270046564,EXP,196,205,EXP,198,215,1.9,3.6,6,9.7,19.6,30.5,197037557,0,270046564,232,17
J6-1,270046564,CON,198,203,EXP,198,215,2.1,4.7,6,9.8,19.6,31,197037555,0,197036176,232,17
J6-1,270046564,CON,198,203,EXP,198,215,2.1,4.7,6,9.7,19.2,30.5,197037559,0,197036176,232,17
J6-1,270046564,CON,198,203,EXP,198,215,2,4.5,6,10.4,18.8,32,197037556,0,197036176,232,17
R7-2,197036176,EXP,196,205,CON,198,215,1.3,2.4,6,8.9,17.7,24.5,197037698,0,270046564,232,17
R7-2,197036176,EXP,196,205,CON,198,215,1.8,3.8,6,10,19.6,31,197037700,0,270046564,232,17
R7-2,197036176,EXP,196,205,CON,198,215,1.8,3.6,6,10.3,18.9,30,197037696,0,270046564,232,17
R7-2,197036176,CON,198,203,CON,198,215,1.3,1.9,6,4.3,15.1,18,197037695,0,197036176,232,17
R7-2,197036176,CON,198,203,CON,198,215,1.6,2.7,6,9.3,18.5,28,197037699,0,197036176,232,17
R7-2,197036176,CON,198,203,CON,198,215,1.8,3.1,6,9.5,18.8,31,197037697,0,197036176,232,17
