NestBox,FemaleNumber,YoungOrigin,MWStartDate,MWEndDate,MaternalEffect,E1D,BD0,BD2Mass,BD4Mass,BD4YgN,BD11Mass,BD11Tarsus,BD11Wing,NestlingNumber,RECRUIT,MaternalID,MadeToFledging,TimeInNest
NG10-1,197036293,CON,.,.,CON,178,195,1.7,3.4,5,10,19,30.5,197037223,0,197036293,211,16
NG10-1,197036293,CON,.,.,CON,178,195,.,.,5,.,.,.,.,.,197036293,.,.
A11-2,197036402,EXP,179,184,EXP,180,196,2.8,4.6,3,9.6,18.3,35,197037366,0,197036402,211,15
A11-2,197036402,EXP,179,184,EXP,180,196,3.8,5.9,3,10.8,18.9,35.5,197037367,0,197036402,211,15
A11-2,197036402,CON,179,185,EXP,181,197,1.9,3.8,3,11.1,18.8,31.5,197037368,0,197035952,211,14
A11-2,197036402,CON,179,185,EXP,181,197,1.4,.,3,.,.,.,.,.,197035952,.,.
D16-2,197035952,EXP,179,184,CON,180,196,1.9,3.5,4,9.8,18.4,31,197037365,0,197036402,213,17
D16-2,197035952,EXP,179,184,CON,180,196,2.8,5,4,10.6,17.7,33,197037363,0,197036402,213,17
D16-2,197035952,CON,179,185,CON,181,197,1,0.9,4,.,.,.,.,.,197035952,.,.
D16-2,197035952,CON,179,185,CON,181,197,1.2,2.2,4,7.6,17.3,24,197037364,0,197035952,213,16
D2-1,197036301,EXP,177,184,EXP,180,196,2.6,5.1,5,9.7,18.3,33,197037373,0,197036301,210,14
D2-1,197036301,EXP,177,184,EXP,180,196,2,4,5,9.8,18.7,30,197037371,0,197036301,210,14
D2-1,197036301,EXP,177,184,EXP,180,196,2.2,4.1,5,9.7,18.3,31,197037370,0,197036301,210,14
D2-1,197036301,CON,179,185,EXP,181,197,2.3,4.5,5,10,19.1,34,197037369,0,275085789,210,13
D2-1,197036301,CON,179,185,EXP,181,197,1.7,.,5,9.6,18,29.5,197037372,0,275085789,210,13
E19-1,275085789,EXP,177,184,CON,180,196,2.7,5.2,5,9.6,18,31.5,197035800,0,197036301,211,15
E19-1,275085789,EXP,177,184,CON,180,196,3.2,5.9,5,10.2,18.6,34,197035799,0,197036301,211,15
E19-1,275085789,CON,179,185,CON,181,197,2.5,5.1,5,9.8,18.8,33,197037362,0,275085789,211,14
E19-1,275085789,CON,179,185,CON,181,197,2.4,5,5,9.9,19.2,34,197037360,0,275085789,211,14
E19-1,275085789,CON,179,185,CON,181,197,2.7,5.5,5,10.1,18.3,34.5,197037361,0,275085789,211,14
I2-1,197036311,EXP,179,185,EXP,180,198,3,5.3,6,10.9,20.3,34,197037231,0,197036311,212,14
I2-1,197036311,EXP,179,185,EXP,180,198,3.5,5.9,6,10.4,19.8,32,197037230,0,197036311,212,14
I2-1,197036311,EXP,179,185,EXP,180,198,2.9,5.3,6,10.1,19.8,35,197037227,0,197036311,212,14
I2-1,197036311,CON,179,185,EXP,180,197,3.4,6.3,6,10.1,19.2,36,197037228,0,197036419,212,15
I2-1,197036311,CON,179,185,EXP,180,197,3.2,6.3,6,10.4,18.1,34,197037232,0,197036419,212,15
I2-1,197036311,CON,179,185,EXP,180,197,2.9,5.3,6,9.7,18.7,33.5,197037229,0,197036419,212,15
F20-1,197036419,EXP,179,185,CON,180,198,1.9,3.9,6,9.3,19.1,30,197036795,0,197036311,210,12
F20-1,197036419,EXP,179,185,CON,180,198,2.8,5.2,6,9.5,18.8,32,197036797,0,197036311,210,12
