maleID = individual ID,,,,,,,,,,,
farm = farm number,,,,,,,,,,,
nestbox = nestbox number,,,,,,,,,,,
year = year of capture (1st year of study is 2005 = 1),,,,,,,,,,,
AI5km = proportion of intensive cultures within 5 km radius (in %),,,,,,,,,,,
date = julian date,,,,,,,,,,,
days = number of days since laying,,,,,,,,,,,
time = time of day (0.5 = noon),,,,,,,,,,,
wing = wing length (mm),,,,,,,,,,,
mass = body mass (g),,,,,,,,,,,
tarsus = tarsus length (mm),,,,,,,,,,,
eggs = clutch size (number of eggs),,,,,,,,,,,
,,,,,,,,,,,
maleID,farm,nestbox,year,AI5km,date,days,time,wing,mass,tarsus,eggs
2217,3,6,2,6.409521991,160,24,0.4993,121.5,22.54,11.48,6
2384,3,8,3,6.454872382,172,35,0.4597,117,18.8,11.68,9
2334,3,8,4,6.454872382,158,24,0.5139,118.5,21.16,12.02,6
2544,3,8,5,6.454872382,191,27,0.5417,118,19.55,12.84,5
2251,3,9,2,6.423047546,174,18,0.7313,122,21.35,12.82,5
2358,3,9,3,6.423047546,162,25,0.5826,123,22.3,11.98,5
2358,3,9,4,6.423047546,158,23,0.5139,126,21.76,12.4,6
2067,3,10,0,6.402361403,171,34,0.7986,118,19.7,NA,6
2182,3,10,2,6.402361403,156,11,0.7132,120,20.75,12.75,5
2455,3,10,5,6.402361403,161,25,0.4444,114,19.17,12.47,6
2518,3,10,7,6.402361403,160,24,0.5208,123,20.98,12.23,5
2106,4,1,1,6.788237541,159,26,0.8514,115,21.03,NA,6
2106,4,1,2,6.788237541,164,24,0.4646,122.5,21.6,12.56,6
2359,4,1,3,6.788237541,162,26,0.7444,118,20.69,12.11,7
2359,4,1,4,6.788237541,164,27,0.5139,121,20.65,12.24,6
2359,4,1,5,6.788237541,159,22,0.5417,120,19.92,12.21,6
2119,4,2,2,6.785850678,162,16,0.5611,116,20.55,12.27,5
2119,4,2,3,6.785850678,162,26,0.7451,117,20.56,12.29,7
2119,4,2,4,6.785850678,162,29,0.4931,119,19.99,12.42,6
2501,4,3,5,6.793011266,163,23,0.4896,117,18.04,11.83,5
2125,4,4,1,6.773916364,159,26,0.8528,119,19.53,NA,5
2125,4,4,1,6.773916364,135,2,0.6007,120,21.88,NA,5
2468,4,4,7,6.773916364,166,23,0.5104,125,20.54,12.55,6
2107,4,5,1,6.768347018,159,26,0.8542,117,19.12,NA,6
2469,4,5,7,6.768347018,166,32,0.5208,120,18.1,12.43,5
2505,4,6,5,6.765164534,167,27,0.5625,119,19.68,12.15,6
2505,4,6,7,6.765164534,172,30,0.6771,121,20.23,12.09,6
2285,4,7,2,6.772325123,166,24,0.6125,119.5,20.14,11.83,6
2285,4,7,3,6.772325123,162,25,0.7472,121.5,19.57,11.74,5
2360,4,7,4,6.772325123,162,27,0.5313,120,19.91,11.46,6
2444,4,7,5,6.772325123,159,21,0.5417,122,19.68,12.28,5
2444,4,7,5,6.772325123,161,23,0.5069,122,18.42,12.59,5
2125,4,8,2,6.774711985,168,32,0.7076,121,20.93,12.13,7
2360,4,8,3,6.774711985,162,27,0.6958,122.5,19.19,11.35,6
2444,4,8,7,6.774711985,164,23,0.6458,121,19.23,12.13,6
2284,4,9,2,6.776303227,166,23,0.6104,120,19.78,11.94,5
2284,4,9,3,6.776303227,162,27,0.7486,120,20.2,11.99,6
2436,4,9,4,6.776303227,182,27,0.4792,124,18.57,12.38,5
2450,4,9,7,6.776303227,176,21,0.5521,117,19.97,12.58,5
2119,4,10,1,6.775507606,165,28,0.7833,116,20.39,NA,6
2436,4,10,4,6.775507606,164,25,0.5097,125,20.81,12.4,6
2436,4,10,5,6.775507606,161,24,0.5069,122,19.75,12.17,6
2546,4,10,7,6.775507606,158,24,0.4583,123,19.55,12.17,5
2102,5,1,1,3.042454331,136,0,0.4083,118,21.47,NA,4
2102,5,1,2,3.042454331,166,22,0.5444,125,21.2,11.49,6
2102,5,1,2,3.042454331,168,24,0.5389,125.5,20.61,12.55,6
2012,5,2,0,2.999490803,155,13,0.7542,115,19.27,NA,5
2102,5,2,3,2.999490803,168,25,0.3917,124,20.08,12.57,6
2102,5,2,4,2.999490803,161,24,0.7118,127,21.62,12.33,7
2102,5,2,5,2.999490803,162,24,0.6944,126,20.91,12.51,7
2403,5,3,4,2.974826555,165,27,0.7292,122.5,21.03,12.66,6
2368,5,3,7,2.974826555,159,24,0.7083,124,21.76,12.46,4
2374,5,4,3,2.93504551,172,25,0.4056,122.5,20.48,12.56,5
2403,5,4,4,2.93504551,159,22,0.6806,120,20.56,12.46,6
2484,5,4,5,2.93504551,156,22,0.5799,122,21.85,12.24,5
2135,5,5,1,2.919928712,165,29,0.5833,121,20.47,NA,7
2162,5,5,2,2.919928712,158,11,0.4111,120,20.3,12.1,5
2461,5,5,7,2.919928712,165,23,0.7917,118,20.03,11.85,6
2362,5,6,3,2.940614856,164,27,0.5708,114,21.11,12.56,6
2460,5,6,5,2.940614856,164,23,0.625,114,20.79,12.67,5
2059,5,7,0,2.947775444,171,30,0.45,123,19.57,NA,5
2135,5,7,2,2.947775444,164,20,0.7604,120,22.6,11.48,6
2363,5,7,4,2.947775444,165,24,0.7292,122,22.94,11.82,6
2523,5,7,7,2.947775444,165,23,0.7708,117,20.03,12.44,6
2059,5,8,1,2.96209662,164,29,0.5826,120,19.97,NA,6
2462,5,8,5,2.96209662,164,23,0.625,110,18.47,11.97,6
2059,5,9,2,2.929476163,168,24,0.541,119,19.8,12.76,7
2363,5,9,3,2.929476163,164,26,0.5701,121,20.67,11.9,7
2058,5,10,0,2.919133091,171,34,0.45,120,21.02,NA,6
2058,5,10,1,2.919133091,164,26,0.5847,119,20.97,NA,6
2058,5,10,2,2.919133091,166,21,0.6028,123.5,21.72,12.35,5
2396,5,10,4,2.919133091,163,24,0.7569,120,20.84,11.37,5
2461,5,10,5,2.919133091,164,23,0.625,113,19.13,12.06,6
2177,6,4,1,8.381866208,172,25,0.5444,119,20.19,NA,5
2224,6,4,2,8.381866208,166,22,0.4569,119,21.32,12.44,6
2336,6,4,3,8.381866208,166,30,0.4715,115,20.54,11.25,6
2290,6,5,2,8.404939215,168,23,0.6014,122,22.84,12.26,7
2395,6,6,4,8.41846477,163,25,0.7083,118,21.88,12.66,3
2542,6,6,5,8.41846477,188,24,0.5243,119,21.56,12.35,5
2146,6,7,2,8.428807842,170,23,0.5438,125,20.94,12.41,6
2234,6,9,2,8.385048692,164,20,0.6979,122,20.52,11.76,5
2457,6,9,5,8.385048692,162,22,0.6111,122,20.37,12.28,5
2126,7,1,1,33.33333333,150,12,0.4535,116,22.5,NA,6
2068,7,2,0,33.26490994,171,31,0.5,114,20.3,NA,6
2100,7,3,1,33.16386608,132,2,0.7,120,19.22,NA,6
2552,7,3,5,33.16386608,171,23,0.6979,118,20.11,12.69,5
2521,7,3,7,33.16386608,172,22,0.7396,119,19.9,11.55,5
2521,7,3,7,33.16386608,178,28,0.4896,119,18.38,NA,5
2111,7,4,1,33.12726752,164,28,0.3771,119,20.05,NA,7
2064,7,5,0,33.13363249,171,32,0.8007,117,21.33,NA,6
2064,7,5,1,33.13363249,158,25,0.8792,118,20.9,NA,6
2043,7,6,1,33.22115079,144,15,0.5306,117,22.37,NA,7
2043,7,6,1,33.22115079,134,5,0.516,117,23.71,NA,7
2178,7,7,1,33.19330405,176,26,0.4806,120,21.5,NA,4
2552,7,10,7,33.46620202,168,24,0.7292,120,20.48,12.9,5
2074,8,2,0,70.242187,172,29,0.5174,121,22.06,NA,5
2267,8,2,1,70.242187,173,28,0.8819,118,19.73,NA,5
2267,8,2,2,70.242187,167,30,0.3736,116,19.54,12.03,6
2425,8,2,4,70.242187,159,25,0.5104,119.5,20.23,12.29,3
2267,8,4,3,70.87152314,165,28,0.6396,117,20.16,11.87,6
2267,8,10,4,71.55416587,171,24,0.6417,119.5,20.08,11.91,5
2471,8,10,5,71.55416587,152,14,0.4549,117,20.87,11.69,6
2065,9,1,0,3.058366749,171,36,0.4167,119,21,NA,6
2536,9,1,7,3.058366749,164,23,0.6979,128,20.09,12.9,6
2062,9,2,0,3.063140475,171,34,0.7965,119,17.95,NA,5
2510,9,3,5,3.061549233,173,23,0.3646,118,19.19,12.43,5
