habitat,fledg,sex,date,hour,age,wing,mass,TD,obs,tail,id
urb,3,1,14/05/13,,2,78,16.7,20,AG,68.5,1616
rur,5,2,21/05/13,10:51,1,74,16.5,18.65,CD,59,1618
rur,7,2,09/05/14,13:55,2,73.5,16.4,19.23,AC,56,1618
rur,10,2,02/05/14,10:40,2,73,16.6,19.46,AC,64,1622
urb,2,1,28/05/14,09:10,2,76,17.3,19.99,AC,65,1626
urb,6,2,17/05/13,,1,71,17.2,18.87,AG,56.5,1630
urb,8,2,26/04/13,08:30,1,71.5,16.5,19.58,AG,60.5,1637
urb,5,1,29/04/13,11:10,1,72.5,17.5,18.86,AG,62,1638
urb,5,2,29/04/13,11:55,1,71,15.8,18.52,AG,60.5,1639
urb,0,1,29/04/13,,1,75.5,17.8,20,AG,66,1644
urb,0,2,29/04/13,,1,73,16.5,18.06,AG,64,1645
urb,7,1,06/05/13,,2,75,16,18.57,AG,,1653
urb,6,1,22/04/14,09:37,2,,,,AC,,1653
urb,7,2,06/05/13,,2,74,17.2,19.1,AG,61,1662
urb,6,2,06/05/13,11:15,2,73,16,19.5,AG,60,1666
urb,2,2,05/05/14,12:03,2,73,15.6,19.83,AC,61,1666
rur,8,2,07/05/13,12:45,1,74,16.6,20.48,PG,58,1683
rur,7,1,02/05/14,09:00,1,75,17,19.05,VD,66,1688
rur,7,1,13/05/15,10:30,2,76,16.6,19.14,SP,68,1688
rur,8,1,09/05/16,09:52,2,77,17.4,19.1,SP,69,1688
rur,1,1,13/05/14,10:18,1,75,16.9,20.36,AC,63,1701
rur,6,1,20/05/15,15:45,2,80,16.1,20.25,VD,69,1701
rur,9,2,06/05/14,11:55,1,72,15.5,18.61,AC,59,1712
rur,6,1,06/05/14,14:38,1,76,16.8,19.85,AC,67,1721
rur,9,1,20/05/15,10:10,2,78,16.4,19.32,SP,69,1721
rur,6,2,09/05/14,12:05,1,69,14.4,17.74,AC,56,1728
rur,8,2,09/05/14,13:08,1,70,16.5,18.67,AFA,,1732
