habitat,fledg,sex,date,hour,age,wing,mass,TD,obs,tail,id
rur,4,1,20/05/15,11:40,1,76,15.9,19.49,VD,65,3089
rur,2,2,19/05/15,09:40,2,75,14.8,20.09,VD,63,3092
rur,0,2,13/05/16,10:40,2,73,16.2,20.21,SP,67,3092
urb,4,1,27/05/15,09:35,1,73,16.8,20.1,SP,61,3108
urb,4,2,27/05/15,10:00,1,74,15.9,20.19,SP,58,3112
urb,7,1,11/05/16,08:51,1,73,16,19.78,AG,61,3120
urb,2,1,10/05/16,07:52,1,72,16.2,19.36,AC,62,3128
urb,5,1,03/05/16,10:20,1,74,17,19.65,SP,62,3129
urb,5,1,11/05/16,12:34,2,74.5,16,19.37,AG,61,3135
urb,2,1,02/05/16,08:50,2,74,15.2,18.61,VD,61,3141
urb,0,1,02/05/16,09:00,1,73,15.6,19.83,VD,63,3146
urb,0,2,02/05/16,09:20,2,71,15,18.96,VD,61,3148
urb,4,2,02/05/16,10:00,1,71,15,18.96,VD,61,3151
urb,4,1,02/05/16,10:15,1,77,16.9,20.61,VD,61,3154
urb,0,2,03/05/16,08:35,1,70,15,19.3,SP,65,3159
urb,3,2,03/05/16,08:35,1,72,16.8,19.7,SP,68,3167
rur,5,1,26/05/15,09:25,1,74,16.7,19.92,AC,63.5,3174
rur,0,1,18/05/16,08:21,2,76,16.8,19.75,SP,66,3174
rur,7,2,13/05/15,11:05,1,73,16.4,19.3,SP,61,3185
rur,4,2,26/05/16,09:15,2,75,16.3,19.41,PG,61,3185
urb,6,1,14/05/15,12:55,1,71,15.7,19.25,AC,59,3198
rur,6,2,19/05/15,10:55,1,72,16.2,19.9,AC,61,3201
urb,5,2,05/05/16,08:30,2,71,15,18.06,SP,59,3206
urb,5,2,29/04/16,11:07,2,74,16.9,19.36,VD,59,3211
rur,2,2,16/05/14,10:00,,73.5,14.4,18.78,VD,60,3215
rur,5,2,20/05/15,14:10,2,75,16.4,19.25,VD,63,3215
urb,5,1,15/05/14,12:07,2,76.5,17.9,20,SC,65,3226
urb,6,1,14/05/15,10:00,2,76,18.2,20.12,SP,67,3226
urb,4,1,14/05/16,10:43,2,75,18,20,SP,64,3226
urb,5,2,15/05/14,12:29,2,74.5,16.4,19.16,SC,63,3235
urb,6,2,14/05/15,10:20,2,74,15.9,19.2,AC,64.5,3235
urb,7,2,15/05/14,12:57,1,73.5,15.9,18.65,SC,58,3248
urb,7,1,15/05/14,13:15,1,74,16.1,19.4,SC,59,3254
rur,0,2,16/05/14,10:10,1,72,15.6,19.02,VD,60.5,3256
urb,6,2,16/05/14,13:35,2,75,16.3,19.35,VD,62,3265
urb,7,2,19/05/14,08:55,1,69.5,14.8,18.49,AG,58,3269
urb,5,1,22/05/14,09:55,1,74,16.4,19.74,AC,59,3278
rur,2,2,27/05/14,09:56,1,75,18.5,19.42,VD,58,3283
rur,3,2,20/05/15,09:15,2,75,15.6,19.59,VD,60,3283
rur,2,1,27/05/14,10:15,2,77,14.8,20.61,VD,,3299
urb,1,1,28/05/14,10:09,1,73.5,16.5,19.33,AC,60,3304
urb,1,2,28/05/14,10:55,1,71,16.4,20.14,AC,57,3313
urb,4,1,07/05/15,10:40,2,76,16.6,19.93,AC,66,3317
urb,7,1,01/05/15,13:00,2,74,16.7,19.54,SP,63,3321
urb,5,1,04/05/15,08:40,1,69.5,14.1,18.31,AC,58,3325
urb,0,2,04/05/15,09:20,1,75,17,19.05,AC,60,3327
urb,5,1,04/05/15,11:40,1,74,16,19.26,AC,65,3332
urb,7,1,25/04/16,08:36,2,76,15.6,19.09,AC,63,3332
urb,0,2,26/04/16,11:18,1,73.5,15.6,19.14,AC,58.5,3338
urb,6,1,05/05/15,09:00,2,76,17.5,20.35,AC,63.5,3346
urb,5,1,20/04/16,14:40,2,79,17.9,20.22,VD,67,3346
urb,6,2,05/05/15,09:10,2,74,15.3,18.64,AC,,3355
urb,5,2,20/04/16,14:05,2,78,15.5,18.29,VD,60,3355
urb,0,2,05/05/15,10:15,1,72,15.2,19.32,AC,62,3361
urb,7,1,05/05/15,10:30,2,78,16,19.03,AC,67,3362
urb,6,1,05/05/15,12:40,2,78,18.6,19.82,VD,67,3365
urb,9,1,11/05/16,10:20,2,77,18,19.57,AG,68,3365
urb,3,1,07/05/15,09:25,1,70.5,16.1,19.87,AC,60,3380
urb,5,1,16/05/16,12:52,2,75,16.7,20.05,SP,63,3380
urb,4,2,07/05/15,10:15,1,72,15.4,18.369,AC,56,3385
urb,5,1,07/05/15,12:30,2,75,17.1,19.99,AC,61,3386
urb,5,1,07/05/15,15:05,2,76,16.9,19.95,AC,64,3394
urb,7,1,11/05/15,10:15,2,76,16.8,20.26,AC,64,3398
urb,0,1,11/05/15,12:40,2,74,16.1,19.68,AC,62,3406
urb,7,2,11/05/15,10:50,2,73.5,16.7,19.34,AC,60,3409
urb,5,2,11/05/16,12:56,2,73.5,17.25,19.59,AG,66.5,3409
urb,4,1,12/05/15,12:08,1,73,16.4,18.9,AC,62,3424
urb,4,2,12/05/15,13:50,1,73,16.9,20.06,SP,62,3425
urb,4,1,12/05/15,14:00,1,75,16,20.5,AC,62,3430
urb,5,1,19/05/16,11:04,1,77.5,17.3,20.01,AC,65,3430
urb,6,2,12/05/15,14:15,1,72,16.2,19.32,SP,61,3443
rur,8,1,13/05/15,09:55,1,82,16.8,20.17,VD,68,3445
rur,7,1,13/05/15,11:20,2,80,17.1,19.58,VD,69,3448
urb,3,2,05/05/16,12:25,1,70,14.9,18.36,SP,66,3452
urb,2,1,27/04/16,09:50,2,75,16.7,19.64,VD,64,3457
urb,5,2,03/05/16,10:10,2,71,16.2,19.1,SP,59,3462
urb,0,2,04/05/16,08:30,1,73,17.1,19.62,VD,59,3467
urb,5,2,04/05/16,08:57,2,74,15.6,19.94,VD,64,3476
urb,5,1,04/05/16,09:10,1,74,15.1,18.66,VD,61,3484
urb,3,1,04/05/16,10:10,1,76,17.4,20.29,VD,64,3488
urb,4,1,04/05/16,10:10,2,78,16.4,20.53,VD,63,3495
urb,5,1,05/05/16,08:40,2,77,16.3,20.28,SP,65,3501
urb,6,1,05/05/16,11:50,2,77,16.3,19.19,VD,69,3507
rur,3,1,06/05/16,08:10,1,77,17,19.98,VD,65,3511
rur,6,2,06/05/16,09:20,1,72,16.4,19.26,VD,62,3517
urb,5,2,06/05/16,11:20,1,72,15.7,18.75,VD,59,3521
urb,5,2,06/05/16,13:00,2,69,15.9,18.83,SP,58,3525
urb,7,1,10/05/16,15:55,2,75,16.3,19.43,SP,62,3527
urb,7,2,10/05/16,16:15,1,73,15.5,18.48,SP,61,3532
urb,4,2,14/05/16,10:45,2,74,15.6,19.17,SP,63,3539
urb,5,1,06/05/16,12:45,1,75,16.2,19.26,SP,68,3547
urb,6,2,16/05/16,09:21,1,73,16,19.32,SP,59,3548
urb,4,1,27/05/16,10:52,1,74.5,17,20.06,SP,67,3555
urb,1,1,14/05/16,08:30,1,75,16,20.29,SP,63.5,3559
urb,5,1,17/05/16,09:35,1,73,16.2,19.42,SP,62,3566
rur,9,2,20/05/15,10:40,2,77,16,20.17,VD,59,3568
rur,2,2,13/05/16,11:08,2,74,16.8,20.35,SP,62,3568
rur,8,1,20/05/15,11:30,2,77,17.1,20.53,VD,67,3579
urb,5,1,24/04/15,09:05,2,75,16.4,19.76,VD,64,3588
urb,4,1,22/04/16,08:50,2,76.5,16.3,19.91,AC,66,3588
urb,5,1,24/04/15,10:00,2,70,14.7,19.47,VD,60,3593
urb,4,2,24/04/15,11:15,2,74,16.8,19.85,SP,63,3598
urb,0,2,28/04/16,08:30,2,73,16.25,19.68,AG,63,3598
urb,5,2,29/04/15,12:00,1,73,14,19.01,SP,58,3609
urb,5,2,30/04/15,09:30,1,74,16,19.22,VD,60,3618
urb,0,2,27/04/16,09:00,2,77,16.5,19.09,VD,62,3618
urb,0,2,30/04/15,10:45,2,74,16.6,19.69,VD,61,3624
urb,0,1,30/04/15,11:00,1,74,15.6,19.42,SP,62,3626
urb,5,1,01/05/15,10:00,2,78,17.4,18.94,VD,65,3627
urb,0,1,01/05/15,12:00,2,74,16.6,20.17,VD,64,3636
urb,0,2,01/05/15,12:20,1,70.5,17.5,20,SP,57,3644
urb,6,1,06/05/15,09:20,2,71,15.8,19.35,SP,64,3646
urb,6,2,06/05/15,09:35,1,70,16.2,19.25,SP,,3647
urb,3,2,08/05/15,08:45,1,70,16.7,19.32,VD,64,3651
urb,5,2,12/05/16,11:21,2,73,15.9,19.7,AC,64,3651
urb,5,2,17/05/16,09:26,1,71,15.9,18.92,SP,58,3654
urb,7,2,12/05/15,10:40,1,72,14.5,18.1,AC,61,3662
urb,6,1,14/05/16,08:33,1,74,15,18.75,SP,66,3671
urb,4,1,14/05/16,08:52,1,75,15.5,19.71,AG,64.5,3676
rur,8,2,20/05/15,11:50,1,75,15.7,19.25,VD,63,3679
rur,4,2,20/05/15,12:25,1,76,15.2,19.11,VD,60,3687
rur,5,1,20/05/15,14:45,2,79,19.6,20.56,VD,66,3695
rur,3,1,18/05/16,08:42,2,77.5,17.5,20.46,SP,67,3695
urb,0,2,21/05/15,09:00,1,74,15.7,20.18,VD,61,3709
urb,8,2,21/05/15,10:30,1,72,15.6,19.75,VD,62,3717
urb,5,1,21/05/15,12:05,1,78,,19.65,VD,67,3723
urb,1,1,10/05/16,10:25,2,77,15.5,19.5,AC,68.8,3723
rur,10,1,09/05/16,08:40,2,79,17,20.38,AC,69,3733
urb,3,1,03/05/16,08:30,1,74,16.6,20.3,SP,66,3740
rur,3,2,09/05/16,11:30,2,75,18,20.48,SP,63,3744
rur,3,1,09/05/16,11:15,2,78,17.4,19.5,AC,69,3746
rur,0,1,07/05/16,09:30,1,75,16.8,19.8,PG,62,3750
rur,0,2,09/05/16,12:32,2,74,16.7,19.59,AC,63,3751
rur,0,2,07/05/16,09:05,1,71,16.1,19.12,PG,58,3753
urb,8,2,14/05/15,09:45,1,72,16.1,19.54,SP,56.5,3755
urb,3,2,14/05/15,08:50,1,70.5,15.1,19.16,AC,59.5,3756
urb,6,1,14/05/15,11:00,2,77,17.3,19.25,AC,68.5,3765
urb,6,1,16/05/16,09:35,2,77,17.2,19.31,SP,69,3765
urb,5,2,14/05/15,11:50,1,70,14.6,18.8,SP,58,3773
urb,7,2,04/05/16,13:40,2,71,16.3,18.85,SP,60,3773
urb,6,2,14/05/15,12:25,1,71.5,16.5,19.43,AC,61,3787
urb,6,1,15/05/15,08:55,2,78,16.8,20.43,SP,67,3791
urb,9,1,11/05/16,07:57,2,79,17,20.27,AG,69,3791
urb,2,2,15/05/15,09:10,2,70.5,15.8,18.34,SP,61,3802
urb,2,1,15/05/15,09:40,2,73,16.2,19.04,SP,66,3803
rur,7,2,19/05/15,09:50,2,74.5,15.8,19.44,AC,62,3807
urb,3,1,05/05/16,08:10,1,75,17.9,19.02,SP,65,3813
rur,5,2,26/05/15,09:35,1,73,16.7,19.51,AC,59,3815
rur,0,2,18/05/16,08:45,2,75,15.8,19.33,SP,65.5,3815
rur,4,2,18/05/16,09:25,1,75,16.8,20.18,SP,62,3822
rur,8,1,18/05/16,10:56,2,77.5,16.75,19.49,AG,67,3827
rur,8,2,18/05/16,11:30,1,72,16.25,19.46,AG,60,3835
urb,1,2,20/05/16,09:47,2,72.5,15.2,18.83,SP,59,3840
urb,1,1,20/05/16,09:50,2,77,17.7,19.72,SP,63.5,3844
urb,7,1,23/05/16,08:43,2,76,16.1,20.14,SP,63,3853
urb,7,2,23/05/16,09:43,2,72,16,19.98,SP,60,3858
urb,7,2,25/04/16,08:35,1,73,16.5,19.55,AC,62,3867
urb,6,2,25/04/16,09:17,1,70,15.6,18.68,AC,61.5,3870
urb,0,2,25/04/16,09:57,1,72,15.9,19.41,AC,58.5,3872
urb,0,1,25/04/16,10:06,1,74.5,16.3,19.54,AC,61.5,3875
urb,0,1,26/04/16,10:55,1,74.5,15.7,19.91,AC,64,3882
urb,0,2,02/05/16,13:54,1,70.5,17.4,19.01,AC,60,3890
urb,3,1,03/05/16,15:05,1,75,15.9,19.12,AC,61.5,3893
rur,0,2,09/05/16,08:35,1,71.5,15.8,19.25,AC,61,3898
rur,0,1,09/05/16,12:42,2,76,17,19.65,AC,65.5,3899
urb,2,2,10/05/16,07:45,2,73.5,15.6,19.04,AC,63,3901
urb,4,1,10/05/16,08:50,2,74,16.7,19.98,AC,63.5,3907
urb,4,2,10/05/16,09:23,2,75,17.1,20.44,AC,65,3914
urb,6,1,10/05/16,10:27,2,76,17.4,20.24,AC,64,3916
urb,6,2,10/05/16,10:40,1,73.5,15.7,18.62,AC,60,3919
urb,8,1,10/05/16,11:57,2,77.5,16,19.52,AC,66,3924
urb,8,2,10/05/16,12:12,2,69.5,15.9,18.52,AC,54,3926
urb,7,2,11/05/16,09:02,1,70.5,15.5,19.42,AG,55.5,3930
urb,9,2,11/05/16,10:09,1,74,16.5,19.2,AG,61.5,3931
urb,4,2,12/05/16,11:02,1,71,15.7,19.3,SP,61,3940
urb,4,1,12/05/16,11:15,1,76,16.8,19.42,AC,65,3949
urb,4,2,12/05/16,12:33,2,73,17.2,20.02,SP,63,3957
urb,4,1,12/05/16,12:36,2,76,18,20.9,SP,65.5,3965
urb,0,1,12/05/16,13:55,2,71,16.9,19.89,SP,61,3970
urb,6,2,14/05/16,13:25,1,72,16.3,19.65,AC,61.5,3973
urb,0,1,14/05/16,14:13,1,76,17,20.22,AC,65,3974
urb,0,2,14/05/16,14:20,1,72.5,15.2,19.11,AC,62,3979
urb,4,2,19/05/16,08:23,2,73,15.6,19.51,AC,64.5,3981
urb,4,2,19/05/16,09:59,2,76,16.6,18.82,AC,66,3987
urb,5,2,19/05/16,10:47,1,73,15.4,20.65,AC,63.5,3996
urb,2,2,27/05/16,08:50,2,71,15.4,19.36,SP,59,4003
urb,4,2,30/05/16,10:43,2,73,15.4,19.18,SP,60,4010
urb,0,2,12/05/16,07:55,1,73,15.5,19.3,SP,61,4019
rur,7,2,13/05/16,08:22,1,71,15,18.98,SP,59.5,4026
rur,6,2,13/05/16,09:28,2,76.5,15.9,19.24,SP,69,4031
rur,6,1,13/05/16,09:50,2,75,17.5,20.26,SP,63.5,4040
rur,8,2,13/05/16,09:58,1,71,16.2,19.51,SP,64,4046
rur,0,1,13/05/16,10:10,2,73,17.2,18.9,SP,66,4049
rur,0,2,13/05/16,11:20,2,74,17,20.18,SP,62,4053
rur,9,2,13/05/16,12:30,2,74.5,15.9,19.45,SP,67,4057
rur,9,1,13/05/16,12:55,2,73,16.8,20.61,SP,61,4065
rur,3,1,13/05/16,13:41,2,73,16.9,19.6,SP,63,4068
rur,3,2,13/05/16,14:05,2,71,17.5,19.98,SP,61,4070
urb,5,1,14/05/16,11:28,2,75,16.8,20.34,SP,60,4077
urb,5,2,14/05/16,11:38,2,74,14.9,19.76,SP,59,4079
urb,7,1,16/05/16,08:30,2,75,16,19.65,SP,66,4085
urb,7,2,16/05/16,08:32,1,73.5,15.7,19.25,SP,63,4093
urb,6,1,16/05/16,09:53,2,73,15.6,18.65,SP,61,4094
urb,6,2,16/05/16,10:15,2,74,16.2,19.28,SP,63,4101
urb,5,2,16/05/16,12:40,2,71,16.1,18.79,SP,60,4102
urb,6,2,17/05/16,08:08,2,74,16.1,19.5,SP,62,4106
urb,6,1,17/05/16,08:25,2,74,17,19.58,SP,64,4115
urb,5,1,17/05/16,09:56,1,71,15.5,18.85,SP,62,4122
urb,0,2,17/05/16,12:05,1,71,15.5,19.44,SP,60,4130
rur,4,2,26/05/17,09:05,,75,16.9,19.59,PG,62,4133
rur,4,1,12/05/17,11:12,1,74,17.7,20.33,AFA,59,4140
rur,4,2,15/05/17,10:38,2,74,17.2,19.25,CD,61,4133
rur,5,1,03/05/17,09:32,,75,17,20.19,AC,65,4142
rur,5,2,03/05/17,10:00,,72,16.5,18.84,AC,61,4150
rur,3,2,12/05/17,09:53,1,74,16.7,19.54,AFA,63,4155
rur,1,1,03/05/17,09:42,2,78.5,16.8,19.72,AC,70,4156
rur,1,2,27/06/17,08:45,,73,15.8,19.47,PG,62,3687
rur,1,1,30/06/17,12:45,,80,17.6,19.74,PG,69,4156
rur,5,2,19/06/17,11:23,,74,15.5,19.97,BD,68,4168
rur,10,2,04/05/17,12:22,1,73,18,19.75,BD,60,4172
rur,10,1,04/05/17,12:37,1,78,19,20.8,BD,64,4180
rur,8,1,02/05/17,12:12,1,74.5,17.5,20.05,BD,"63,5",4182
rur,8,2,02/05/17,12:33,,72.5,17,19.08,BD,61,4187
rur,1,1,20/06/17,09:05,,76,17.5,19.54,SB,64,4191
rur,1,2,20/06/17,09:54,,76,16,19.08,SB,59,4195
rur,8,1,27/04/17,12:00,,75,17.3,20.17,AFA,65,4200
rur,5,1,29/04/17,11:12,1,75.5,17,19.91,BD,66,4201
rur,5,2,29/04/17,12:21,,77,16.25,19.49,BD,"64,5",4057
rur,7,2,02/05/17,11:05,1,76.5,16.5,19.65,BD,"60,5",4209
rur,7,1,02/05/17,11:30,2,78,17,20.2,BD,68,4218
rur,8,1,26/04/17,09:00,,77.5,,20.84,BD,,4227
rur,3,2,15/05/17,10:45,1,74,17.8,19.66,PG,62,4232
rur,6,1,10/05/17,08:35,,79,17.5,20.85,CD,67,4239
rur,6,2,10/05/17,08:56,,75,16.8,18.84,CD,62,4243
rur,8,1,12/05/17,08:50,,80,17.5,19.76,CD,68,4246
rur,8,2,12/05/17,09:10,1,75,16.5,19.75,CD,60,4249
rur,7,2,20/06/17,11:36,,75.5,17.5,18.86,SB,61,4070
rur,5,1,10/05/17,10:03,,73,15.5,18.95,CD,61,4260
rur,0,1,04/03/17,15:20,,74,17.5,20.2,CD,65,4268
rur,7,1,05/05/17,09:47,1,77.5,17,19.7,BD,"65,5",4272
rur,7,2,05/05/17,10:21,,73.5,17,18.77,BD,57,3898
rur,0,2,17/05/17,13:30,1,73,17.3,20.05,PG,63,4281
rur,9,2,04/05/17,09:45,1,74,16.7,18.41,AFA,59,4283
rur,9,1,07/05/17,09:56,1,75.5,16.8,20.75,BD,67,4290
rur,8,2,07/05/17,08:38,1,74,16.7,19.85,BD,"61,5",4295
rur,8,1,07/05/17,09:10,1,76.5,,19.7,BD,65,4302
rur,7,1,04/05/17,08:57,,80,,20.08,AFA,70,3733
rur,7,2,04/05/17,09:17,,75,17.4,18.94,AFA,63,4070
rur,6,1,29/04/17,08:35,1,76,17.2,20.49,PG,63,4315
rur,6,2,29/04/17,09:35,,76,18,20.48,PG,64,3069
rur,6,1,14/06/17,10:50,,76,18,20.49,PG,64,4315
rur,7,1,10/05/17,09:45,2,77,17.4,19.15,PG,64,4334
rur,7,2,10/05/17,10:10,1,73,17,18.84,PG,61,4339
rur,6,2,02/05/17,08:40,1,73,17.7,19.64,PG,62,4345
rur,6,1,02/05/17,09:15,,76,18.3,20.27,PG,66,3448
rur,6,2,06/07/17,09:10,,74,17.7,19.64,PG,62,4345
rur,0,1,04/05/17,13:20,2,74,17.7,20.66,PG,63,4367
rur,0,2,04/05/17,13:40,,75,19.6,19.49,PG,64,3517
rur,7,1,03/05/17,13:03,1,76,17.2,20.45,SP,"66,5",4372
rur,7,2,05/05/17,11:06,,74,17.7,19.55,AFA,63,3185
rur,8,2,14/06/17,08:45,,75,15.3,19.27,PG,61,3753
rur,6,1,04/05/17,08:55,,78,17.8,19.83,PG,67,3174
rur,6,2,04/05/17,09:15,1,73,16.7,19.46,PG,62,4391
rur,0,1,02/05/17,09:50,,80,17.3,19.53,PG,70,1464
rur,0,2,02/05/17,10:10,,75,16.6,18.81,PG,64,4400
rur,4,2,12/05/17,11:15,,75,17.2,18.98,CD,62,3215
rur,4,1,12/05/17,11:35,,79,19.2,19.92,CD,68,3695
rur,0,2,09/05/17,10:10,2,75,15.9,18.74,PG,65,4410
rur,0,1,09/05/17,10:55,2,77,20.3,20.59,PG,64,4415
rur,0,1,26/05/17,09:30,2,80,18.3,19.83,PG,66,4420
rur,0,2,26/05/17,09:47,1,75,16.4,19.89,PG,62,4424
rur,0,1,02/05/17,11:00,,78,17.6,20.19,PG,65,2631
rur,0,2,02/05/17,11:20,,72,16.7,19.49,PG,61,4428
rur,8,1,28/04/17,08:27,,78,16.6,19.64,PG,65,3750
rur,8,2,28/04/17,09:02,,75,16.7,19.26,PG,61,3753
rur,7,1,09/05/17,11:20,1,73,17.9,21.29,PG,61,4436
rur,8,2,02/05/17,12:33,,75,18.25,20.25,PG,62,3822
rur,8,1,03/05/17,13:08,1,75,17,20.83,AC,62,4440
rur,7,1,04/05/17,12:25,,78,17.9,20.98,PG,68,4442
rur,7,2,04/05/17,12:45,1,73,17.2,19.63,PG,59,4451
rur,7,2,04/05/17,12:30,,72,17.6,19.7,PG,62,4046
urb,5,1,18/05/17,09:15,2,75,17.2,19.43,SP,64,1198
urb,7,1,05/05/17,09:41,2,75,16.2,18.93,SP,"65,5",4467
urb,5,2,02/05/17,11:16,2,71,16.8,19.43,SP,"60,5",1870
urb,8,2,18/04/17,09:55,2,70,,19.74,SP,"56,5",2042
urb,0,1,28/04/17,10:53,2,77,18.7,20.83,SP,66,2124
urb,2,2,04/05/17,11:04,2,74,16.4,19.19,AC,63,2165
urb,0,2,28/04/17,11:32,2,75,18.2,20.34,SP,65,2186
urb,0,2,28/04/17,09:25,2,70,16.9,19.39,SP,60,2321
urb,6,2,19/05/17,10:00,2,74,16.5,19.19,SP,66,2326
urb,0,1,11/05/17,08:58,2,77,17.5,19.88,SP,60,2340
urb,4,2,28/04/17,09:43,2,72,14.9,18.89,SP,59,2385
urb,5,1,11/04/17,09:20,2,76,16.5,20.1,AG,63,4524
urb,3,2,02/05/17,09:10,2,75,17.5,18.77,AG,"61,5",4531
urb,6,1,04/05/17,10:03,2,76,15.75,17.92,AG,67,4540
urb,7,2,07/05/17,10:47,1,70,15,18.2,ML,60,4546
urb,7,1,07/05/17,11:11,1,75,16.5,19.11,ML,62,4555
urb,8,1,28/04/17,15:58,2,73,15.5,19.57,SP,62,2605
urb,5,1,02/05/17,09:45,2,76,18,21.19,AG,67,2624
urb,5,1,18/04/17,14:53,2,76,17.4,19.99,SP,68,2974
urb,3,2,06/06/17,09:45,2,74,14.8,19.56,CSP,59,3044
urb,7,1,07/05/17,11:46,2,75,15.6,19.29,AC,64,3135
urb,0,1,28/04/17,08:56,2,77,15.2,18.66,SP,66,4586
urb,6,1,24/04/17,15:46,2,75,18.3,20.44,SP,68,3346
urb,6,2,24/04/17,15:15,2,74,16.3,18.41,SP,"65,5",3355
urb,7,2,07/05/17,12:34,2,74,16.9,19.45,AC,"61,5",3409
urb,8,3,28/04/17,16:39,2,75.5,,19.74,SP,66,3457
urb,8,1,18/04/17,10:10,2,80,18.3,20.49,SP,"68,5",3495
urb,5,1,15/06/17,16:00,2,76,16,20.18,SP,68,3501
urb,0,2,04/05/17,14:16,2,74.5,15.9,18.92,SP,60,3521
urb,5,2,15/06/17,16:15,2,74,16.9,19.73,SP,61,4627
urb,3,2,18/05/17,10:26,2,75,16,19.37,SP,61,3548
urb,7,2,24/04/17,08:47,2,75,15.7,18.91,SP,64,4639
urb,7,1,30/04/17,09:00,2,74,15.5,18.76,CSP,,3671
urb,3,1,06/06/17,09:15,2,77,16,19.47,CSP,67,3723
urb,3,1,05/05/17,11:32,2,77,17.2,19.43,SP,65,4659
urb,0,1,04/05/17,10:50,2,78,17.1,20.37,AC,66,3740
urb,5,2,18/05/17,09:45,2,73,15.6,18.81,SP,62,3773
urb,1,1,15/05/17,09:07,2,78,18.5,19.23,SP,"67,5",3813
urb,0,2,28/04/17,14:58,1,69,15.5,18.8,SP,60,4679
urb,0,1,28/04/17,15:04,1,73,15.8,19.1,SP,"64,5",4683
urb,4,1,16/05/17,10:30,1,76,17.2,19.46,CSP,62,4686
urb,5,1,16/05/17,09:32,2,79,18.2,19.82,CSP,68,3844
urb,7,1,22/05/17,08:56,2,77,17.5,20.2,SP,63,3853
urb,0,2,04/05/17,12:06,1,72,15.7,19.53,AC,60,4701
urb,0,2,10/05/17,14:34,1,70,17.1,19.51,SP,58,4710
urb,5,2,18/04/17,14:21,2,72,16.2,18.76,SP,63,3870
urb,8,1,07/05/17,11:09,2,74.5,18.5,20.32,AG,"66,5",3916
urb,3,1,05/05/17,09:12,2,75,15.6,19.26,SP,63,3924
urb,5,1,05/05/17,14:28,1,74,17.5,18.34,SP,61,4729
urb,3,2,09/05/17,14:11,2,74.5,16.1,19.15,SP,61,3940
urb,3,1,02/05/17,09:28,2,78.5,17.2,19.26,SP,67,3949
urb,0,2,07/05/17,10:26,2,73,17.4,19.58,AC,"65,5",3957
urb,0,1,07/05/17,10:16,2,78.5,18.4,20.83,AC,65,3965
urb,6,1,28/04/17,12:33,2,78.5,17.8,20.1,SP,67,3974
urb,0,1,04/05/17,10:30,1,77,17.6,20.29,AC,70,4757
urb,0,1,10/05/17,14:41,1,74,17.3,19.15,SP,62,4759
urb,0,2,09/05/17,09:00,2,72,16.3,19,AG,61,4010
urb,7,1,24/04/17,08:45,1,76,17.1,20.24,SP,"65,5",4764
urb,4,2,24/04/17,10:30,1,73.5,14.6,18.71,SP,65,4765
urb,5,1,26/04/17,09:10,2,78.8,18.2,20.93,SP,65,4772
urb,0,1,27/04/17,09:09,2,74.5,18.2,19.96,SP,"65,5",4779
urb,0,2,27/04/17,09:15,1,71,15.3,18.89,SP,64,4786
urb,0,2,27/04/17,10:20,1,70.5,14.1,17.43,SP,60,4794
urb,0,1,27/04/17,11:10,2,76,15.8,19.2,SP,66,4796
urb,0,2,27/04/17,11:22,2,74,15.5,18.8,SP,65,4800
urb,4,1,28/04/17,09:07,1,71,16.2,19.55,SP,60,4807
urb,0,2,28/04/17,10:59,2,72,16.5,19.44,SP,59,4815
urb,0,1,28/04/17,11:26,1,75,16.5,19.59,SP,61,4817
urb,2,2,30/04/17,08:40,1,71.5,17.4,18.55,SP,61,4822
urb,0,2,30/04/17,11:15,1,73,17.1,18.04,SP,60,4830
urb,0,1,07/05/17,13:20,2,80.5,19.2,20.01,AC,73,4835
urb,8,1,30/04/17,10:00,2,78,16.6,19.56,CSP,,4085
urb,0,2,02/05/17,10:00,,70,15.1,17.55,CSP,59,4844
urb,0,2,07/05/17,13:04,1,71.5,15.4,18.68,AC,"59,5",4846
urb,5,2,12/05/17,10:00,1,71,15.5,18.71,CSP,58,4852
urb,4,2,16/05/17,10:40,,72,17.5,18.93,CSP,58,4853
urb,5,1,02/05/17,10:32,1,72.5,16.2,19.7,SP,"61,5",4856
urb,5,1,04/05/17,09:34,1,73.5,15.2,18.72,AC,63,4859
urb,0,1,04/05/17,14:40,,75,16.9,19.9,SP,61,4868
urb,0,1,04/05/17,14:23,1,72,16.8,18.4,SP,62,4870
urb,0,2,04/05/17,15:30,1,69,16.8,18.95,SP,"56,5",4879
urb,7,2,05/05/17,09:11,2,72,16.3,19.23,SP,63,4880
urb,6,2,05/05/17,10:32,2,70.5,15.5,19.2,SP,"59,5",4882
urb,5,2,05/05/17,10:35,2,70,16.5,19.48,SP,60,4887
urb,6,1,05/05/17,10:41,1,76,18.2,20.35,SP,65,4889
urb,7,2,05/05/17,12:10,2,75,16.2,19.88,SP,"62,5",4890
urb,5,2,05/05/17,14:40,,72,17.8,20.08,SP,58,4897
urb,5,1,08/05/17,08:46,2,75,16.8,19.6,AC,62,4900
urb,5,2,08/05/17,08:53,1,73,17.6,20.03,AC,63,4909
urb,1,1,07/05/17,09:01,1,75,17.1,19.52,AC,62,4916
urb,6,2,09/05/17,09:12,2,75,16.7,18.86,SP,62,4917
urb,5,1,09/05/17,10:39,2,75.5,17.1,20.32,SP,65,4925
urb,5,2,09/05/17,10:50,2,72,16.3,19.13,SP,60,4931
