BirdID,BloodID,LayYear,Ageclass,MumHz,MumHomo,DadHz,DadHomo,ParentsHz,CatchDate,SexEstimate,FieldPeriodID,BreedGroupID,LastOfStatus,BodyMass,DeathDate,TerritoryID,RTL,Hz,Homozygosity,CatchYear,CatchMonth,DeathYear,Age,Agemonths,RemainingLife,RemainingLifeFig,SurvivedNext,SurvivedNextFig,Lifespan,Sex,Tarsus,TQcorrected,LogTQ,YearQuality,Food,SpaceTQ
5314,4267,2009,FL,1.1102,0.8898,1.3184,0.6816,2.4286,16/06/2009,1,92,4735,OFL,14.9,19/03/2010,54,0.752621092,1.0408,0.9592,2009,6,2010,0,3,1,1,1,Yes,1,Males,26.4,18414.19,9.820876842,High food availability,17,19332.705
5224,4070,2008,SA,1.0408,0.9592,0.5551,1.4449,1.5959,25/01/2009,0,90,4114,ABX,14.5,04/03/2014,71,0.75821014,1.3184,0.6816,2009,1,2014,1,9,5,4+,1,Yes,6,Females,23.4,12791.71,9.456552584,High food availability,17,12791.71
1586,900,2000,FL,0.6245,1.3755,0.9714,1.0286,1.5959,05/08/2000,0,39,3049,OFL,14.7,26/07/2001,33,0.759757087,0.902,1.098,2000,8,2001,0,3,1,1,1,Yes,1,Females,24.4,16512.36,9.71186447,,,17046.12
5312,4265,2009,FL,0.5551,1.4449,1.1796,0.8204,1.7347,22/06/2009,0,92,4727,FL,14.3,18/09/2009,43,0.775787763,1.3184,0.6816,2009,6,2009,0,3,0,0,0,No,0,Females,24.3,17475.69,9.768566051,High food availability,17,9655.045
1558,853,1999,FL,0.8327,1.1673,0.5551,1.4449,1.3878,02/12/1999,0,29,2564,FL,13.8,03/03/2009,51,0.801228099,0.9714,1.0286,1999,12,2009,0,3,10,4+,1,Yes,10,Females,24,73512.94,11.20521672,High food availability,15,22021.24
3612,3210,2005,SA,1.3184,0.6816,0.5551,1.4449,1.8735,23/08/2006,1,75,3813,ABX,15.9,19/03/2010,71,0.815624125,0.9714,1.0286,2006,8,2010,1,9,4,4+,1,Yes,5,Males,26,9069.52,9.11267462,Low food availability,13,12791.71
5316,4269,2009,FL,0.6939,1.3061,1.249,0.751,1.9429,20/06/2009,1,92,4723,OFL,15.1,29/02/2012,36,0.844416028,1.1102,0.8898,2009,6,2012,0,3,3,3,1,Yes,3,Males,26.4,15446.06,9.645109234,High food availability,17,12955.9
1410,2756,1998,FL,1.1102,0.8898,1.1102,0.8898,2.2204,10/09/1998,0,25,204,OFL,13.9,26/09/1999,25,0.854115975,0.9714,1.0286,1998,9,1999,0,3,1,1,1,Yes,1,Females,23.5,35936.36,10.48950488,High food availability,20,14698.2
4892,3780,2006,SA,0.7633,1.2367,1.4572,0.5428,2.2205,26/07/2007,1,82,4243,ABX,16.1,04/03/2014,72,0.992901717,0.6939,1.3061,2007,7,2014,1,9,7,4+,1,Yes,8,Males,25.7,5124.47,8.541782384,Low food availability,9,18354.98
4917,3822,2006,SA,0.7633,1.2367,1.1102,0.8898,1.8735,22/08/2007,0,82,4195,ABX,14.2,04/10/2014,9,0.863472757,1.0408,0.9592,2007,8,2014,1,9,7,4+,1,Yes,8,Females,24.5,6272.82,8.743981293,Low food availability,9,23258.14
