BirdID,BloodID,LayYear,Ageclass,CatchDate,SexEstimate,FieldPeriodID,BreedGroupID,LastOfStatus,BodyMass,DeathDate,TerritoryID,Hz,Homozygosity,RTL,CatchYear,CatchMonth,DeathYear,Age,Agemonths,RemainingLife,RemainingLifeFig,SurvivedNext,SurvivedNextFig,Lifespan,Sex,Tarsus,TQcorrected,LogTQ,BirdID,LayYear,CatchYear,SpaceTQ,Food,MeanAdultFood,AllYears?,PropCovered,SumFood,SumFood2
1710,3164,2002,A,11/08/2006,1,75,3818,BrM,16.8,04/10/2014,77,1.1796,0.8204,0.403481069,2006,8,2014,4,24,8,4+,1,Yes,12,Males,25,18608.44,9.83137052,1710,2002,2006,29921.32,13,13.875,YES,1,22,22
1731,3985,2002,A,22/07/2008,1,87,4576,BrM,16,30/09/2013,112,0.6245,1.3755,0.413168314,2008,7,2013,6,24,5,4+,1,Yes,11,Males,25.3,2195.34,7.694092211,1731,2002,2008,20145.88,11.5,19.5,YES,1,40,40
1848,3146,2003,A,06/08/2006,1,75,3779,BrM,14.9,19/03/2010,26,1.249,0.751,0.417332158,2006,8,2010,3,24,4,4+,1,Yes,7,Males,26.2,11631.94,9.361510042,1848,2003,2006,22774.32,13,12,YES,1,40,40
927,146,1994,A,26/07/2003,0,30,445,BrF,16.7,14/01/2004,2,1.0408,0.9592,0.419807185,2003,7,2004,9,24,1,1,1,Yes,10,Females,25,16365.55,9.702933795,927,1994,2003,19713.79,19.5,20.3,NO,0.555555556,40.5,40.5
497,3850,1993,A,31/08/2007,1,82,4194,BrM,16.7,16/09/2007,8,1.1102,0.8898,0.473494418,2007,8,2007,14,24,0,0,0,No,14,Males,26.7,8150.39,9.005821058,497,1993,2007,19626.265,9,16.27777778,NO,0.642857143,39,39
1580,3179,2000,A,14/08/2006,0,75,3840,BrF,16.5,04/10/2014,109,0.6939,1.3061,0.427622841,2006,8,2014,6,24,8,4+,1,Yes,14,Females,24.1,10139.43,9.224187063,1580,2000,2006,12492.47,13,13.875,NO,0.666666667,27,27
1244,1142,1997,A,18/09/2002,0,41,815,BrF,15.9,07/09/2008,71,1.1796,0.8204,0.437672372,2002,9,2008,5,24,6,4+,1,Yes,11,Females,22.5,16804.54,9.729404367,1244,1997,2002,12791.71,,17.5,NO,0.4,49,49
3580,3788,2005,A,27/07/2007,0,82,4264,BrF,14.9,07/09/2008,99,1.1796,0.8204,0.462711655,2007,7,2008,2,24,1,1,1,Yes,3,Females,24.2,7952.63,8.981257971,3580,2005,2007,12565.45,9,11,YES,1,9,9
1731,364,2002,A,01/07/2004,1,34,619,BrM,16,30/09/2013,112,0.6245,1.3755,0.44685731,2004,7,2013,2,24,9,4+,1,Yes,11,Males,25.2,28776.03,10.26729803,1731,2002,2004,20145.88,9,19.5,YES,1,40,40
530,2513,1993,A,09/07/1997,0,22,78,BrF,14.1,28/03/1998,104,1.1102,0.8898,0.45259464,1997,7,1998,4,24,1,1,1,Yes,5,Females,24.5,15082.32,9.621278476,530,1993,1997,14200.26,21,23.5,NO,0.5,21,21
