BirdID,BloodID,LayYear,AgeClass,CatchDate,SexEstimate,FieldPeriodID,BreedGroupID,LastOfStatus,BodyMass,DeathDate,TerritoryID,Hz,Homozygosity,RTL,CatchYear,CatchMonth,DeathYear,Age,Agemonths,RemainingLife,RemainingLifeFig,SurvivedNext,SurvivedNextFig,Lifespan,Sex,Tarsus,TQcorrected,LogTQ,YearQuality,Food,FoodFP,SpaceTQ
1437,735,1998,SA,06/07/1999,0,28,406,BrF,15.9,21/02/2008,87,0.6245,1.3755,1.219993072,1999,7,2008,1,9,9,4+,1,Yes,10,Females,24.3,42537.13,10.65813262,High food availability,15,24.5,13915.73
1022,2336,1995,SA,30/06/1996,0,21,2263,ABX,13.8,13/08/2000,108,1.3878,0.6122,0.469105977,1996,6,2000,1,9,4,4+,1,Yes,5,Females,23.8,103132.25,11.54376742,High food availability,26,26,25637.09
1019,2333,1995,SA,30/06/1996,0,21,2250,ABX,14.4,26/09/1999,86,1.1796,0.8204,0.880360253,1996,6,1999,1,9,3,3,1,Yes,4,Females,25.1,35101,10.4659849,High food availability,26,26,7239.03
1020,2334,1995,SA,30/06/1996,1,21,2210,BrM,16.6,02/10/2002,23,0.8327,1.1673,1.405699823,1996,6,2002,1,9,6,4+,1,Yes,7,Males,26.5,18177.64,9.807947546,High food availability,26,26,20546.86
1221,2591,1997,SA,03/01/1998,1,23,134,ABX,15.7,14/01/2004,30,1.1796,0.8204,0.999749094,1998,1,2004,1,9,6,4+,1,Yes,7,Males,26.4,34104.53,10.4371855,High food availability,20,27,14620.63
1270,2604,1998,FL,25/01/1998,0,23,185,FL,13.1,29/01/1999,168,1.0408,0.9592,1.070017951,1998,1,1999,0,3,1,1,1,Yes,1,Females,23.9,49256.13,10.80478911,High food availability,20,27,39560.78
1170,2621,1997,SA,12/02/1998,0,23,174,ABX,14.9,07/09/2008,135,1.249,0.751,,1998,2,2008,1,9,10,4+,1,Yes,11,Females,25.1,13510.92,9.511253526,High food availability,20,27,11446.08
1244,2498,1997,SA,28/12/1997,0,23,139,ABX,14,07/09/2008,47,1.1796,0.8204,,1997,12,2008,0,9,11,4+,1,Yes,11,Females,23.2,47481.03,10.76808554,High food availability,21,27,24063.4
1551,837,1999,FL,22/11/1999,1,29,2569,OFL,15.4,02/09/2003,65,0.8327,1.1673,0.521046796,1999,11,2003,0,3,4,4+,1,Yes,4,Males,25.5,55862.57,10.93064985,High food availability,15,,41763.835
1427,727,1999,FL,30/04/1999,1,27,337,FL,14.5,28/09/2013,90,0.8327,1.1673,0.672633602,1999,4,2013,0,3,14,4+,1,Yes,14,Males,25.4,59653.47,10.9963076,High food availability,15,,14840.38
1568,864,1999,FL,05/12/1999,0,29,2577,FL,13.8,07/12/1999,130,1.1102,0.8898,0.748703725,1999,12,1999,0,3,0,0,0,No,0,Females,23.8,10561.43,9.264963965,High food availability,15,,32934.535
1558,853,1999,FL,02/12/1999,0,29,2564,FL,13.8,03/03/2009,51,0.9714,1.0286,0.801228099,1999,12,2009,0,3,10,4+,1,Yes,10,Females,24,73512.94,11.20521672,High food availability,15,,22021.24
1434,731,1999,FL,01/05/1999,0,27,332,FL,13.6,26/09/1999,73,1.1796,0.8204,0.816070618,1999,5,1999,0,3,0,0,0,No,0,Females,23.2,72279.06,11.18828974,High food availability,15,,22111.77
1554,845,1999,FL,01/12/1999,1,29,2565,OFL,15.2,07/12/1999,53,0.902,1.098,0.974318505,1999,12,1999,0,3,0,0,0,No,0,Males,26.6,19802.33,9.893554887,High food availability,15,,24210.09
1550,835,1999,FL,22/11/1999,0,29,2559,FL,14.8,03/08/2005,37,0.7633,1.2367,0.979766317,1999,11,2005,0,3,6,4+,1,Yes,6,Females,24.4,14054.61,9.550705735,High food availability,15,,15811.355
1421,720,1999,FL,17/04/1999,0,27,322,FL,12.6,13/08/2000,22,0.902,1.098,0.983681927,1999,4,2000,0,3,1,1,1,Yes,1,Females,23.8,25018,10.12735084,High food availability,15,,22254.205
1540,838,1999,FL,22/11/1999,1,29,2570,FL,14.3,02/09/2003,67,0.8327,1.1673,1.021261433,1999,11,2003,0,3,4,4+,1,Yes,4,Males,26.2,97020.28,11.48267531,High food availability,15,,22048.23
1560,855,1999,FL,02/12/1999,0,29,2556,FL,14.1,13/08/2000,13,0.902,1.098,1.045202971,1999,12,2000,0,3,1,1,1,Yes,1,Females,24,19055.23,9.855096884,High food availability,15,,23212.25
1557,852,1999,FL,02/12/1999,1,29,2562,FL,13.6,14/01/2004,47,1.0408,0.9592,1.048364521,1999,12,2004,0,3,5,4+,1,Yes,5,Males,25.3,58799.79,10.98189356,High food availability,15,,24063.4
1563,859,1999,SA,03/12/1999,0,29,2572,U,14.1,03/03/2009,84,0.7633,1.2367,1.094053603,1999,12,2009,0,9,10,4+,1,Yes,10,Females,23.5,8776.32,9.079812464,High food availability,15,,23690.51
1538,833,1999,FL,21/11/1999,0,29,2566,OFL,14.9,21/02/2008,55,0.8327,1.1673,1.113480476,1999,11,2008,0,3,9,4+,1,Yes,9,Females,25.3,62317.88,11.04000366,High food availability,15,,12446.96
1541,839,1999,FL,22/11/1999,0,29,2566,FL,12.1,11/12/2005,55,1.0408,0.9592,1.132986637,1999,11,2005,0,3,6,4+,1,Yes,6,Females,24.5,62317.88,11.04000366,High food availability,15,,12446.96
1566,862,1999,FL,04/12/1999,1,29,2574,FL,15.4,07/09/2008,112,0.6245,1.3755,1.144631378,1999,12,2008,0,3,9,4+,1,Yes,9,Males,25.5,28872.07,10.27062997,High food availability,15,,20145.88
1562,858,1999,FL,03/12/1999,0,29,2573,FL,14.2,07/12/1999,86,0.7633,1.2367,1.153344718,1999,12,1999,0,3,0,0,0,No,0,Females,24.3,28840.41,10.26953281,High food availability,15,,7239.03
1555,850,1999,FL,02/12/1999,0,29,2561,OFL,12.7,26/07/2001,42,0.902,1.098,1.173483639,1999,12,2001,0,3,2,2,1,Yes,2,Females,24,22754.15,10.03250283,High food availability,15,,22051.43
1543,849,1999,SA,02/12/1999,1,29,2561,U,14.9,18/09/2009,42,0.7633,1.2367,1.180663794,1999,12,2009,0,9,10,4+,1,Yes,10,Males,25.3,22754.15,10.03250283,High food availability,15,,22051.43
1565,861,1999,FL,03/12/1999,1,29,2560,OFL,14.9,07/12/1999,38,0.902,1.098,1.240290135,1999,12,1999,0,3,0,0,0,No,0,Males,24.8,31160.32,10.34690077,High food availability,15,,16200.95
1564,860,1999,FL,03/12/1999,1,29,2575,FL,13.6,02/10/2002,115,0.6245,1.3755,1.267624458,1999,12,2002,0,3,3,3,1,Yes,3,Males,24.2,33553.22,10.42088811,High food availability,15,,61703.5
1553,844,1999,FL,01/12/1999,1,29,2562,FL,14.8,19/03/2010,47,0.8327,1.1673,1.282173251,1999,12,2010,0,3,11,4+,1,Yes,11,Males,26.1,58799.79,10.98189356,High food availability,15,,24063.4
1549,831,1999,FL,21/11/1999,1,29,2568,FL,10.4,02/10/2002,63,1.1102,0.8898,1.345864048,1999,11,2002,0,3,3,3,1,Yes,3,Males,26.3,52311.05,10.86496291,High food availability,15,,20268.53
1561,856,1999,FL,02/12/1999,0,29,2563,FL,13.1,12/01/2005,49,0.7633,1.2367,1.37935665,1999,12,2005,0,3,6,4+,1,Yes,6,Females,23.5,63645.65,11.06108626,High food availability,15,,33831.12
