BirdID,BloodID,LayYear,Ageclass,CatchDate,SexEstimate,FieldPeriodID,BreedGroupID,LastOfStatus,BodyMass,DeathDate,MumHz,MumHomo,DadHz,DadHomo,TerritoryID,RTL,Hz,Homozygosity,CatchYear,CatchMonth,DeathYear,Age,Agemonths,RemainingLife,RemainingLifeFig,SurvivedNext,SurvivedNextFig,Lifespan,Sex,Tarsus,TQcorrected,LogTQ,SpaceTQ,Food,LayYearFood,MeanAdultFood,PropCovered
3024,2809,2004,A,14/11/2005,1,54,6319,ABX,15,29/01/2007,0.8327,1.1673,0.6939,1.3061,7,,1.249,0.751,2005,11,2007,1,12,2,2,1,Yes,3,Males,25.4,14812.545,9.603229736,16502.03,14,#N/A,14,1
4890,3928,2006,A,01/02/2008,1,85,4330,ABX,16.2,04/10/2014,0.5551,1.4449,0.7633,1.2367,24,,0.9714,1.0286,2008,2,2014,2,24,6,4+,1,Yes,8,Males,25.1,1219.76,7.106409397,14415.37,11.5,13,1.25,1
1509,79,1999,A,22/06/2003,1,30,449,BrM,16.8,10/09/2010,0.6245,1.3755,1.0408,0.9592,7,,0.6939,1.3061,2003,6,2010,4,24,7,4+,1,Yes,11,Males,26.1,16811.15,9.729797636,16502.03,19.5,20,19.5,0.25
1543,496,1999,A,13/07/2005,1,37,676,BrM,15.5,18/09/2009,0.7633,1.2367,0.902,1.098,42,,0.7633,1.2367,2005,7,2009,6,24,4,4+,1,Yes,10,Males,25.1,14768.705,9.600265694,22051.43,14,20,14.16666667,0.5
1543,2853,1999,A,20/11/2005,1,54,6337,BrM,16,18/09/2009,0.7633,1.2367,0.902,1.098,42,,0.7633,1.2367,2005,11,2009,6,24,4,4+,1,Yes,10,Males,25.7,14768.705,9.600265694,22051.43,14,20,14.16666667,0.5
837,2595,1994,A,15/01/1998,1,23,120,BrM,17.1,29/01/1999,0.8327,1.1673,1.1796,0.8204,3,,0.8327,1.1673,1998,1,1999,4,24,1,1,1,Yes,5,Males,26,35719.06,10.48343972,24501.73,20,#N/A,22.33333333,0.75
1357,2689,1997,A,09/08/1998,1,25,240,ABX,16.8,26/07/2001,0.8327,1.1673,1.1102,0.8898,81,,1.1102,0.8898,1998,8,2001,1,12,3,3,1,Yes,4,Males,26.2,47569.6,10.76994918,14279.07,20,26,2,1
1187,672,1996,A,03/09/2005,1,37,650,BrM,16.2,10/09/2010,0.8327,1.1673,1.1102,0.8898,5,,1.0408,0.9592,2005,9,2010,9,24,5,4+,1,Yes,14,Males,26.8,37865.2,10.54178776,31606.99,14,#N/A,16.9,0.666666667
1187,3091,1996,A,02/07/2006,1,75,3764,BrM,16.5,10/09/2010,0.8327,1.1673,1.1102,0.8898,5,,1.0408,0.9592,2006,7,2010,10,24,4,4+,1,Yes,14,Males,26.4,39476.31,10.58345602,31606.99,13,#N/A,15.92857143,0.7
1510,3975,1999,A,18/07/2008,0,87,4512,BrF,13.5,03/03/2009,0.8327,1.1673,0.8327,1.1673,24,,0.5551,1.4449,2008,7,2009,9,24,1,1,1,Yes,10,Females,24,1219.76,7.106409397,14415.37,11.5,20,12.66666667,0.666666667
2963,3880,2003,A,14/01/2008,0,85,4378,H,16.7,10/09/2010,0.8327,1.1673,0.9714,1.0286,86,,1.0408,0.9592,2008,1,2010,5,24,2,2,1,Yes,7,Females,24.5,3693.02,8.21419983,7239.03,11.5,#N/A,12,1
3615,3887,2005,A,17/01/2008,1,85,4337,BrM,16.5,18/09/2009,0.8327,1.1673,0.8327,1.1673,33,,1.1102,0.8898,2008,1,2009,3,24,1,1,1,Yes,4,Males,26.6,14725.45,9.597332568,17046.12,11.5,9,11,1
4938,4055,2006,A,20/01/2009,0,90,4178,BrF,14.8,03/03/2009,0.8327,1.1673,0.6939,1.3061,474,,1.3878,0.6122,2009,1,2009,3,24,0,0,0,No,3,Females,25,7734.51,8.953447413,7714.22,17,13,12.5,1
5269,4291,2008,A,28/06/2009,1,92,4786,BrM,15.2,10/09/2010,0.8327,1.1673,1.1796,0.8204,135,,1.249,0.751,2009,6,2010,1,12,1,1,1,Yes,2,Males,25.2,27495.28,10.22176963,11446.08,17,11.5,17,1
5267,4280,2007,A,22/06/2009,0,92,4697,BrF,14.9,04/10/2014,0.902,1.098,0.7633,1.2367,2,,1.1102,0.8898,2009,6,2014,2,24,5,4+,1,Yes,7,Females,24.4,17690.97,9.780809619,19713.79,17,13,14.25,1
5268,4021,2007,A,09/01/2009,0,90,4173,BrF,14.5,10/09/2010,0.902,1.098,0.9714,1.0286,179,,0.6245,1.3755,2009,1,2010,2,24,1,1,1,Yes,3,Females,24,8656.62,9.066079625,8656.62,17,13,14.25,1
1425,1027,1999,A,30/07/2002,1,41,849,BrM,17.4,02/10/2002,0.9714,1.0286,0.902,1.098,157,,1.1102,0.8898,2002,7,2002,3,24,0,0,0,No,3,Males,25.6,15098.25,9.622334122,15098.25,,20,,0
