bird_id,mass,tarsus,Sex,Age
Bird-0474,19.95,21.2,Female,1+
Bird-0475,23.82,21.2,Male,1+
Bird-0471,22.19,20.6,Female,1+
Bird-0476,20.87,21.9,Male,1+
Bird-0087,19.32,20.9,Female,2+
Bird-0088,19.95,21.4,Male,2
Bird-0411,19.67,21.5,Male,1+
Bird-0265,22.52,21.4,Male,3+
Bird-0446,22.3,22.4,Male,1
Bird-0477,19.77,21.1,Male,1+
Bird-0475,22.83,21.2,Male,1+
Bird-0478,22.02,21.5,Male,1+
Bird-0340,21.95,22,Female,4+
Bird-0338,,22.6,Male,4+
Bird-0479,21.63,22.2,,1+
Bird-0480,19.96,21.2,,1+
Bird-0485,18.28,20.4,,13-14 days
Bird-0486,17.61,20.1,,13-14 days
Bird-0487,21.14,21.4,Male,1+
Bird-0488,19.16,21.6,Male,1+
Bird-0489,21.65,21.5,,1+
Bird-0490,21.79,21.5,Male,1+
Bird-0491,18.6,20.8,Female,1+
Bird-0492,21.19,20.5,Unknown,1+
Bird-0402,21.72,21.9,Male,2+
Bird-0493,19.36,19.9,,1+
Bird-0409,20.31,21.2,Male,2+
Bird-0088,21.3,21.5,Male,2
Bird-0411,20.64,21.5,Male,1+
Bird-0501,21.33,21.6,Female,1+
Bird-0502,21.19,23.5,,1+
Bird-0503,20,21.1,,1+
Bird-0504,21.35,21.6,,0
Bird-0430,,,Female,
Bird-0505,17.23,19.85,Female,1+
Bird-0506,20.82,21.9,Male,1+
Bird-0507,19.84,21,Female,1+
Bird-0367,20.1,20.4,Female,4+
Bird-0256,19.28,21,Male,3+
Bird-0105,21.39,22.1,Male,2
Bird-0334,19.14,20.85,Male,4+
Bird-0125,23.25,20.5,Female,2+
Bird-0474,19.22,20.9,Female,1+
Bird-0319,20.31,21.3,Male,4+
Bird-0478,21.65,21.5,Male,1+
Bird-0446,21.53,22.35,Male,1
Bird-0296,19.8,20.6,Female,3+
Bird-0208,19.35,21.65,Male,1
Bird-0508,20.95,21.75,Female,1+
Bird-0509,20.04,22.1,Unknown,0
Bird-0510,21.21,21.5,Unknown,
Bird-0021,19.43,20.55,Female,
Bird-0040,20.98,20,Male,4
Bird-0408,21.26,21.1,Male,3+
Bird-0511,19.88,21.5,Female,1+
Bird-0265,20.34,20.95,Male,
Bird-0446,22.11,22.3,Male,2
Bird-0512,20.35,22.15,Male,fledgling
Bird-0298,18.19,21.4,Female,4+
Bird-0643,17.45,21.9,,0
Bird-0644,17.06,19.5,,0
Bird-0645,21.42,21.6,Male,1+
Bird-0646,17.14,21.2,,0
Bird-0290,19.85,21.35,Female,4+
Bird-0539,19.84,21.3,Male,0
Bird-0647,20.94,21.6,Male,1+
Bird-0648,22.45,20.5,Male,1+
Bird-0649,22.26,21.4,,1+
Bird-0650,23.03,21.45,,1+
Bird-0651,23.41,21.9,,1+
Bird-0652,20.52,22,,1+
Bird-0653,,21,,1+
Bird-0654,18.24,21,,1+
Bird-0655,20.46,21.9,,1+
Bird-0656,19.24,20.9,,1+
Bird-0653,21.06,21.2,,1+
Bird-0657,23.63,20.45,,1+
Bird-0656,19.51,20,,1+
Bird-0658,21,21.2,,1+
Bird-0659,20.38,20.9,,1+
Bird-0654,21.31,20.2,,1+
Bird-0660,22.35,21.2,,1+
Bird-0649,21.1,20,,1+
Bird-0661,21.9,21.3,,1+
Bird-0662,20.63,20.9,,1+
Bird-0651,22.64,21.1,,1+
Bird-0650,21.33,21.2,,1+
Bird-0652,21.51,21.9,,1+
Bird-0663,19.57,21.4,,1+
Bird-0664,21.57,21.1,Male,1+
Bird-0665,21.62,20.5,,1+
Bird-0653,19.87,20.3,,1+
Bird-0666,20,20.8,,1+
Bird-0267,23,22,Male,4+
Bird-0125,21.52,20.4,Female,3+
Bird-0667,19.36,21.1,,1+
Bird-0668,18.76,19.5,,1+
Bird-0669,21.13,21.6,,1+
Bird-0670,21.36,22.5,,1+
Bird-0671,22.27,21.6,,1+
Bird-0672,21.17,21.5,,1+
Bird-0673,20.76,21.5,Male,1+
Bird-0674,20.32,21.2,,1+
Bird-0675,23.25,20.6,Male,1+
Bird-0676,21.93,21.75,,1+
Bird-0677,23.14,22.1,Female,1+
Bird-0678,20.69,21.9,,1+
Bird-0679,20.06,21.1,,1+
Bird-0680,22.28,21.6,,1+
Bird-0681,20.66,20.85,,1+
Bird-0534,18.45,18.3,Male,1
Bird-0682,21.24,21.5,Male,1+
Bird-0683,20.99,20.1,Female,1+
Bird-0684,21.36,20.8,Male,1+
Bird-0685,19.84,20.8,Male,1+
Bird-0288,21.87,21.3,Male,5+
Bird-0686,20.29,21,,1+
Bird-0687,19.99,21,,1+
Bird-0688,21.8,21.2,Male,1+
Bird-0689,20.64,21,,1+
Bird-0690,19.95,20.3,Male,1+
Bird-0470,22.02,21.1,Male,2+
Bird-0476,21.33,22.2,Male,2+
