Age,bird_id,chick_id,mass,NestID,tarsus,Sex
8,-166,c86.3,16.16,86,20,Female
1,-176,c89.1,2.48,89,6.5,Female
1,-177,c89.2,2.18,89,6,Female
1,-178,c89.3,1.82,89,5.5,Female
3,-169,c81.1,5.06,81,10,Male
3,-170,c81.2,3.49,81,9,Female
3,-171,c81.3,4.71,81,9.5,Female
3,-172,c81.4,5.17,81,10.5,Female
9,-173,c94.1,17.8,94,20.1,Female
9,-174,c94.2,18.28,94,20.5,Male
9,-175,c94.3,18.38,94,20.1,Male
9,-164,c86.1,16.21,86,20.2,Male
9,-165,c86.2,17.47,86,20.2,Female
9,-166,c86.3,17.31,86,20.4,Female
1,-179,c88.1,2.63,88,7,Female
1,-180,c88.2,1.95,88,6,Female
1,-181,c88.3,2.85,88,7.5,Male
1,-182,c88.4,2.53,88,7,Male
10,-164,c86.1,16.44,86,20.4,Male
10,-165,c86.2,17.7,86,20.3,Female
10,-166,c86.3,17.86,86,20.4,Female
3,-176,c89.1,5.15,89,9.5,Female
3,-177,c89.2,4.89,89,9.5,Female
3,-178,c89.3,3.64,89,9,Female
5,-169,c81.1,7.91,81,14,Male
5,-170,c81.2,5.05,81,11.5,Female
5,-171,c81.3,7.84,81,14.5,Female
5,-172,c81.4,9.28,81,14.5,Female
1,-183,c83.1,2.8,83,7,Female
1,-184,c83.2,1.58,83,5.5,Female
7,-169,c81.1,12.99,81,18.2,Male
8,-169,c81.1,14.35,81,20.1,Male
7,-170,c81.2,8.27,81,15.4,Female
8,-170,c81.2,9.98,81,16.8,Female
7,-171,c81.3,11.24,81,17.5,Female
8,-171,c81.3,12.6,81,18.6,Female
7,-172,c81.4,14.19,81,18.5,Female
8,-172,c81.4,14.81,81,19.1,Female
1,-185,c91.1,2,91,6,Female
1,-186,c91.2,1.79,91,5.5,Male
1,-187,c91.3,2.15,91,6,Male
1,-188,c92.1,2.35,92,6.5,Male
1,-189,c92.2,2.23,92,6.5,Male
1,-190,c92.3,2.47,92,6.5,Male
3,-179,c88.1,5.51,88,10.5,Female
5,-179,c88.1,11.17,88,15,Female
3,-180,c88.2,4.4,88,9,Female
5,-180,c88.2,9.31,88,14,Female
3,-181,c88.3,6.16,88,11,Male
5,-181,c88.3,12.38,88,15.5,Male
1,-191,c87.1,2.39,87,6.5,Female
3,-191,c87.1,4.58,87,10,Female
1,-192,c87.2,2.33,87,6.5,Male
3,-192,c87.2,4.62,87,10,Male
1,-193,c87.3,3.42,87,7.5,Female
3,-193,c87.3,7.46,87,12,Female
3,-183,c83.1,5.46,83,10.5,Female
3,-184,c83.2,1.87,83,6,Female
5,-176,c89.1,9.61,89,14.5,Female
5,-177,c89.2,9.78,89,14.5,Female
5,-178,c89.3,7.4,89,12.5,Female
9,-169,c81.1,15.64,81,20.3,Male
9,-170,c81.2,11.65,81,18.5,Female
9,-171,c81.3,14.16,81,20.1,Female
9,-172,c81.4,15.41,81,19.2,Female
7,-176,c89.1,13.42,89,17.6,Female
7,-177,c89.2,14.38,89,17.5,Female
7,-178,c89.3,11.1,89,16.2,Female
5,-183,c83.1,9.89,83,14.5,Female
3,-194,c92.4,3.97,92,8.5,Male
3,-188,c92.1,6.9,92,11.5,Male
3,-189,c92.2,6.48,92,11,Male
3,-190,c92.3,7.44,92,12,Male
3,-185,c91.1,6.67,91,11,Female
3,-186,c91.2,5.84,91,10.5,Male
3,-187,c91.3,4.8,91,9.5,Male
5,-191,c87.1,11.1,87,15,Female
5,-192,c87.2,11.18,87,15,Male
5,-193,c87.3,13.7,87,17.9,Female
10,-169,c81.1,17.74,81,20.8,Male
10,-170,c81.2,14.84,81,19.9,Female
10,-171,c81.3,16.92,81,20.8,Female
10,-172,c81.4,16.41,81,20.5,Female
7,-179,c88.1,16.93,88,19.8,Female
8,-179,c88.1,16.2,88,20,Female
7,-180,c88.2,14.3,88,18.6,Female
8,-180,c88.2,15.7,88,18.3,Female
7,-181,c88.3,18.53,88,19.8,Male
8,-181,c88.3,19.04,88,20.1,Male
7,-183,c83.1,14.91,83,18.3,Female
8,-176,c89.1,14.64,89,19.1,Female
9,-176,c89.1,13.81,89,19.5,Female
8,-177,c89.2,17.55,89,19,Female
9,-177,c89.2,17.41,89,20.4,Female
8,-178,c89.3,14.42,89,18.5,Female
9,-178,c89.3,13.84,89,18.7,Female
9,-179,c88.1,17.58,88,21.1,Female
10,-179,c88.1,19.06,88,21.6,Female
9,-180,c88.2,16.61,88,20,Female
10,-180,c88.2,19.11,88,20.8,Female
9,-181,c88.3,19.65,88,21.1,Male
10,-181,c88.3,20.33,88,21.5,Male
5,-185,c91.1,9.4,91,15,Female
7,-185,c91.1,12.88,91,18.2,Female
5,-187,c91.3,8.8,91,13,Male
7,-187,c91.3,14.12,91,17.1,Male
5,-188,c92.1,9.92,92,15.5,Male
7,-188,c92.1,14.92,92,18.6,Male
5,-189,c92.2,10.23,92,15.5,Male
7,-189,c92.2,16.82,92,19.9,Male
5,-190,c92.3,11.75,92,15.5,Male
7,-190,c92.3,18.23,92,19.6,Male
5,-194,c92.4,6.12,92,11.5,Male
7,-191,c87.1,13.37,87,17.5,Female
8,-191,c87.1,16.2,87,18.5,Female
9,-191,c87.1,,87,19.6,Female
7,-192,c87.2,13.69,87,17.8,Male
8,-192,c87.2,14.76,87,19.3,Male
9,-192,c87.2,,87,20.2,Male
7,-193,c87.3,16.12,87,20.2,Female
8,-193,c87.3,17.51,87,20.2,Female
9,-193,c87.3,,87,20.6,Female
8,-185,c91.1,14.19,91,19.5,Female
8,-187,c91.3,15.92,91,19.2,Male
8,-188,c92.1,17.05,92,19.2,Male
8,-189,c92.2,18.94,92,21.1,Male
8,-190,c92.3,19.78,92,21,Male
1,-195,c90.1,2.47,90,6.5,Male
3,-195,c90.1,4.8,90,9,Male
8,-183,c83.1,16.44,83,19.5,Female
9,-183,c83.1,17.95,83,20,Female
10,-183,c83.1,18.43,83,20.3,Female
9,-188,c92.1,15.68,92,19.9,Male
10,-188,c92.1,15.63,92,20.3,Male
9,-189,c92.2,17.21,92,21.3,Male
10,-189,c92.2,16.58,92,21.5,Male
9,-190,c92.3,17.99,92,21.1,Male
10,-190,c92.3,18.21,92,21.5,Male
5,-195,c90.1,7.88,90,11,Male
7,-195,c90.1,7.72,90,13.5,Male
1,-199,c102.2,2.06,102,6,Male
3,-199,c102.2,5.81,102,10,Male
5,-199,c102.2,8.68,102,14,Male
1,-198,c102.1,2.31,102,6,Male
3,-198,c102.1,6.88,102,10.5,Male
5,-198,c102.1,10.33,102,14.5,Male
1,-200,c93.1,2.41,93,6,Male
1,-201,c93.2,2.18,93,6.5,Female
1,-202,c93.3,2.06,93,6,Male
1,-204,c96.1,2.87,96,6.5,Female
3,-204,c96.1,4.23,96,8.5,Female
8,-195,c90.1,9.92,90,15,Male
9,-195,c90.1,14.57,90,16.6,Male
10,-195,c90.1,15.2,90,18.1,Male
?,-205,c106.1,15.6,106,19.3,Male
?,-206,c106.2,12.93,106,16.5,Female
1,-207,c103.1,2.07,103,6,Male
1,-208,c103.2,2.02,103,6,Male
1,-209,c98.1,2.81,98,6.5,Male
1,-210,c98.2,2.96,98,7,Male
1,-211,c98.3,2.74,98,6.5,Male
3,-212,c107.1,3.9,107,9.5,Female
3,-213,c107.2,4.42,107,9.5,Female
5,-204,c96.1,7.84,96,13.5,Female
7,-198,c102.1,14.52,102,19.5,Male
7,-199,c102.2,13.5,102,17.5,Male
8,-198,c102.1,15.64,102,19.6,Male
8,-199,c102.2,14.81,102,18.7,Male
3,-207,c103.1,4.67,103,9.5,Male
3,-208,c103.2,4.32,103,8.5,Male
3,-215,c103.3,2.83,103,7,Female
3,-209,c98.1,5.25,98,10.5,Male
3,-210,c98.2,5.17,98,10.5,Male
3,-211,c98.3,4.75,98,10,Male
7,-204,c96.1,12.54,96,17.1,Female
9,-198,c102.1,18.3,102,20.6,Male
10,-198,c102.1,17.01,102,20.6,Male
9,-199,c102.2,18.51,102,20.1,Male
10,-199,c102.2,17.08,102,20.6,Male
5,-207,c103.1,9.13,103,13.5,Male
7,-207,c103.1,12.6,103,17.5,Male
5,-208,c103.2,8.91,103,13.5,Male
7,-208,c103.2,13.02,103,17,Male
5,-215,c103.3,5.17,103,10,Female
7,-215,c103.3,7.39,103,13,Female
5,-209,c98.1,9.23,98,13.5,Male
7,-209,c98.1,12.98,98,18,Male
5,-210,c98.2,8.67,98,13.5,Male
7,-210,c98.2,13.11,98,18,Male
5,-211,c98.3,6.87,98,13,Male
7,-211,c98.3,9.24,98,17,Male
1,-220,c101.1,2.29,101,6,Female
3,-220,c101.1,3.9,101,8,Female
1,-221,c101.2,2.66,101,6.5,Female
3,-221,c101.2,5.03,101,9,Female
1,-222,c101.3,2.22,101,5.5,Female
3,-222,c101.3,4.15,101,8,Female
1,-223,c104.1,2.57,104,7,Female
3,-223,c104.1,5.63,104,11,Female
1,-224,c104.2,2.57,104,7,Male
3,-224,c104.2,3.31,104,8.5,Male
8,-209,c98.1,14.34,98,19.2,Male
9,-209,c98.1,14.8,98,20.1,Male
8,-210,c98.2,14.21,98,20.1,Male
9,-210,c98.2,14.8,98,20.6,Male
8,-211,c98.3,10.56,98,18.5,Male
9,-211,c98.3,9.14,98,18.5,Male
8,-207,c103.1,14.68,103,19.2,Male
9,-207,c103.1,14.27,103,19.5,Male
8,-208,c103.2,15.7,103,19.5,Male
9,-208,c103.2,16.16,103,20.4,Male
8,-215,c103.3,9.01,103,15,Female
9,-215,c103.3,10.15,103,16.2,Female
5,-220,c101.1,3.76,101,9.5,Female
5,-221,c101.2,7.69,101,13.5,Female
5,-222,c101.3,6.1,101,11.5,Female
5,-223,c104.1,8.6,104,16,Female
5,-224,c104.2,4.36,104,11,Male
10,-207,c103.1,16.07,103,20.8,Male
10,-208,c103.2,17.48,103,21.3,Male
10,-215,c103.3,12.03,103,17.8,Female
10,-210,c98.2,16.42,98,21.2,Male
10,-211,c98.3,9.52,98,18.7,Male
7,-221,c101.2,10.55,101,16.9,Female
8,-221,c101.2,12.25,101,18.1,Female
7,-222,c101.3,7.2,101,14.5,Female
8,-222,c101.3,7.89,101,15,Female
7,-223,c104.1,11.35,104,19.3,Female
3,-160,c82.1,5.92,82,11,Male
3,-161,c82.2,8,82,12.5,Female
3,-162,c82.3,7.8,82,12.5,Male
10,-176,c89.1,13.35,89,19.5,Female
10,-177,c89.2,16.87,89,20.1,Female
10,-178,c89.3,14.57,89,19.8,Female
0,-76,c40.1,1.9,40,5.5,Female
8,-76,c40.1,15.81,40,19.9,Female
9,-76,c40.1,15.52,40,19.5,Female
10,-76,c40.1,17.38,40,20.2,Female
0,-77,c40.2,1.88,40,6,Male
8,-77,c40.2,16.19,40,19.6,Male
9,-77,c40.2,18.36,40,19.9,Male
10,-77,c40.2,17.09,40,20.7,Male
0,-78,c40.3,1.86,40,5.5,Female
8,-78,c40.3,17.75,40,20.4,Female
9,-78,c40.3,17.39,40,21,Female
10,-78,c40.3,18.85,40,21.4,Female
2,-79,c44.1,3.56,44,7.5,Female
2,-80,c44.2,2.91,44,7.5,Female
1,-229,c109.1,2.54,,6.5,Male
3,-229,c109.1,5.95,,11,Male
1,-230,c109.2,2.3,,6.5,Male
3,-230,c109.2,5.31,,9,Male
1,-231,c109.3,3.61,,7,Female
3,-231,c109.3,8.37,,12.5,Female
1,-232,c109.4,2.6,,7,Male
3,-232,c109.4,6.04,,10.5,Male
5,-230,c109.2,7.46,,11,Male
5,-231,c109.3,10.34,,14.5,Female
5,-232,c109.4,6.86,,11.5,Male
1,-233,c115.1,3.18,,7,Male
1,-234,c115.2,3.28,,6.5,Female
3,-233,c115.1,5.12,,10,Male
4,-233,c115.1,6.69,,11.5,Male
5,-233,c115.1,8.01,,13.5,Male
6,-233,c115.1,9.67,,14.5,Male
3,-234,c115.2,5.35,,10.5,Female
4,-234,c115.2,7.04,,12,Female
5,-234,c115.2,8.15,,14,Female
6,-234,c115.2,10.6,,15,Female
1,-235,c118.1,2.69,,6.5,Male
1,-236,c118.2,2.02,,5.5,Male
1,-237,c118.3,2.61,,6,Female
7,-233,c115.1,13.03,,18,Male
7,-234,c115.2,14.1,,18.5,Female
8,-233,c115.1,14.66,,19.4,Male
8,-234,c115.2,16.25,,19.5,Female
1,-238,c113.1,2.53,,6,Male
1,-239,c113.2,2.35,,6,Unknown
9,-233,c115.1,14.79,,19.9,Male
9,-234,c115.2,16.92,,20,Female
3,-235,c118.1,4.73,,9,Male
3,-236,c118.2,3.52,,8,Male
3,-237,c118.3,4.07,,8.5,Female
1,-240,c126.1,2.6,,6,Female
1,-241,c126.2,2.6,,6.5,Female
1,-242,c126.3,2.66,,6.5,Male
4,-235,c118.1,8.58,,12.5,Male
5,-235,c118.1,9.03,,14,Male
4,-236,c118.2,6.4,,11,Male
5,-236,c118.2,6.98,,12,Male
4,-237,c118.3,7.55,,11,Female
5,-237,c118.3,8.18,,13,Female
3,-240,c126.1,5.6,,11,Female
3,-241,c126.2,5.52,,11,Female
3,-238,c113.1,5.09,,9.5,Male
4,-238,c113.1,6.44,,11,Male
3,-239,c113.2,3.94,,8.5,Unknown
4,-239,c113.2,4.98,,10,Unknown
10,-233,c115.1,17.6,,21.3,Male
10,-234,c115.2,20.17,,21.3,Female
1,-245,c122.1,3.02,,6.5,Female
1,-246,c122.2,2.5,,6,Female
5,-238,c113.1,8.27,,12,Male
5,-239,c113.2,6.23,,11,Unknown
4,-240,c126.1,7.73,,13,Female
6,-235,c118.1,11.96,,16.6,Male
6,-236,c118.2,8.93,,14.5,Male
6,-237,c118.3,10.42,,15.6,Female
7,-235,c118.1,14.13,,18.3,Male
7,-236,c118.2,11.31,,16.7,Male
7,-237,c118.3,12.26,,17.5,Female
5,-240,c126.1,9.02,,14.5,Female
6,-238,c113.1,10.19,,15,Male
6,-239,c113.2,8.45,,13,Unknown
3,-245,c122.1,5.95,,11,Female
3,-246,c122.2,4.88,,10.5,Female
7,-238,c113.1,11.11,,16.2,Male
7,-239,c113.2,9.7,,14.5,Unknown
4,-245,c122.1,7.98,,13,Female
4,-246,c122.2,6.77,,11.5,Female
8,-235,c118.1,14.72,,19,Male
8,-236,c118.2,13.17,,17.9,Male
8,-237,c118.3,14.65,,18.5,Female
8,-238,c113.1,13.96,,18.4,Male
8,-239,c113.2,12.26,,16.75,Unknown
5,-245,c122.1,10.68,,15.5,Female
5,-246,c122.2,9.54,,14.5,Female
9,-235,c118.1,16.77,,20.5,Male
9,-236,c118.2,15.38,,19.6,Male
9,-237,c118.3,16.05,,20.3,Female
10,-235,c118.1,17.06,,21.1,Male
10,-236,c118.2,16.31,,21,Male
10,-237,c118.3,16.64,,21,Female
6,-245,c122.1,13.4,,17.5,Female
6,-246,c122.2,12.08,,17,Female
9,-238,c113.1,16.22,,19.6,Male
9,-239,c113.2,14.2,,18.3,Unknown
?,-247,c132.1,5.4,,10.5,Unknown
?,-248,c132.2,3.4,,9,Male
?,-249,c132.3,3.87,,9.5,Female
?,-250,c132.4,6.56,,12,Male
10,-238,c113.1,17.21,,19.8,Male
10,-239,c113.2,15.86,,19,Unknown
1,-251,c119.1,1.73,,6,Female
1,-375,c121.1,3.63,,7,Female
1,-376,c121.2,2.89,,6.5,Male
1,-377,c121.3,2.23,,6,Female
1,-378,c121.4,3.06,,7,Male
1,-252,c125.1,2.44,,5.5,Male
3,-252,c125.1,5,,9,Male
4,-252,c125.1,6.64,,11,Male
1,-379,c125.2,1.28,,4.5,Unknown
3,-251,c119.1,3.81,,8.5,Female
4,-251,c119.1,4.68,,11,Female
5,-251,c119.1,6.92,,11,Female
5,-252,c125.1,9.81,,13.5,Male
6,-252,c125.1,12.11,,15.5,Male
1,-383,c129.1,2.19,,6,Male
7,-252,c125.1,14.67,,17.8,Male
3,-383,c129.1,4.52,,9.5,Male
3,-384,c129.2,3.15,,7.5,Male
8,-252,c125.1,16.84,,19.2,Male
4,-383,c129.1,6.2,,11,Male
4,-384,c129.2,4.52,,9.5,Male
5,-383,c129.1,8.18,,13,Male
5,-384,c129.2,5.81,,11,Male
9,-252,c125.1,18.98,,20.1,Male
10,-252,c125.1,18.29,,20.6,Male
6,-383,c129.1,8.71,,13,Male
6,-384,c129.2,7.33,,12.5,Male
1,-386,c127.1,2.68,,6.5,Male
1,-387,c127.2,2.55,,6.5,Male
1,-388,c127.3,2.48,,6.5,Male
1,-389,c133.1,2.68,,6.5,Male
1,-390,c133.2,2.07,,6,Female
1,-391,c133.3,2.25,,6,Male
7,-383,c129.1,10.46,,16,Male
8,-383,c129.1,10.34,,16.5,Male
9,-383,c129.1,8.67,,16.7,Male
7,-384,c129.2,10.4,,15.5,Male
8,-384,c129.2,9.84,,16,Male
9,-384,c129.2,9.23,,16,Male
3,-386,c127.1,6.26,,11,Male
4,-386,c127.1,6.98,,12,Male
3,-387,c127.2,5.66,,10,Male
4,-387,c127.2,6.65,,11.5,Male
3,-388,c127.3,4.74,,9.5,Male
4,-388,c127.3,4.62,,10,Male
3,-389,c133.1,4.88,,9,Male
3,-390,c133.2,3.79,,8,Female
3,-391,c133.3,3.93,,8,Male
3,-392,c133.4,2.57,,6.5,Female
5,-386,c127.1,8.8,,14,Male
5,-387,c127.2,8.91,,13.5,Male
5,-388,c127.3,5.7,,11.5,Male
4,-389,c133.1,6.65,,10.5,Male
4,-390,c133.2,5.21,,10,Female
4,-391,c133.3,5.75,,9.5,Male
4,-392,c133.4,3.6,,8,Female
5,-389,c133.1,8.33,,12,Male
5,-390,c133.2,7.58,,12,Female
5,-391,c133.3,7.55,,11,Male
5,-392,c133.4,5.21,,9,Female
6,-386,c127.1,11.57,,15.5,Male
6,-387,c127.2,11.01,,14.5,Male
6,-388,c127.3,7.02,,12.5,Male
7,-386,c127.1,14.18,,16.9,Male
7,-387,c127.2,13.1,,16.7,Male
7,-388,c127.3,9.16,,14.5,Male
6,-389,c133.1,10.14,,14.5,Male
6,-390,c133.2,8.99,,12.5,Female
6,-391,c133.3,7.5,,12,Male
6,-392,c133.4,6.48,,10.5,Female
1,-393,c128.1,2.18,,5.5,Male
1,-394,c128.2,2.19,,6,Male
1,-395,c128.3,1.98,,6,Male
8,-386,c127.1,17.58,,18.9,Male
9,-386,c127.1,19.81,,20.5,Male
10,-386,c127.1,17.89,,20.6,Male
8,-387,c127.2,15.86,,18,Male
9,-387,c127.2,17.99,,19.4,Male
10,-387,c127.2,17.3,,19.4,Male
8,-388,c127.3,12.58,,16.2,Male
9,-388,c127.3,16.62,,18,Male
10,-388,c127.3,16.8,,18.7,Male
7,-389,c133.1,12.67,,16.8,Male
8,-389,c133.1,16.64,,17.8,Male
9,-389,c133.1,15.63,,19.4,Male
7,-390,c133.2,11.64,,16.15,Female
8,-390,c133.2,16.05,,18.4,Female
9,-390,c133.2,14.95,,19.05,Female
7,-391,c133.3,8.83,,14,Male
7,-392,c133.4,8.96,,13,Female
8,-392,c133.4,11.43,,15.4,Female
9,-392,c133.4,10.58,,16.4,Female
1,-396,c135.1,1.92,,6,Male
1,-397,c135.2,1.9,,6,Unknown
3,-393,c128.1,6.08,,10.5,Male
4,-393,c128.1,7.36,,12.5,Male
3,-394,c128.2,4.58,,9.5,Male
4,-394,c128.2,4.67,,11,Male
3,-395,c128.3,4.72,,9.5,Male
4,-395,c128.3,6.15,,10.5,Male
1,-398,c136.1,1.86,,6,Unknown
3,-398,c136.1,3.92,,8.5,Unknown
4,-398,c136.1,4.77,,9.5,Unknown
1,-399,c136.2,1.65,,5.5,Female
3,-399,c136.2,3.04,,7,Female
4,-399,c136.2,3.71,,8.5,Female
1,-400,c136.3,1.97,,5.5,Male
3,-400,c136.3,3.48,,8.5,Male
4,-400,c136.3,3.86,,8.5,Male
5,-398,c136.1,6.25,,10.5,Unknown
5,-399,c136.2,4.55,,10,Female
5,-400,c136.3,5.16,,10.5,Male
5,-393,c128.1,9.72,,14.5,Male
5,-394,c128.2,5,,12.5,Male
5,-395,c128.3,7.37,,13,Male
6,-398,c136.1,10.35,,14,Unknown
6,-399,c136.2,7.69,,12,Female
6,-400,c136.3,8.83,,13.5,Male
6,-393,c128.1,14.7,,17.3,Male
6,-394,c128.2,7.74,,14,Male
6,-395,c128.3,10.31,,15.4,Male
3,-396,c135.1,5.91,,10.5,Male
3,-397,c135.2,5.71,,10.5,Unknown
3,-401,c135.3,5.27,,9.5,Male
7,-398,c136.1,11.33,,16,Unknown
7,-399,c136.2,8.26,,13.5,Female
7,-400,c136.3,9.53,,15,Male
4,-396,c135.1,7.3,,12,Male
4,-397,c135.2,7.31,,12,Unknown
4,-401,c135.3,6.37,,10.5,Male
7,-393,c128.1,15.37,,18.2,Male
7,-394,c128.2,8.37,,15.5,Male
7,-395,c128.3,10.28,,15,Male
8,-398,c136.1,13.86,,17.6,Unknown
8,-399,c136.2,10.88,,15.5,Female
8,-400,c136.3,11.67,,16,Male
5,-396,c135.1,10.03,,14,Male
5,-397,c135.2,9.72,,14,Unknown
5,-401,c135.3,8.99,,12.5,Male
8,-393,c128.1,16.37,,19.4,Male
8,-394,c128.2,10.4,,17.6,Male
8,-395,c128.3,12.84,,17.9,Male
1,-403,c134.1,1.9,,5.5,Male
1,-404,c134.2,2.95,,7,Female
1,-405,c134.3,3.36,,7.5,Male
9,-393,c128.1,15.79,,20,Male
9,-394,c128.2,12.04,,18.5,Male
9,-395,c128.3,14.58,,19.4,Male
6,-396,c135.1,12.98,,16.5,Male
6,-397,c135.2,12.67,,16.5,Unknown
6,-401,c135.3,11.91,,15.5,Male
9,-398,c136.1,15.99,,19.6,Unknown
9,-399,c136.2,12.89,,17.5,Female
9,-400,c136.3,13.26,,18,Male
10,-393,c128.1,15.77,,20.6,Male
10,-394,c128.2,13.31,,19.6,Male
10,-395,c128.3,15.14,,20.3,Male
10,-398,c136.1,17.25,,20.5,Unknown
10,-399,c136.2,14.92,,19,Female
10,-400,c136.3,16.18,,19.1,Male
7,-396,c135.1,16.11,,19.05,Male
7,-397,c135.2,15.1,,18.5,Unknown
7,-401,c135.3,14.57,,18,Male
3,-403,c134.1,4.1,,8.5,Male
3,-404,c134.2,6.35,,10.5,Female
3,-405,c134.3,7.26,,11,Male
8,-396,c135.1,17.44,,20.4,Male
8,-397,c135.2,15.73,,19.6,Unknown
8,-401,c135.3,16.83,,19.6,Male
4,-403,c134.1,5.44,,10.5,Male
4,-404,c134.2,8.49,,13,Female
4,-405,c134.3,9.85,,13.5,Male
9,-396,c135.1,17.48,,21.1,Male
9,-397,c135.2,17.62,,20.8,Unknown
9,-401,c135.3,17.53,,20.6,Male
5,-403,c134.1,6.72,,12,Male
5,-404,c134.2,10.98,,15,Female
5,-405,c134.3,12.36,,16.7,Male
10,-396,c135.1,18.62,,21.9,Male
10,-397,c135.2,18.13,,21.4,Unknown
10,-401,c135.3,18.82,,21.5,Male
6,-403,c134.1,8.02,,14,Male
6,-404,c134.2,12.84,,17,Female
6,-405,c134.3,15.32,,19,Male
1,-406,c141.1,3.43,,6.5,Male
1,-407,c141.2,2.61,,6,Female
7,-403,c134.1,9.65,,15.75,Male
7,-404,c134.2,15.57,,18.7,Female
7,-405,c134.3,17.13,,20.3,Male
8,-403,c134.1,10.83,,17.2,Male
8,-404,c134.2,15.72,,20.4,Female
8,-405,c134.3,18.55,,21.8,Male
3,-406,c141.1,6.61,,11,Male
3,-407,c141.2,5.27,,10,Female
9,-403,c134.1,11.81,,18.3,Male
9,-404,c134.2,17.44,,20.4,Female
9,-405,c134.3,19.17,,23.2,Male
4,-406,c141.1,8.47,,14,Male
4,-407,c141.2,6.73,,12.5,Female
1,-410,c142.1,3.08,,6.5,Female
10,-403,c134.1,15.77,,20,Male
10,-404,c134.2,19,,21.2,Female
10,-405,c134.3,21.74,,23.5,Male
1,-411,c148.1,3.71,,6.5,Male
1,-412,c148.2,3.1,,6.5,Female
3,-410,c142.1,4.75,,9.5,Female
5,-406,c141.1,13.52,,16.8,Male
6,-406,c141.1,14.86,,18,Male
5,-407,c141.2,11.5,,16,Female
6,-407,c141.2,12.58,,17.2,Female
7,-406,c141.1,16.04,,19.7,Male
7,-407,c141.2,13.97,,19,Female
4,-410,c142.1,6.97,,11,Female
1,-415,c143.1,1.54,,6,Unknown
3,-411,c148.1,5.32,,10,Male
3,-412,c148.2,4.56,,9.5,Female
3,-417,c151.1,5.33,,9.5,Male
3,-418,c151.2,5.96,,9.5,Female
3,-419,c151.3,6.15,,10,Female
5,-410,c142.1,9.21,,14.5,Female
8,-406,c141.1,17.39,,20.5,Male
8,-407,c141.2,15.94,,20.1,Female
4,-417,c151.1,6.75,,11.5,Male
4,-418,c151.2,7.31,,12,Female
4,-419,c151.3,7.63,,11.5,Female
4,-411,c148.1,8.04,,12.5,Male
4,-412,c148.2,6.65,,11.5,Female
6,-410,c142.1,11.5,,16.7,Female
5,-417,c151.1,8.65,,14,Male
5,-418,c151.2,9.13,,14,Female
5,-419,c151.3,9.9,,14,Female
5,-411,c148.1,10.16,,15,Male
5,-412,c148.2,9.11,,14.5,Female
9,-406,c141.1,18.13,,21.3,Male
9,-407,c141.2,17.74,,21.3,Female
7,-410,c142.1,13.63,,17.5,Female
6,-417,c151.1,11.62,,16.2,Male
6,-418,c151.2,12.56,,16.5,Female
6,-419,c151.3,12.35,,15.9,Female
6,-411,c148.1,13.31,,17.6,Male
6,-412,c148.2,11.8,,16.5,Female
10,-406,c141.1,18.75,,21.3,Male
10,-407,c141.2,18.68,,21.3,Female
1,-421,c149.1,2.2,,6,Male
1,-422,c149.2,2.21,,5.5,Female
1,-423,c149.3,1.65,,5.5,Female
1,-424,c139.1,2.92,,6,Female
1,-425,c139.2,2.93,,6,Female
1,-426,c139.3,2.32,,5.5,Female
1,-427,c139.4,3.36,,6.5,Female
8,-410,c142.1,15.08,,18.4,Female
7,-417,c151.1,11.74,,16.6,Male
7,-418,c151.2,12.5,,17,Female
7,-419,c151.3,13.2,,17.3,Female
7,-411,c148.1,16.13,,18.6,Male
7,-412,c148.2,14.77,,17.5,Female
9,-410,c142.1,16.41,,19.2,Female
8,-411,c148.1,18.46,,19.2,Male
8,-412,c148.2,16.22,,19,Female
8,-417,c151.1,12.8,,17,Male
8,-418,c151.2,14.27,,17.5,Female
8,-419,c151.3,14.47,,17.8,Female
3,-424,c139.1,5.56,,10,Female
3,-425,c139.2,5.56,,9.5,Female
3,-426,c139.3,4.74,,9,Female
3,-427,c139.4,6.62,,10.5,Female
1,-428,c150.1,3.14,,6.5,Female
1,-429,c150.2,2.96,,6.5,Female
1,-430,c150.3,2.84,,6.5,Female
10,-410,c142.1,17.45,,19.5,Female
4,-424,c139.1,7.35,,12,Female
4,-425,c139.2,7,,11.5,Female
4,-426,c139.3,5.99,,10.5,Female
4,-427,c139.4,8.8,,12.5,Female
9,-411,c148.1,19.42,,20.3,Male
9,-412,c148.2,17.55,,19.8,Female
9,-417,c151.1,13.36,,18.2,Male
9,-418,c151.2,14.65,,18.2,Female
9,-419,c151.3,14.91,,19,Female
10,-417,c151.1,14.66,,18.9,Male
10,-418,c151.2,16.81,,19.7,Female
10,-419,c151.3,17.77,,20.1,Female
10,-411,c148.1,19.83,,21,Male
10,-412,c148.2,18.64,,20.3,Female
5,-424,c139.1,9.63,,14,Female
5,-425,c139.2,9.64,,14.5,Female
5,-426,c139.3,8.48,,14,Female
5,-427,c139.4,11.23,,14.5,Female
3,-428,c150.1,5.91,,10.5,Female
3,-429,c150.2,5.38,,10,Female
3,-430,c150.3,5.08,,10,Female
1,-431,c145.1,2.61,,6.5,Female
1,-432,c145.2,1.98,,5.5,Male
1,-433,c145.3,3.04,,6.5,Female
1,-434,c145.4,1.89,,5,Male
1,-435,c145.5,2.34,,6,Male
6,-424,c139.1,11.04,,17.2,Female
6,-425,c139.2,11.36,,17,Female
