Age,bird_id,chick_id,mass,NestID,tarsus,Sex
1,-49,c37.4,3.88,37,7.5,Male
8,-46,c37.1,16.37,37,20,Male
8,-47,c37.2,16.22,37,19.9,Female
8,-48,c37.3,16.73,37,20.2,Male
7,-49,c37.4,15.54,37,17.6,Male
9,-46,c37.1,17.15,37,21.5,Male
9,-47,c37.2,17.96,37,20.7,Female
9,-48,c37.3,18.5,37,20.3,Male
8,-49,c37.4,17.34,37,20.1,Male
10,-46,c37.1,15.44,37,21.7,Male
10,-48,c37.3,17.52,37,21.2,Male
9,-49,c37.4,18.31,37,20.9,Male
1,-8,c4.1,2.11,4,7,Female
5,-8,c4.1,8.87,4,12.9,Female
10,-8,c4.1,16.77,4,21.3,Female
0,-9,c4.2,2.16,4,6.5,Male
4,-9,c4.2,7.76,4,11.7,Male
9,-9,c4.2,15.4,4,20.7,Male
1,-10,c4.3,2.16,4,6.5,Female
5,-10,c4.3,8.57,4,11.5,Female
10,-10,c4.3,14.53,4,21.3,Female
1,-74,c41.1,2.18,41,6.5,Male
1,-75,c41.2,2.02,41,6,Female
0,-64,c42.1,1.96,42,6,Female
0,-65,c42.2,1.95,42,6.5,Female
0,-66,c42.3,2.32,42,6,Female
56,-67,c43.1,8.43,43,13.9,Male
56,-68,c43.2,10.39,43,15.3,Male
56,-69,c43.3,3.82,43,10.1,Female
1112,-67,c43.1,18.11,43,20.9,Male
1112,-69,c43.3,13.94,43,19.6,Female
10,-71,c45.1,20,45,20.6,Male
10,-72,c45.2,19.39,45,20.4,Male
10,-73,c45.3,18.87,45,20.1,Male
4,-1,c5.1,7.75,5,12,Female
10,-1,c5.1,19.21,5,21,Female
4,-2,c7.1,6.83,7,11,Male
4,-3,c7.2,6.85,7,11.5,Female
10,-2,c7.1,18.36,7,20,Male
10,-3,c7.2,18.26,7,21.2,Female
1,-81,c47.1,2.99,47,6.5,Male
1,-82,c47.2,2.33,47,6,Male
7,-81,c47.1,14.92,47,17.45,Male
8,-81,c47.1,18.27,47,18.7,Male
9,-81,c47.1,18.05,47,20.2,Male
10,-81,c47.1,18.89,47,20.9,Male
0,-83,c48.1,1.42,48,6,Female
0,-84,c48.2,2.18,48,6.5,Male
0,-85,c48.3,2.34,48,6.5,Male
0,-86,c48.4,1.91,48,5.5,Female
1,-87,c58.1,3.43,58,7.5,Female
1,-88,c58.2,3.15,58,7.5,Male
1,-89,c58.3,2.41,58,7,Male
3,-87,c58.1,7.55,58,11.5,Female
3,-88,c58.2,7.2,58,10.5,Male
3,-89,c58.3,5.96,58,10,Male
5,-87,c58.1,12.31,58,15.5,Female
5,-88,c58.2,12.57,58,15.4,Male
5,-89,c58.3,10.49,58,14.4,Male
1,-90,c50.1,3.04,50,7.5,Male
1,-91,c50.2,2.86,50,7.5,Female
1,-92,c50.3,3.32,50,8,Male
3,-90,c50.1,5.31,50,10.5,Male
3,-91,c50.2,4.75,50,10,Female
3,-92,c50.3,6.3,50,11.5,Male
1,-93,c53.1,4.18,53,7.5,Female
3,-93,c53.1,8.61,53,13.5,Female
5,-93,c53.1,13.78,53,17.4,Female
7,-93,c53.1,15.53,53,20,Female
1,-94,c53.2,3.52,53,6.5,Male
3,-94,c53.2,6.77,53,12.5,Male
5,-94,c53.2,12.18,53,16.5,Male
7,-94,c53.2,14.29,53,20,Male
1,-95,c53.3,3.47,53,7,Male
3,-95,c53.3,6.99,53,11,Male
5,-95,c53.3,12.83,53,16.7,Male
7,-95,c53.3,15.01,53,19.5,Male
1,-96,c53.4,3.19,53,7,Female
3,-96,c53.4,6.49,53,12,Female
5,-96,c53.4,11.71,53,16.7,Female
7,-96,c53.4,13.84,53,19.3,Female
0,-97,c55.1,1.69,55,5.5,Male
1,-97,c55.1,2.68,55,7,Male
0,-98,c55.2,1.72,55,5.5,Female
1,-98,c55.2,2.17,55,6.5,Female
3,-98,c55.2,4.2,55,11.5,Female
7,-84,c48.2,10.76,48,18.3,Male
8,-84,c48.2,13.58,48,19.9,Male
9,-84,c48.2,14.08,48,20.6,Male
10,-84,c48.2,15.06,48,21.5,Male
7,-85,c48.3,13.08,48,18.9,Male
8,-85,c48.3,16.07,48,20.2,Male
9,-85,c48.3,17.31,48,21.1,Male
7,-86,c48.4,8.55,48,17.1,Female
8,-86,c48.4,8.8,48,17.4,Female
9,-86,c48.4,8.77,48,18.8,Female
5,-90,C50.1,8.44,50,14.6,Male
5,-91,C50.2,8.2,50,13.2,Female
5,-92,C50.3,10.5,50,14.1,Male
1,-100,c57.1,3.11,57,7,Female
3,-100,c57.1,5.51,57,9.5,Female
1,-101,c57.2,2.85,57,6.5,Male
3,-101,c57.2,4.89,57,9,Male
1,-102,c57.3,3.95,57,7.5,Male
3,-102,c57.3,6.4,57,10.5,Male
1,-103,c57.4,2.31,57,5.5,Male
3,-103,c57.4,3.87,57,8.5,Male
7,-87,c58.1,14.99,58,18.9,Female
7,-88,c58.2,14.84,58,18.3,Male
5,-98,c55.2,7.14,55,12.9,Female
1,-104,c52.1,3,52,7,Male
3,-104,c52.1,5.35,52,10,Male
7,-90,C50.1,9.43,50,16.1,Male
7,-91,C50.2,12.42,50,17.8,Female
7,-92,C50.3,14.68,50,18.7,Male
8,-93,c53.1,16.38,53,20.1,Female
9,-93,c53.1,15.32,53,20.9,Female
8,-94,c53.2,15.04,53,21.4,Male
9,-94,c53.2,14.75,53,21.5,Male
8,-95,c53.3,16.31,53,20.5,Male
9,-95,c53.3,15.99,53,20.5,Male
8,-96,c53.4,15.65,53,20.1,Female
9,-96,c53.4,15.51,53,20.9,Female
8,-87,c58.1,17.23,58,20.2,Female
9,-87,c58.1,16.19,58,20.3,Female
8,-88,c58.2,17.94,58,20,Male
9,-88,c58.2,19.37,58,20.7,Male
5,-100,c57.1,10.02,57,15.1,Female
5,-101,c57.2,9.65,57,12.5,Male
5,-102,c57.3,12.59,57,15.6,Male
5,-103,c57.4,8.11,57,10.5,Male
10,-87,c58.1,18.35,58,20.9,Female
10,-88,c58.2,20.49,58,20.5,Male
8,-90,C50.1,12.49,50,18,Male
8,-91,C50.2,13.37,50,19.2,Female
8,-92,C50.3,16.79,50,19.7,Male
9,-90,C50.1,13.5,50,18.5,Male
9,-91,C50.2,12.51,50,19.5,Female
9,-92,C50.3,17.2,50,20.3,Male
10,-92,C50.3,18.33,50,20.5,Male
10,-91,C50.2,15.77,50,20.6,Female
10,-90,C50.1,16.4,50,20.2,Male
7,-98,c55.2,12.88,55,16.1,Female
8,-98,c55.2,12.38,55,17.5,Female
