tarsus,sex
6.8,0
6.6,0
6.4,0
8.6,1
8.2,0
6.7,1
6.3,1
4.3,1
9.21,1
8.51,0
8.8,1
8.6,0
6.9,0
9.8,1
8.4,0
7.9,1
7.3,1
4.7,0
9.2,1
9,0
6.1,0
9.1,1
9.6,1
