maleID,BeakColourScore,Tarsus,Courtshiprate(sqrtSecsperh),total_N_courtships,total_observat_hrs,Courtshiprate_1st_hr_only,total_N_courtships_1sth,total_observat_hrs_1sth
11203,4.6,17.3,2.846370994,71,170,2.846370994,71,170
11206,4,15.3,0.254392276,17,79,0.254392276,17,79
11208,4.7,15.8,2.89781141,132,170,2.89781141,132,170
11210,4.5,17,2.669497315,69,173,2.669497315,69,173
11215,4.6,16.8,3.417531999,152,174,3.417531999,152,174
11216,4.6,16,2.931442394,123,176,2.931442394,123,176
11218,4.2,16.3,3.524531966,55,82,3.524531966,55,82
11223,4,16.6,3.546710416,137,173,3.546710416,137,173
11230,4.7,17.2,2.467784123,106,174,2.467784123,106,174
11238,4.7,16.7,4.182377395,140,140,4.182377395,140,140
11243,4.7,16.5,4.042512185,73,81,4.042512185,73,81
11249,4.4,15.8,2.403050465,77,176,2.403050465,77,176
11250,4.7,16.5,3.389031281,142,176,3.389031281,142,176
11253,4,16.2,2.427502978,83,170,2.427502978,83,170
11256,3.8,15.7,2.604940361,39,81,2.604940361,39,81
11257,3.8,16.6,NA,NA,NA,NA,NA,NA
11258,4.5,16.1,2.642870013,40,81,2.642870013,40,81
11259,3.8,15,0.647775235,114,78,0.647775235,114,78
11260,4.5,17.3,2.746980663,58,140,2.746980663,58,140
11262,4.7,16.6,1.93827838,18,78,1.93827838,18,78
11266,4.7,16.2,2.562036248,58,173,2.562036248,58,173
11269,4.5,16.4,3.278211195,106,174,3.278211195,106,174
11271,4.6,15.6,2.639023388,38,84,2.639023388,38,84
11274,4.3,16.5,2.041571453,39,170,2.041571453,39,170
11276,4.2,16.4,NA,NA,NA,NA,NA,NA
11277,4,15.1,0.333068991,49,79,0.333068991,49,79
11282,4.7,15.9,0.334926382,72,79,0.334926382,72,79
11283,4.4,16.1,2.093450005,61,140,2.093450005,61,140
11287,4.7,15.7,2.824477725,45,82,2.824477725,45,82
11288,4,15.6,2.705377934,39,82,2.705377934,39,82
11291,4,16,3,52,82,3,52,82
11297,4.2,16,0.313353431,32,79,0.313353431,32,79
11300,3.8,16.5,NA,NA,NA,NA,NA,NA
11302,4.5,NA,2.149775558,77,174,2.149775558,77,174
11303,4.5,15.4,3.416084071,129,174,3.416084071,129,174
11336,3.8,16.5,0.474060629,58,79,0.474060629,58,79
11346,4,16.1,0.678014153,150,79,0.678014153,150,79
