"nestlingID","nestID","year","age","hatchdate","hatchsize","fledgedate","fledgesize","mass","tarsus","ninprim","year2"
"1989-HUF1 nestling 3","1989-HUF1",1989,13,163,5,183,5,24.5,,27,1.2
"2000-NBE1 nestling 4","2000-NBE1",2000,10,154,6,177,6,17.3,,38,2.3
"1984-GCCS3 nestling 4","1984-GCCS3",1984,11,155,5,,4,14.7,,,0.7
"1983-GCCS2 nestling 4","1983-GCCS2",1983,12,152,5,172,5,23.4,,,0.6
"1983-GCCS2 nestling 4","1983-GCCS2",1983,15,152,5,172,5,23.3,,,0.6
"1989-HUF1 nestling 4","1989-HUF1",1989,13,163,5,183,5,22.5,,29,1.2
"2000-NBE1 nestling 5","2000-NBE1",2000,10,154,6,177,6,19.2,,39,2.3
"1984-GCCS3 nestling 5","1984-GCCS3",1984,12,155,5,,4,20.2,,,0.7
"1983-GCCS2 nestling 5","1983-GCCS2",1983,12,152,5,172,5,23.7,,,0.6
"1983-GCCS2 nestling 5","1983-GCCS2",1983,15,152,5,172,5,24.1,,,0.6
"1989-HUF1 nestling 5","1989-HUF1",1989,13,163,5,183,5,23,,28,1.2
"2000-NBE1 nestling 6","2000-NBE1",2000,10,154,6,177,6,15.4,,31,2.3
"1985-NES02 nestling 1","1985-NES02",1985,10,148,6,,6,15,,,0.8
"1983-NES08 nestling 2","1983-NES08",1983,11,156,5,178,3,17.7,,,0.6
