"nestlingID","nestID","year","age","hatchdate","hatchsize","fledgedate","fledgesize","mass","tarsus","ninprim","year2"
"1984-HU17 nestling 1","1984-HU17",1984,16,160,7,,7,22.5,,,0.7
"1984-HU17 nestling 2","1984-HU17",1984,12,160,7,,7,21.2,,,0.7
"1984-HU17 nestling 2","1984-HU17",1984,16,160,7,,7,22.5,,,0.7
"1980-GCE3 nestling 2","1980-GCE3",1980,12,153,4,175,1,18,,,0.3
"1980-GCE3 nestling 2","1980-GCE3",1980,14,153,4,175,1,19.5,,,0.3
"1980-GCE3 nestling 2","1980-GCE3",1980,16,153,4,175,1,21,,,0.3
"1984-HU17 nestling 3","1984-HU17",1984,12,160,7,,7,20.1,,,0.7
"1984-HU17 nestling 3","1984-HU17",1984,16,160,7,,7,22.3,,,0.7
"1984-HU17 nestling 4","1984-HU17",1984,10,160,7,,7,15.7,,,0.7
"1984-HU17 nestling 4","1984-HU17",1984,14,160,7,,7,21.7,,,0.7
"1980-GCE3 nestling 4","1980-GCE3",1980,11,153,4,175,1,16,,,0.3
"1984-HU17 nestling 5","1984-HU17",1984,12,160,7,,7,21.2,,,0.7
"1984-HU17 nestling 5","1984-HU17",1984,16,160,7,,7,22.5,,,0.7
"1984-HU17 nestling 6","1984-HU17",1984,12,160,7,,7,20.3,,,0.7
"1984-HU17 nestling 6","1984-HU17",1984,16,160,7,,7,22,,,0.7
"1984-HU17 nestling 7","1984-HU17",1984,12,160,7,,7,21.5,,,0.7
"1984-HU17 nestling 7","1984-HU17",1984,16,160,7,,7,22.1,,,0.7
"2002-BGG3 nestling 1","2002-BGG3",2002,15,149,5,169,1,20.8,12.4,38,2.5
"2002-BGG3 nestling 2","2002-BGG3",2002,15,149,5,169,1,21,12.4,34,2.5
"2002-BGG3 nestling 3","2002-BGG3",2002,15,149,5,169,1,18.5,12.4,37,2.5
"2002-BGG3 nestling 4","2002-BGG3",2002,15,149,5,169,1,20.1,12,39,2.5
"2002-BGG3 nestling 5","2002-BGG3",2002,15,149,5,169,1,18.1,12.5,28,2.5
"2016-AGG9 nestling 1","2016-AGG9",2016,12,147,6,169,6,21.5,14.9,53,3.9
"1991-NESC15 nestling 1","1991-NESC15",1991,12,153,6,170,6,23,,29,1.4
"1991-NESC15 nestling 1","1991-NESC15",1991,16,153,6,170,6,21.5,,48,1.4
"2016-AGG9 nestling 2","2016-AGG9",2016,12,147,6,169,6,21,14.1,51,3.9
"1991-NESC15 nestling 2","1991-NESC15",1991,12,153,6,170,6,23.5,,20,1.4
"1991-NESC15 nestling 2","1991-NESC15",1991,16,153,6,170,6,22,,38,1.4
"2016-AGG9 nestling 3","2016-AGG9",2016,12,147,6,169,6,18,13.9,48,3.9
"1991-NESC15 nestling 3","1991-NESC15",1991,12,153,6,170,6,21.5,,28,1.4
