yr,area,ring,ageF,tars,tail,wing,patch,wingwhite,weight,mpatch,mwing,dam,sex
1,10,CA72692,juv,19.6,51.5,79.5,49,19,13.2,*,*,BA33883,M
1,10,CA02292,ad,19.7,52,83,63,47,13.3,*,*,*,M
1,10,CA54692,ad,20.3,53,86,100,41,13.7,*,*,*,M
1,10,CA55592,ad,19.4,53.5,83,63,43,13,*,*,*,M
1,10,BA39683,ad,19.8,50,83.5,99,53,13.7,*,*,*,M
1,10,EA30764,juv,19.4,50,81,63,19,12.9,*,*,*,M
1,10,EA03164,ad,19.2,51,84,63,43,13.5,*,*,*,M
1,10,EA31264,juv,19,52,81,48,20,12.8,*,*,*,M
1,10,EA00564,juv,19.1,54,82.5,70,18,13.3,*,*,*,M
1,10,EA00164,ad,19.3,52,83,80,54,13.1,*,*,*,M
1,10,CA02392,ad,19.8,52,85,110,46,13.9,*,*,*,M
1,10,EA46164,juv,18.8,51,81,80,9,12.5,*,*,*,M
1,10,CA33192,juv,20.7,51,84.5,*,20,13.2,*,*,BA35483,M
1,10,EA03464,ad,19.7,51.5,84,80,65,13.7,*,*,*,M
1,10,EA03864,juv,19.9,51,83,72,13,13.2,*,*,*,M
1,10,EA90964,ad,19.3,51,83,80,56,13.1,*,*,*,M
1,10,CA54892,ad,19.6,50.5,83.5,70,62,12.5,*,*,*,M
1,10,CA40093,ad,19.2,50.5,83,63,48,*,*,*,*,M
1,10,CA37792,juv,20,52.5,85.5,80,12,14.4,*,*,CA54992,M
1,10,EA00064,ad,19.1,51,81.5,70,54,11.8,*,*,*,M
1,10,CA32292,juv,19.7,52,82,99,18,13.4,*,*,BA34783,M
1,10,CA58392,ad,19.7,54,83.5,80,51,13.3,*,*,*,M
1,10,CA40193,juv,19.8,51,82.5,56,20,12.8,*,*,CA00792,M
1,10,EA03664,ad,20.7,51,85.5,80,60,15.1,*,*,*,M
1,10,BA34983,ad,20.1,51.5,82.5,88,51,13.8,*,*,*,M
1,10,BA37483,juv,19.9,51,78.5,72,11,13.5,*,*,BA33583,M
1,10,CA54792,ad,19,51.5,83,80,51,13.5,*,*,*,M
1,10,EA76064,juv,19.7,52,81,70,14,13.5,*,*,*,M
1,10,CA01692,ad,20.2,52,85,81,52,13,*,*,*,M
1,10,EA04064,ad,19.7,49,84,72,51,13.3,*,*,*,M
1,10,EA11964,juv,20.2,53,81.5,64,19,12.9,*,*,*,M
1,10,EA82874,ad,19.9,51,84,54,59,13.8,*,*,*,M
1,10,CA69204,ad,19.6,52,83.5,80,59,13.5,*,*,*,M
1,10,EA82774,juv,19.8,52,81.5,70,22,13.6,*,*,*,M
1,10,BA39483,ad,19.5,55,84,88,64,13.3,*,*,*,M
1,10,EA76164,juv,19.6,51.5,80,60,13,13.2,*,*,*,M
1,10,CA17292,juv,20.3,51.5,82,63,23,13.1,*,*,BA31483,M
1,10,EA64964,juv,20.2,48,81,56,17,13.1,*,*,*,M
1,10,CA69504,ad,19.3,51.5,83.5,70,41,14.1,*,*,*,M
1,10,CA58292,ad,19.8,53,84,88,50,14.9,*,*,*,M
1,10,CA55192,ad,19.3,53,84,54,35,12.8,*,*,*,M
1,10,EA59064,juv,19.1,50,80.5,40,26,12.6,*,*,*,M
1,10,EA11564,ad,19.6,52,84,64,64,12.8,*,*,*,M
1,10,CA11792,juv,20.1,49.5,81,90,22,12.6,*,*,CA02092,M
1,10,EA11464,juv,20.1,51,82,80,23,12.8,*,*,*,M
1,10,EA11264,juv,19.3,52,80.5,63,15,12.4,*,*,*,M
1,10,CA58292,ad,19.8,53,83.5,108,54,14.3,*,*,*,M
1,10,CA22592,juv,20,52,82,72,27,12.6,*,*,CA78192,M
1,10,EA76264,ad,19.4,53,84,88,57,13.2,*,*,*,M
