T3 data all ages	duck ID	Inctemp	id   sex     age   laysequence	daysheld  t3	logt3		T4dataallages	ID	mass	tarsus	sasid  Trt   sex     age   laysequence	daysheld  T4 	logT4		T3 data at T0	Trt	ID	mass	tarsus	age	timeofbleed  hatchtime	hroldatT0  timetohatch  incperiod   T3	logT3	bodycondition	   T4dataDay0	Trt	ID	mass	tarsus	age	timeofbleed   hatchtime	 hroldatT0  timetohatch	incperiod   T4	logT4	bodycondition
			D8.1.8	M	17	F	0	8	1	18.68	1.271376872			Z5.1.5	29.38	18.1467	15	H	F	0	5	1	31.04	1.491921713			M	D8.1.8	27.78	16.74	0	10:04	7:00	3	46.50	34	18.68	1.271376872	2.669468368				H	Z5.1.5	29.38	18.1467	0	10:56	9:00	1.93	37.00	31	31.04	1.491921713	2.839500896
			N5.1.3	M	18	F	0	3	2	35.72	1.55291145			D3.1.7	23.55	17.72	16	M	M	0	7	1	20.65	1.314920056			M	N5.1.3	26.44	18.58	0	15:35	15:00	0.58	51.50	34	35.72	1.55291145	-0.68937766				M	D3.1.7	23.55	17.72	0	17:44	16:00	1.73	33.00	33	20.65	1.314920056	-2.47289368
			O2.1.2	M	21	F	0	2	4	18.95	1.277609214			D8.1.8	27.78	16.74	17	M	F	0	8	1	48.79	1.688330818			M	O2.1.2	25.94	17.88	0	17:45	16:30	1.25	50.00	34	18.95	1.277609214	-0.42133841				M	D8.1.8	27.78	16.74	0	10:04	7:00	3	46.50	34	48.79	1.688330818	2.945981277
			O3.1.3	M	22	M	0	3	1	14.64	1.165541077			N5.1.3	26.44	18.58	18	M	F	0	3	2	59.1	1.771587481			M	O3.1.3	29.72	20.18	0	22:12	17:30	4.7	51.00	37	14.64	1.165541077	0.835104054				M	N5.1.3	26.44	18.58	0	15:35	15:00	0.58	51.50	34	59.1	1.771587481	-0.626192112
			T1.1.6	M	23	F	0	6	1	16.21	1.209783015			N8.1.7	24.01	18.37	19	M	F	0	7	4	16.69	1.222456337			M	T1.1.6	27.48	19.035	0	17:01	15:30	1.5	29.50	34	16.21	1.209783015	-0.148603173				M	N8.1.7	24.01	18.37	0	17:30	12:45	4.75	63.75	34	16.69	1.222456337	-2.801433193
			T3.1.8	M	24	F	0	8	3	16.88	1.227372442			N8.1.8	22.49	19.5	20	M	F	0	8	4	12	1.079181246			M	T3.1.8	27.86	18.94	0	11:43	9:00	2.72	26.25	34	16.88	1.227372442	0.335630726				M	N8b.1.8	22.49	19.5	0	17:15	12:45	4.5	49.75	34	12	1.079181246	-5.692278806
			U14.1.1	M	25	M	0	1	2	18.72	1.272305844			O2.1.2	25.94	17.88	21	M	F	0	2	4	50.03	1.699230503			M	U14.1.1	27.58	19.16	0	12:15	9:15	3	72.25	34	18.72	1.272305844	-0.185753039				M	O2.1.2	25.94	17.88	0	17:45	16:30	1.25	50.00	34	50.03	1.699230503	-0.276995714
			U4.1.11	M	26	F	0	11	4	5.12	0.709269961			O3.1.3	29.72	20.18	22	M	M	0	3	4	41.08	1.613630435			M	U4.1.11	32.43	20.18	0	21:44	20:00	1.75	83.00	35	5.12	0.709269961	3.545104054				M	O3.1.3	29.72	20.18	0	22:12	17:30	4.7	51.00	37	41.08	1.613630435	0.71278755
			W2.1.9	M	27	F	0	9	3	16.49	1.217220656			T1.1.6	27.48	19.035	23	M	F	0	6	1	71.49	1.854245297			M	W2.1.9	28.87	19.01	0	11:18	7:30	3.8	46.75	34	16.49	1.217220656	1.268826801				M	T1.1.6	27.48	19.035	0	17:01	15:30	1.5	29.50	34	71.49	1.854245297	-0.138169771
			W3.1.1	M	28	F	0	1	4	9.51	0.978180517			T3.1.8	27.86	18.94	24	M	F	0	8	3	153.22	2.185315458			M	W3.1.1	26.88	17.75	0	17:45	17:30	0.25	53.50	34	9.51	0.978180517	0.66129745				M	T3.1.8	27.86	18.94	0	11:43	9:00	2.72	26.25	34	153.22	2.185315458	0.357078312
			W5.1.1	M	29	M	0	1	1	12.79	1.106870544			U14.1.1	27.58	19.16	25	M	M	0	1	2	42.95	1.632963168			M	W5.1.1	23.69	17.81	0	11:25	9:00	2.42	26.25	34	12.79	1.106870544	-2.594534485				M	U14.1.1	27.58	19.16	0	12:15	9:15	3	72.25	34	42.95	1.632963168	-0.189811985
